"CUADRO Nº 9: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR NÚMERO DE HIJOS NACIDOS VIVOS, HIJOS SOBREVIVIENTES, HIJOS NACIDOS EL ÚLTIMO AÑO, SEGÚN DEPARTAMENTO, PROVIINCIA, ÁREA URBANA Y RURAL, CONDICIÓN DE ACTIVIDAD Y GRUPOS QUINQUENALES DE EDAD",,,,,,,
,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, CONDICION DE ACTIVIDAD Y GRUPOS QUINQUENALES DE EDAD","TOTAL DE MUJERES","HIJOS NACIDOS VIVOS",,"NACIDOS VIVOS ULTIMO AÑO",PROPORCION,,
,,TOTAL,SOBREVIVIENTES,,TOTAL,"ULTIMO AÑO",
,,,,,,,
"Provincia SAN MIGUEL (000)",21847,63309,57644,,847,91.1,1.3
"De 12 a 14 años (001)",1991,8,8,,4,100,50
"De 15 a 19 años (002)",2516,376,371,108,98.7,28.7,
"De 20 a 24 años (003)",2125,1758,1720,208,97.8,11.8,
"De 25 a 29 años (004)",2037,3046,2981,186,97.9,6.1,
"De 30 a 34 años (005)",1952,4226,4091,170,96.8,4,
"De 35 a 39 años (006)",2036,5723,5535,108,96.7,1.9,
"De 40 a 44 años (007)",1617,5603,5312,54,94.8,1,
"De 45 a 49 años (008)",1489,6037,5676,8,94,0.1,
"De 50 y más años (009)",6084,36532,31950,1,87.5,,
"PEA (010)",2654,5851,5494,76,93.9,1.3,
"De 12 a 14 años (011)",54,,,,,,
"De 15 a 19 años (012)",222,27,27,6,100,22.2,
"De 20 a 24 años (013)",290,153,145,15,94.8,9.8,
"De 25 a 29 años (014)",320,324,318,19,98.1,5.9,
"De 30 a 34 años (015)",341,585,569,15,97.3,2.6,
"De 35 a 39 años (016)",364,791,778,17,98.4,2.1,
"De 40 a 44 años (017)",258,713,678,3,95.1,0.4,
"De 45 a 49 años (018)",253,729,706,1,96.8,0.1,
"De 50 y más años (019)",552,2529,2273,,89.9,,
"Ocupada (020)",2426,5641,5292,72,93.8,1.3,
"De 12 a 14 años (021)",37,,,,,,
"De 15 a 19 años (022)",151,25,25,6,100,24,
"De 20 a 24 años (023)",242,144,137,15,95.1,10.4,
"De 25 a 29 años (024)",303,314,308,17,98.1,5.4,
"De 30 a 34 años (025)",318,562,548,15,97.5,2.7,
"De 35 a 39 años (026)",342,746,735,15,98.5,2,
"De 40 a 44 años (027)",250,697,662,3,95,0.4,
"De 45 a 49 años (028)",246,709,687,1,96.9,0.1,
"De 50 y más años (029)",537,2444,2190,,89.6,,
"Desocupada (030)",228,210,202,4,96.2,1.9,
"De 12 a 14 años (031)",17,,,,,,
"De 15 a 19 años (032)",71,2,2,,100,,
"De 20 a 24 años (033)",48,9,8,,88.9,,
"De 25 a 29 años (034)",17,10,10,2,100,20,
"De 30 a 34 años (035)",23,23,21,,91.3,,
"De 35 a 39 años (036)",22,45,43,2,95.6,4.4,
"De 40 a 44 años (037)",8,16,16,,100,,
"De 45 a 49 años (038)",7,20,19,,95,,
