"CUADRO Nº 2: POBLACIÓN DE 12 Y MÁS AÑOS DE EDAD, POR GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y ESTADO CIVIL",,,,,,,
,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y ESTADO CIVIL",TOTAL,"GRUPOS DE EDAD",,,,,
,,"12 A 16 AÑOS","17 A 24 AÑOS","25 A 34 AÑOS","35 A 44 AÑOS","45 A 54 AÑOS","55 A MÁS AÑOS"
,,,,,,,
"Provincia PAUCAR DEL SARA SARA (000)",8302,1178,1210,1412,1292,1050,2160
"Conviviente (001)",1967,19,331,689,503,231,194
"Separado(a) (002)",258,1,11,34,58,46,108
"Casado(a) (003)",2628,1,50,248,543,599,1187
"Viudo(a) (004)",551,1,1,6,17,47,479
"Divorciado(a) (005)",32,,1,3,5,5,18
"Soltero(a) (006)",2866,1156,816,432,166,122,174
"Hombres (008)",4230,593,672,757,642,561,1005
"Conviviente (009)",1002,6,127,359,278,129,103
"Separado(a) (010)",105,,1,11,24,19,50
"Casado(a) (011)",1327,1,15,111,236,323,641
"Viudo(a) (012)",132,1,,2,5,5,119
"Divorciado(a) (013)",14,,1,2,1,2,8
"Soltero(a) (014)",1650,585,528,272,98,83,84
"Mujeres (016)",4072,585,538,655,650,489,1155
"Conviviente (017)",965,13,204,330,225,102,91
"Separado(a) (018)",153,1,10,23,34,27,58
"Casado(a) (019)",1301,,35,137,307,276,546
"Viudo(a) (020)",419,,1,4,12,42,360
"Divorciado(a) (021)",18,,,1,4,3,10
"Soltero(a) (022)",1216,571,288,160,68,39,90
,,,,,,,
"URBANA (024)",5560,828,823,970,898,717,1324
"Conviviente (025)",1376,11,224,492,364,158,127
"Separado(a) (026)",186,,8,20,41,35,82
"Casado(a) (027)",1668,1,29,161,373,403,701
"Viudo(a) (028)",343,1,1,3,7,29,302
"Divorciado(a) (029)",22,,1,3,4,4,10
"Soltero(a) (030)",1965,815,560,291,109,88,102
"Hombres (032)",2773,415,443,521,416,385,593
"Conviviente (033)",684,5,78,256,191,86,68
"Separado(a) (034)",72,,1,4,15,16,36
"Casado(a) (035)",828,1,8,73,149,221,376
"Viudo(a) (036)",72,1,,2,2,4,63
"Divorciado(a) (037)",11,,1,2,1,1,6
"Soltero(a) (038)",1106,408,355,184,58,57,44
"Mujeres (040)",2787,413,380,449,482,332,731
"Conviviente (041)",692,6,146,236,173,72,59
"Separado(a) (042)",114,,7,16,26,19,46
"Casado(a) (043)",840,,21,88,224,182,325
"Viudo(a) (044)",271,,1,1,5,25,239
"Divorciado(a) (045)",11,,,1,3,3,4
"Soltero(a) (046)",859,407,205,107,51,31,58
,,,,,,,
"RURAL (048)",2742,350,387,442,394,333,836
"Conviviente (049)",591,8,107,197,139,73,67
"Separado(a) (050)",72,1,3,14,17,11,26
"Casado(a) (051)",960,,21,87,170,196,486
"Viudo(a) (052)",208,,,3,10,18,177
"Divorciado(a) (053)",10,,,,1,1,8
"Soltero(a) (054)",901,341,256,141,57,34,72
"Hombres (056)",1457,178,229,236,226,176,412
"Conviviente (057)",318,1,49,103,87,43,35
"Separado(a) (058)",33,,,7,9,3,14
"Casado(a) (059)",499,,7,38,87,102,265
"Viudo(a) (060)",60,,,,3,1,56
"Divorciado(a) (061)",3,,,,,1,2
"Soltero(a) (062)",544,177,173,88,40,26,40
"Mujeres (064)",1285,172,158,206,168,157,424
"Conviviente (065)",273,7,58,94,52,30,32
"Separado(a) (066)",39,1,3,7,8,8,12
"Casado(a) (067)",461,,14,49,83,94,221
"Viudo(a) (068)",148,,,3,7,17,121
"Divorciado(a) (069)",7,,,,1,,6
"Soltero(a) (070)",357,164,83,53,17,8,32
