"CUADRO Nº 8: VIVIENDAS PARTICULARES CON OCUPANTES PRESENTES, POR MATERIAL PREDOMINANTE EN LOS PISOS DE LA VIVIENDA, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, TIPO DE VIVIENDA Y TOTAL DE OCUPANTES PRESENTES",,,,,,,,
,,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, TIPO DE VIVIENDA Y TOTAL DE OCUPANTES PRESENTES",TOTAL,"MATERIAL PREDOMINANTE EN LOS PISOS DE LA VIVIENDA",,,,,,
,,TIERRA,CEMENTO,"LOSETAS, TERRAZOS, CERÁMICOS O SIMILARES","PARQUET O MADERA PULIDA","MADERA (PONA, TOR-NILLO, ETC.)","LÁMINAS ASFÁL-TICAS, VINÍLICOS O SIMILARES","OTRO MATERIAL"
,,,,,,,,
"Provincia SAN PABLO",,,,,,,,
"Viviendas particulares (001)",5750,5061,555,30,10,58,3,33
"Ocupantes presentes (002)",23092,20488,2134,89,32,202,6,141
"Casa independiente",,,,,,,,
"Viviendas particulares (004)",5640,4999,514,28,10,54,3,32
"Ocupantes presentes (005)",22690,20262,1974,85,32,195,6,136
"Departamento en edificio",,,,,,,,
"Vivienda en quinta",,,,,,,,
"Viviendas particulares (010)",41,,36,1,,4,,
"Ocupantes presentes (011)",152,,142,3,,7,,
"Vivienda en casa de vecindad",,,,,,,,
"Viviendas particulares (013)",15,9,5,1,,,,
"Ocupantes presentes (014)",38,19,18,1,,,,
"Choza o cabaña",,,,,,,,
"Viviendas particulares (016)",51,51,,,,,,
"Ocupantes presentes (017)",199,199,,,,,,
"Vivienda improvisada",,,,,,,,
"Viviendas particulares (019)",1,1,,,,,,
"Ocupantes presentes (020)",7,7,,,,,,
"Local no dest.para hab. humana",,,,,,,,
"Viviendas particulares (022)",2,1,,,,,,1
"Ocupantes presentes (023)",6,1,,,,,,5
"Otro tipo",,,,,,,,
,,,,,,,,
URBANA,,,,,,,,
"Viviendas particulares (028)",937,402,421,27,9,49,1,28
"Ocupantes presentes (029)",3572,1522,1659,77,27,171,1,115
"Casa independiente",,,,,,,,
"Viviendas particulares (031)",880,392,380,25,9,45,1,28
"Ocupantes presentes (032)",3375,1496,1499,73,27,164,1,115
"Departamento en edificio",,,,,,,,
"Vivienda en quinta",,,,,,,,
"Viviendas particulares (037)",41,,36,1,,4,,
"Ocupantes presentes (038)",152,,142,3,,7,,
"Vivienda en casa de vecindad",,,,,,,,
"Viviendas particulares (040)",15,9,5,1,,,,
"Ocupantes presentes (041)",38,19,18,1,,,,
"Choza o cabaña",,,,,,,,
"Vivienda improvisada",,,,,,,,
"Viviendas particulares (046)",1,1,,,,,,
"Ocupantes presentes (047)",7,7,,,,,,
"Local no dest.para hab. humana",,,,,,,,
"Otro tipo",,,,,,,,
,,,,,,,,
RURAL,,,,,,,,
"Viviendas particulares (055)",4813,4659,134,3,1,9,2,5
"Ocupantes presentes (056)",19520,18966,475,12,5,31,5,26
"Casa independiente",,,,,,,,
"Viviendas particulares (058)",4760,4607,134,3,1,9,2,4
"Ocupantes presentes (059)",19315,18766,475,12,5,31,5,21
"Departamento en edificio",,,,,,,,
"Vivienda en quinta",,,,,,,,
"Vivienda en casa de vecindad",,,,,,,,
"Choza o cabaña",,,,,,,,
"Viviendas particulares (070)",51,51,,,,,,
"Ocupantes presentes (071)",199,199,,,,,,
"Vivienda improvisada",,,,,,,,
"Local no dest.para hab. humana",,,,,,,,
"Viviendas particulares (076)",2,1,,,,,,1
"Ocupantes presentes (077)",6,1,,,,,,5
"Otro tipo",,,,,,,,
