"CUADRO Nº 1: POBLACIÓN DE 3 Y MÁS AÑOS DE EDAD, POR GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO E IDIOMA O LENGUA CON EL QUE APRENDIÓ A HABLAR",,,,,,,,,
,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO E IDIOMA O LENGUA CON EL QUE APRENDIÓ A HABLAR",TOTAL,"GRUPOS DE EDAD",,,,,,,
,,"3 A 4 AÑOS","5 A 14 AÑOS","15 A 24 AÑOS","25 A 34 AÑOS","35 A 44 AÑOS","45 A 54 AÑOS","55 A 64 AÑOS","65 A MÁS AÑOS"
,,,,,,,,,
"Provincia TAHUAMANU (000)",10123,418,1874,1955,2208,1720,1063,485,400
"Quechua (001)",897,2,50,127,203,170,154,89,102
"Aymara (002)",166,2,15,31,41,25,30,12,10
"Ashaninca (003)",7,,,1,2,,1,2,1
"Otra lengua nativa (004)",74,4,14,28,10,7,4,4,3
"Castellano (005)",8870,405,1772,1747,1932,1500,865,371,278
"Idioma extranjero (006)",94,4,19,18,16,17,8,7,5
"Es sordomudo/a (007)",15,1,4,3,4,1,1,,1
"Hombres (009)",6128,204,943,1070,1426,1145,749,333,258
"Quechua (010)",553,,26,80,132,102,100,56,57
"Aymara (011)",93,1,8,15,24,13,18,5,9
"Ashaninca (012)",4,,,1,1,,,1,1
"Otra lengua nativa (013)",45,2,11,16,6,3,3,2,2
"Castellano (014)",5380,198,891,949,1253,1015,623,265,186
"Idioma extranjero (015)",45,2,6,6,8,12,5,4,2
"Es sordomudo/a (016)",8,1,1,3,2,,,,1
"Mujeres (018)",3995,214,931,885,782,575,314,152,142
"Quechua (019)",344,2,24,47,71,68,54,33,45
"Aymara (020)",73,1,7,16,17,12,12,7,1
"Ashaninca (021)",3,,,,1,,1,1,
"Otra lengua nativa (022)",29,2,3,12,4,4,1,2,1
"Castellano (023)",3490,207,881,798,679,485,242,106,92
"Idioma extranjero (024)",49,2,13,12,8,5,3,3,3
"Es sordomudo/a (025)",7,,3,,2,1,1,,
,,,,,,,,,
"URBANA (027)",7164,304,1332,1443,1641,1215,684,313,232
"Quechua (028)",389,1,12,52,95,81,64,38,46
"Aymara (029)",43,,2,4,14,9,6,6,2
"Ashaninca (030)",7,,,1,2,,1,2,1
"Otra lengua nativa (031)",72,4,13,28,10,6,4,4,3
"Castellano (032)",6606,297,1295,1348,1512,1114,604,260,176
"Idioma extranjero (033)",39,1,8,8,7,4,5,3,3
"Es sordomudo/a (034)",8,1,2,2,1,1,,,1
"Hombres (036)",4217,143,652,763,1041,791,472,216,139
"Quechua (037)",235,,6,35,61,46,43,22,22
"Aymara (038)",30,,1,3,10,6,4,4,2
"Ashaninca (039)",4,,,1,1,,,1,1
"Otra lengua nativa (040)",44,2,10,16,6,3,3,2,2
"Castellano (041)",3884,140,632,704,959,733,420,186,110
"Idioma extranjero (042)",14,,2,2,3,3,2,1,1
"Es sordomudo/a (043)",6,1,1,2,1,,,,1
"Mujeres (045)",2947,161,680,680,600,424,212,97,93
"Quechua (046)",154,1,6,17,34,35,21,16,24
"Aymara (047)",13,,1,1,4,3,2,2,
"Ashaninca (048)",3,,,,1,,1,1,
"Otra lengua nativa (049)",28,2,3,12,4,3,1,2,1
"Castellano (050)",2722,157,663,644,553,381,184,74,66
"Idioma extranjero (051)",25,1,6,6,4,1,3,2,2
"Es sordomudo/a (052)",2,,1,,,1,,,
,,,,,,,,,
"RURAL (054)",2959,114,542,512,567,505,379,172,168
"Quechua (055)",508,1,38,75,108,89,90,51,56
"Aymara (056)",123,2,13,27,27,16,24,6,8
"Otra lengua nativa (058)",2,,1,,,1,,,
"Castellano (059)",2264,108,477,399,420,386,261,111,102
"Idioma extranjero (060)",55,3,11,10,9,13,3,4,2
"Es sordomudo/a (061)",7,,2,1,3,,1,,
"Hombres (063)",1911,61,291,307,385,354,277,117,119
"Quechua (064)",318,,20,45,71,56,57,34,35
"Aymara (065)",63,1,7,12,14,7,14,1,7
"Otra lengua nativa (067)",1,,1,,,,,,
"Castellano (068)",1496,58,259,245,294,282,203,79,76
"Idioma extranjero (069)",31,2,4,4,5,9,3,3,1
"Es sordomudo/a (070)",2,,,1,1,,,,
"Mujeres (072)",1048,53,251,205,182,151,102,55,49
"Quechua (073)",190,1,18,30,37,33,33,17,21
"Aymara (074)",60,1,6,15,13,9,10,5,1
"Otra lengua nativa (076)",1,,,,,1,,,
"Castellano (077)",768,50,218,154,126,104,58,32,26
"Idioma extranjero (078)",24,1,7,6,4,4,,1,1
"Es sordomudo/a (079)",5,,2,,2,,1,,
