"CUADRO Nº 11: POBLACIÓN OCUPADA DE 6 Y MÁS AÑOS DE EDAD, POR TAMAÑO DE ESTABLECIMIENTO DONDE TRABAJA, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, NIVEL EDUCATIVO ALCANZADO Y GRANDES GRUPOS DE EDAD",,,,,
,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, NIVEL EDUCATIVO ALCANZADO Y GRANDES GRUPOS DE EDAD",TOTAL,"TAMAÑO DE ESTABLECIMIENTO",,,
,,"1 A 5 PERSONAS","6 A 10 PERSONAS","11 A 50 PERSONAS","51 Y MÁS PERSONAS"
,,,,,
"Provincia MORROPON (000)",47136,38992,3500,2016,2628
"Sin nivel (001)",5877,5345,274,111,147
"Educación inicial (002)",61,51,4,5,1
"Primaria (003)",19812,17596,1192,411,613
"Secundaria (004)",13961,11718,1078,480,685
"Superior no univ. incompleta (005)",1708,1258,161,132,157
"Superior no univ. completa (006)",2704,1524,335,350,495
"Superior univ. incompleta (007)",914,610,106,99,99
"Superior univ. completa (008)",2099,890,350,428,431
"De 06 a 14 años (010)",778,704,46,10,18
"Sin nivel (011)",46,42,3,,1
"Educación inicial (012)",16,10,2,4,
"Primaria (013)",546,500,26,6,14
"Secundaria (014)",170,152,15,,3
"De 15 a 29 años (020)",13887,11163,1204,595,925
"Sin nivel (021)",474,415,27,10,22
"Educación inicial (022)",30,28,1,,1
"Primaria (023)",4686,3932,352,138,264
"Secundaria (024)",6336,5267,568,217,284
"Superior no univ. incompleta (025)",781,592,74,54,61
"Superior no univ. completa (026)",779,468,83,73,155
"Superior univ. incompleta (027)",397,284,46,39,28
"Superior univ. completa (028)",404,177,53,64,110
"De 30 a 44 años (030)",15363,12262,1288,789,1024
"Sin nivel (031)",1618,1413,100,50,55
"Educación inicial (032)",15,13,1,1,
"Primaria (033)",5860,5097,425,147,191
"Secundaria (034)",4880,4126,338,177,239
"Superior no univ. incompleta (035)",607,429,56,55,67
"Superior no univ. completa (036)",1169,633,158,154,224
"Superior univ. incompleta (037)",299,187,34,28,50
"Superior univ. completa (038)",915,364,176,177,198
"De 45 a 64 años (040)",13052,11007,837,589,619
"Sin nivel (041)",2264,2056,107,43,58
"Primaria (043)",6593,6033,328,107,125
"Secundaria (044)",2318,1938,144,83,153
"Superior no univ. incompleta (045)",288,208,29,22,29
"Superior no univ. completa (046)",688,366,88,121,113
"Superior univ. incompleta (047)",199,122,24,32,21
"Superior univ. completa (048)",702,284,117,181,120
"De 65 y más años (050)",4056,3856,125,33,42
"Sin nivel (051)",1475,1419,37,8,11
"Primaria (053)",2127,2034,61,13,19
"Secundaria (054)",257,235,13,3,6
"Superior no univ. incompleta (055)",32,29,2,1,
"Superior no univ. completa (056)",68,57,6,2,3
"Superior univ. incompleta (057)",19,17,2,,
