"CUADRO Nº 5: POBLACIÓN ECONÓMICAMENTE ACTIVA DE 6 Y MÁS DE EDAD, POR GRANDES GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y RAMA DE ACTIVIDAD ECONÓMICA",,,,,,
,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y ACTIVIDAD ECONOMICA",TOTAL,"GRANDES GRUPOS DE EDAD",,,,
,,"6 A 14 AÑOS","15 A 29 AÑOS","30 A 44 AÑOS","45 A 64 AÑOS","65 Y MÁS AÑOS"
,,,,,,
"Provincia RECUAY (000)",6002,81,1801,1911,1651,558
"Agric., ganadería, caza y silvicultura (001)",2255,52,512,604,711,376
"Pesca (002)",12,,8,1,3,
"Explotación de minas y canteras (003)",261,,106,91,58,6
"Industrias manufactureras (004)",176,3,64,44,53,12
"Suministro de electricidad, gas y agua (005)",13,,4,4,5,
"Construcción (006)",366,2,124,124,100,16
"Comerc., rep. veh. autom.,motoc. efect. pers. (007)",683,3,225,214,183,58
"Venta, mant.y rep. veh.autom.y motoc. (008)",72,1,37,19,13,2
"Comercio al por mayor (009)",12,,6,3,2,1
"Comercio al por menor (010)",599,2,182,192,168,55
"Hoteles y restaurantes (011)",215,11,70,71,54,9
"Trans., almac. y comunicaciones (012)",351,2,149,113,74,13
"Intermediación financiera (013)",2,,1,,1,
"Activid.inmobil., empres. y alquileres (014)",117,,49,45,20,3
"Admin.pub. y defensa; p. segur.soc afil (015)",299,,66,142,82,9
"Enseñanza (016)",417,,69,237,106,5
"Servicios sociales y de salud (017)",49,,18,19,9,3
"Otras activ. serv.comun.soc y personales (018)",128,3,57,26,39,3
"Hogares privados con servicio doméstico (019)",41,2,24,11,3,1
"Actividad economica no especificada (021)",118,,29,20,45,24
"Desocupado (022)",499,3,226,145,105,20
"Hombres (023)",4340,52,1268,1361,1230,429
"Agric., ganadería, caza y silvicultura (024)",1803,34,402,487,576,304
"Pesca (025)",12,,8,1,3,
"Explotación de minas y canteras (026)",256,,102,91,57,6
"Industrias manufactureras (027)",142,3,50,35,43,11
"Suministro de electricidad, gas y agua (028)",13,,4,4,5,
"Construcción (029)",358,2,120,122,98,16
"Comerc., rep. veh. autom.,motoc. efect. pers. (030)",299,1,114,88,72,24
"Venta, mant.y rep. veh.autom.y motoc. (031)",69,1,36,17,13,2
"Comercio al por mayor (032)",7,,3,1,2,1
"Comercio al por menor (033)",223,,75,70,57,21
"Hoteles y restaurantes (034)",52,6,10,12,19,5
"Trans., almac. y comunicaciones (035)",326,1,134,104,74,13
"Activid.inmobil., empres. y alquileres (037)",80,,27,33,17,3
"Admin.pub. y defensa; p. segur.soc afil (038)",222,,38,109,66,9
"Enseñanza (039)",228,,28,129,68,3
"Servicios sociales y de salud (040)",14,,3,6,3,2
"Otras activ. serv.comun.soc y personales (041)",82,2,38,15,24,3
"Hogares privados con servicio doméstico (042)",1,1,,,,
