"CUADRO Nº 20: TOTAL DE VIVIENDAS PARTICULARES CON OCUPANTES PRESENTES, POR RÉGIMEN DE TENENCIA, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, TIPO DE VIVIENDA Y TOTAL DE OCUPANTES PRESENTES",,,,,,,
,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, TIPO DE VIVIENDA Y TOTAL DE OCUPANTES PRESENTES",TOTAL,"RÉGIMEN DE TENENCIA",,,,,
,,ALQUILADA,"PROPIA POR INVASIÓN","PROPIA PAGÁNDOLA A PLAZOS","PROPIA TOTALMENTE PAGADA","CEDIDA POR EL CENTRO DE TRABAJO/OTRO HOGAR /INSTITUCIÓN","OTRA FORMA"
,,,,,,,
"Provincia CHINCHA",,,,,,,
"Viviendas particulares (001)",44940,3205,3937,1924,29694,2914,3266
"Ocupantes presentes (002)",193285,12238,15410,7986,131530,12611,13510
"Casa independiente",,,,,,,
"Viviendas particulares (004)",35689,2479,2845,1722,24198,2325,2120
"Ocupantes presentes (005)",154453,9602,11246,7101,107699,10145,8660
"Departamento en edificio",,,,,,,
"Viviendas particulares (007)",368,244,,5,90,14,15
"Ocupantes presentes (008)",1282,770,,18,405,38,51
"Vivienda en quinta",,,,,,,
"Viviendas particulares (010)",267,71,,11,142,13,30
"Ocupantes presentes (011)",1062,248,,41,594,65,114
"Vivienda en casa de vecindad",,,,,,,
"Viviendas particulares (013)",341,80,,3,208,24,26
"Ocupantes presentes (014)",1379,240,,10,927,74,128
"Choza o cabaña",,,,,,,
"Viviendas particulares (016)",1032,63,81,10,546,212,120
"Ocupantes presentes (017)",3992,266,277,49,1988,916,496
"Vivienda improvisada",,,,,,,
"Viviendas particulares (019)",6910,242,1011,172,4259,298,928
"Ocupantes presentes (020)",30085,1041,3887,763,19117,1299,3978
"Local no dest.para hab. humana",,,,,,,
"Viviendas particulares (022)",73,10,,,30,20,13
"Ocupantes presentes (023)",226,24,,,110,52,40
"Otro tipo",,,,,,,
"Viviendas particulares (025)",260,16,,1,221,8,14
"Ocupantes presentes (026)",806,47,,4,690,22,43
,,,,,,,
URBANA,,,,,,,
"Viviendas particulares (028)",39490,2999,3601,1834,26493,1640,2923
"Ocupantes presentes (029)",171705,11495,14255,7570,119152,7068,12165
"Casa independiente",,,,,,,
"Viviendas particulares (031)",31279,2336,2590,1642,21547,1265,1899
"Ocupantes presentes (032)",136891,9125,10368,6734,97324,5524,7816
"Departamento en edificio",,,,,,,
"Viviendas particulares (034)",368,244,,5,90,14,15
"Ocupantes presentes (035)",1282,770,,18,405,38,51
"Vivienda en quinta",,,,,,,
"Viviendas particulares (037)",267,71,,11,142,13,30
"Ocupantes presentes (038)",1062,248,,41,594,65,114
"Vivienda en casa de vecindad",,,,,,,
"Viviendas particulares (040)",341,80,,3,208,24,26
"Ocupantes presentes (041)",1379,240,,10,927,74,128
"Choza o cabaña",,,,,,,
"Vivienda improvisada",,,,,,,
"Viviendas particulares (046)",6910,242,1011,172,4259,298,928
"Ocupantes presentes (047)",30085,1041,3887,763,19117,1299,3978
"Local no dest.para hab. humana",,,,,,,
"Viviendas particulares (049)",71,10,,,28,20,13
"Ocupantes presentes (050)",215,24,,,99,52,40
"Otro tipo",,,,,,,
"Viviendas particulares (052)",254,16,,1,219,6,12
"Ocupantes presentes (053)",791,47,,4,686,16,38
,,,,,,,
RURAL,,,,,,,
"Viviendas particulares (055)",5450,206,336,90,3201,1274,343
"Ocupantes presentes (056)",21580,743,1155,416,12378,5543,1345
"Casa independiente",,,,,,,
"Viviendas particulares (058)",4410,143,255,80,2651,1060,221
"Ocupantes presentes (059)",17562,477,878,367,10375,4621,844
"Departamento en edificio",,,,,,,
"Vivienda en quinta",,,,,,,
"Vivienda en casa de vecindad",,,,,,,
"Choza o cabaña",,,,,,,
"Viviendas particulares (070)",1032,63,81,10,546,212,120
"Ocupantes presentes (071)",3992,266,277,49,1988,916,496
"Vivienda improvisada",,,,,,,
"Local no dest.para hab. humana",,,,,,,
"Viviendas particulares (076)",2,,,,2,,
"Ocupantes presentes (077)",11,,,,11,,
"Otro tipo",,,,,,,
"Viviendas particulares (079)",6,,,,2,2,2
"Ocupantes presentes (080)",15,,,,4,6,5
