"CUADRO Nº 15: VIVIENDAS PARTICULARES CON OCUPANTES PRESENTES, POR DISPONIBILIDAD DE SERVICIO HIGIÉNICO EN LA VIVIENDA, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, TIPO DE VIVIENDA Y TOTAL DE OCUPANTES PRESENTES",,,,,,,
,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, TIPO DE VIVIENDA Y TOTAL DE OCUPANTES PRESENTES",TOTAL,"SERVICIO HIGIÉNICO CONECTADO A:",,,,,
,,"RED PÚBLICA DE DESAGÜE (DENTRO DE LA VIVIENDA)","RED PÚBLICA DE DESAGÜE (FUERA DE LA VIVIENDA PERO DENTRO DE LA EDIFICACIÓN)","POZO SÉPTICO","POZO CIEGO O NEGRO / LETRINA","RÍO, ACEQUIA O CANAL","NO TIENE"
,,,,,,,
"Provincia CHUMBIVILCAS",,,,,,,
"Viviendas particulares (001)",19393,1262,785,1142,5866,285,10053
"Ocupantes presentes (002)",75104,4802,2891,4814,24936,980,36681
"Casa independiente",,,,,,,
"Viviendas particulares (004)",16927,1164,673,910,5395,269,8516
"Ocupantes presentes (005)",65685,4487,2572,3803,22912,920,30991
"Departamento en edificio",,,,,,,
"Viviendas particulares (007)",7,7,,,,,
"Ocupantes presentes (008)",28,28,,,,,
"Vivienda en quinta",,,,,,,
"Viviendas particulares (010)",24,17,6,,,,1
"Ocupantes presentes (011)",73,55,17,,,,1
"Vivienda en casa de vecindad",,,,,,,
"Viviendas particulares (013)",226,69,101,,,,56
"Ocupantes presentes (014)",671,217,287,,,,167
"Choza o cabaña",,,,,,,
"Viviendas particulares (016)",2183,2,,228,466,16,1471
"Ocupantes presentes (017)",8576,6,,1005,2018,60,5487
"Vivienda improvisada",,,,,,,
"Viviendas particulares (019)",4,,1,,,,3
"Ocupantes presentes (020)",9,,2,,,,7
"Local no dest.para hab. humana",,,,,,,
"Viviendas particulares (022)",20,3,4,3,5,,5
"Ocupantes presentes (023)",58,9,13,4,6,,26
"Otro tipo",,,,,,,
"Viviendas particulares (025)",2,,,1,,,1
"Ocupantes presentes (026)",4,,,2,,,2
,,,,,,,
URBANA,,,,,,,
"Viviendas particulares (028)",4636,1230,736,190,737,84,1659
"Ocupantes presentes (029)",17041,4648,2699,760,3029,272,5633
"Casa independiente",,,,,,,
"Viviendas particulares (031)",4363,1134,624,189,736,84,1596
"Ocupantes presentes (032)",16211,4339,2380,758,3028,272,5434
"Departamento en edificio",,,,,,,
"Viviendas particulares (034)",7,7,,,,,
"Ocupantes presentes (035)",28,28,,,,,
"Vivienda en quinta",,,,,,,
"Viviendas particulares (037)",24,17,6,,,,1
"Ocupantes presentes (038)",73,55,17,,,,1
"Vivienda en casa de vecindad",,,,,,,
"Viviendas particulares (040)",226,69,101,,,,56
"Ocupantes presentes (041)",671,217,287,,,,167
"Choza o cabaña",,,,,,,
"Vivienda improvisada",,,,,,,
"Viviendas particulares (046)",4,,1,,,,3
"Ocupantes presentes (047)",9,,2,,,,7
"Local no dest.para hab. humana",,,,,,,
"Viviendas particulares (049)",12,3,4,1,1,,3
"Ocupantes presentes (050)",49,9,13,2,1,,24
"Otro tipo",,,,,,,
,,,,,,,
RURAL,,,,,,,
"Viviendas particulares (055)",14757,32,49,952,5129,201,8394
"Ocupantes presentes (056)",58063,154,192,4054,21907,708,31048
"Casa independiente",,,,,,,
"Viviendas particulares (058)",12564,30,49,721,4659,185,6920
"Ocupantes presentes (059)",49474,148,192,3045,19884,648,25557
"Departamento en edificio",,,,,,,
"Vivienda en quinta",,,,,,,
"Vivienda en casa de vecindad",,,,,,,
"Choza o cabaña",,,,,,,
"Viviendas particulares (070)",2183,2,,228,466,16,1471
"Ocupantes presentes (071)",8576,6,,1005,2018,60,5487
"Vivienda improvisada",,,,,,,
"Local no dest.para hab. humana",,,,,,,
"Viviendas particulares (076)",8,,,2,4,,2
"Ocupantes presentes (077)",9,,,2,5,,2
"Otro tipo",,,,,,,
"Viviendas particulares (079)",2,,,1,,,1
"Ocupantes presentes (080)",4,,,2,,,2
