"CUADRO Nº 8: VIVIENDAS PARTICULARES CON OCUPANTES PRESENTES, POR MATERIAL PREDOMINANTE EN LOS PISOS DE LA VIVIENDA, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, TIPO DE VIVIENDA Y TOTAL DE OCUPANTES PRESENTES",,,,,,,,
,,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, TIPO DE VIVIENDA Y TOTAL DE OCUPANTES PRESENTES",TOTAL,"MATERIAL PREDOMINANTE EN LOS PISOS DE LA VIVIENDA",,,,,,
,,TIERRA,CEMENTO,"LOSETAS, TERRAZOS, CERÁMICOS O SIMILARES","PARQUET O MADERA PULIDA","MADERA (PONA, TOR-NILLO, ETC.)","LÁMINAS ASFÁL-TICAS, VINÍLICOS O SIMILARES","OTRO MATERIAL"
,,,,,,,,
"Provincia DOS DE MAYO",,,,,,,,
"Viviendas particulares (001)",10450,9225,917,18,68,203,11,8
"Ocupantes presentes (002)",46797,41710,3874,56,266,798,51,42
"Casa independiente",,,,,,,,
"Viviendas particulares (004)",9027,7870,872,17,61,193,11,3
"Ocupantes presentes (005)",40611,35772,3715,55,244,758,51,16
"Departamento en edificio",,,,,,,,
"Vivienda en quinta",,,,,,,,
"Viviendas particulares (010)",25,,17,1,7,,,
"Ocupantes presentes (011)",87,,64,1,22,,,
"Vivienda en casa de vecindad",,,,,,,,
"Viviendas particulares (013)",42,16,21,,,5,,
"Ocupantes presentes (014)",131,58,61,,,12,,
"Choza o cabaña",,,,,,,,
"Viviendas particulares (016)",1333,1319,6,,,4,,4
"Ocupantes presentes (017)",5878,5803,33,,,27,,15
"Vivienda improvisada",,,,,,,,
"Viviendas particulares (019)",5,2,1,,,1,,1
"Ocupantes presentes (020)",21,8,1,,,1,,11
"Local no dest.para hab. humana",,,,,,,,
"Viviendas particulares (022)",16,16,,,,,,
"Ocupantes presentes (023)",65,65,,,,,,
"Otro tipo",,,,,,,,
"Viviendas particulares (025)",2,2,,,,,,
"Ocupantes presentes (026)",4,4,,,,,,
,,,,,,,,
URBANA,,,,,,,,
"Viviendas particulares (028)",3791,2742,812,15,58,162,,2
"Ocupantes presentes (029)",16222,11919,3402,49,222,614,,16
"Casa independiente",,,,,,,,
"Viviendas particulares (031)",3711,2716,773,14,51,156,,1
"Ocupantes presentes (032)",15942,11812,3276,48,200,601,,5
"Departamento en edificio",,,,,,,,
"Vivienda en quinta",,,,,,,,
"Viviendas particulares (037)",25,,17,1,7,,,
"Ocupantes presentes (038)",87,,64,1,22,,,
"Vivienda en casa de vecindad",,,,,,,,
"Viviendas particulares (040)",42,16,21,,,5,,
"Ocupantes presentes (041)",131,58,61,,,12,,
"Choza o cabaña",,,,,,,,
"Vivienda improvisada",,,,,,,,
"Viviendas particulares (046)",5,2,1,,,1,,1
"Ocupantes presentes (047)",21,8,1,,,1,,11
"Local no dest.para hab. humana",,,,,,,,
"Viviendas particulares (049)",7,7,,,,,,
"Ocupantes presentes (050)",38,38,,,,,,
"Otro tipo",,,,,,,,
"Viviendas particulares (052)",1,1,,,,,,
"Ocupantes presentes (053)",3,3,,,,,,
,,,,,,,,
RURAL,,,,,,,,
"Viviendas particulares (055)",6659,6483,105,3,10,41,11,6
"Ocupantes presentes (056)",30575,29791,472,7,44,184,51,26
"Casa independiente",,,,,,,,
"Viviendas particulares (058)",5316,5154,99,3,10,37,11,2
"Ocupantes presentes (059)",24669,23960,439,7,44,157,51,11
"Departamento en edificio",,,,,,,,
"Vivienda en quinta",,,,,,,,
"Vivienda en casa de vecindad",,,,,,,,
"Choza o cabaña",,,,,,,,
"Viviendas particulares (070)",1333,1319,6,,,4,,4
"Ocupantes presentes (071)",5878,5803,33,,,27,,15
"Vivienda improvisada",,,,,,,,
"Local no dest.para hab. humana",,,,,,,,
"Viviendas particulares (076)",9,9,,,,,,
"Ocupantes presentes (077)",27,27,,,,,,
"Otro tipo",,,,,,,,
"Viviendas particulares (079)",1,1,,,,,,
"Ocupantes presentes (080)",1,1,,,,,,
