"CUADRO Nº 34: POBLACIÓN DESOCUPADA DE 6 Y MÁS AÑOS DE EDAD, POR GRANDES GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA Y DISTRITO, ÁREA URBANA Y RURAL, SEXO Y NIVEL EDUCATIVO ALCANZADO",,,,,,
,,,,,,
"DEPARTAMENTO Y PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y NIVEL EDUCATIVO ALCANZADO",TOTAL,"GRANDES GRUPOS DE EDAD",,,,
,,"6 A 14 AÑOS","15 A 29 AÑOS","30 A 44 AÑOS","45 A 64 AÑOS","65 A MÁS AÑOS"
,,,,,,
"Provincia NAZCA (000)",921,15,479,254,138,35
"Sin nivel (001)",25,,4,5,9,7
"Educación inicial (002)",2,,2,,,
"Primaria (003)",128,6,31,30,40,21
"Secundaria (004)",445,9,252,122,57,5
"Superior no univ. incompleta (005)",81,,55,21,4,1
"Superior no univ. completa (006)",129,,74,40,14,1
"Superior univ. incompleta (007)",30,,17,8,5,
"Superior univ. completa (008)",81,,44,28,9,
"Hombres (010)",589,8,305,147,103,26
"Sin nivel (011)",11,,1,3,4,3
"Educación inicial (012)",1,,1,,,
"Primaria (013)",97,4,24,19,32,18
"Secundaria (014)",307,4,174,79,47,3
"Superior no univ. incompleta (015)",44,,29,10,4,1
"Superior no univ. completa (016)",65,,41,15,8,1
"Superior univ. incompleta (017)",18,,9,7,2,
"Superior univ. completa (018)",46,,26,14,6,
"Mujeres (020)",332,7,174,107,35,9
"Sin nivel (021)",14,,3,2,5,4
"Educación inicial (022)",1,,1,,,
"Primaria (023)",31,2,7,11,8,3
"Secundaria (024)",138,5,78,43,10,2
"Superior no univ. incompleta (025)",37,,26,11,,
"Superior no univ. completa (026)",64,,33,25,6,
"Superior univ. incompleta (027)",12,,8,1,3,
"Superior univ. completa (028)",35,,18,14,3,
,,,,,,
"Area Urbana (030)",797,13,411,227,123,23
"Sin nivel (031)",18,,4,4,6,4
"Educación inicial (032)",2,,2,,,
"Primaria (033)",95,4,24,24,31,12
"Secundaria (034)",384,9,206,109,55,5
"Superior no univ. incompleta (035)",75,,50,20,4,1
"Superior no univ. completa (036)",115,,65,36,13,1
"Superior univ. incompleta (037)",30,,17,8,5,
"Superior univ. completa (038)",78,,43,26,9,
"Hombres (040)",494,8,255,127,88,16
"Sin nivel (041)",5,,1,2,1,1
"Educación inicial (042)",1,,1,,,
"Primaria (043)",70,4,19,14,23,10
"Secundaria (044)",260,4,139,69,45,3
"Superior no univ. incompleta (045)",42,,27,10,4,1
"Superior no univ. completa (046)",55,,34,13,7,1
"Superior univ. incompleta (047)",18,,9,7,2,
"Superior univ. completa (048)",43,,25,12,6,
"Mujeres (050)",303,5,156,100,35,7
"Sin nivel (051)",13,,3,2,5,3
"Educación inicial (052)",1,,1,,,
"Primaria (053)",25,,5,10,8,2
"Secundaria (054)",124,5,67,40,10,2
"Superior no univ. incompleta (055)",33,,23,10,,
"Superior no univ. completa (056)",60,,31,23,6,
"Superior univ. incompleta (057)",12,,8,1,3,
"Superior univ. completa (058)",35,,18,14,3,
,,,,,,
"Area Rural (060)",124,2,68,27,15,12
"Sin nivel (061)",7,,,1,3,3
"Primaria (063)",33,2,7,6,9,9
"Secundaria (064)",61,,46,13,2,
"Superior no univ. incompleta (065)",6,,5,1,,
"Superior no univ. completa (066)",14,,9,4,1,
"Superior univ. completa (068)",3,,1,2,,
"Hombres (070)",95,,50,20,15,10
"Sin nivel (071)",6,,,1,3,2
"Primaria (073)",27,,5,5,9,8
"Secundaria (074)",47,,35,10,2,
"Superior no univ. incompleta (075)",2,,2,,,
"Superior no univ. completa (076)",10,,7,2,1,
"Superior univ. completa (078)",3,,1,2,,
"Mujeres (080)",29,2,18,7,,2
"Sin nivel (081)",1,,,,,1
"Primaria (083)",6,2,2,1,,1
"Secundaria (084)",14,,11,3,,
"Superior no univ. incompleta (085)",4,,3,1,,
"Superior no univ. completa (086)",4,,2,2,,
