"CUADRO Nº 5: POBLACIÓN DE 12 Y MÁS AÑOS DE EDAD, POR AFILIACIÓN A ALGÚN TIPO DE SEGURO DE SALUD, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y ESTADO CIVIL",,,,,
,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y ESTADO CIVIL",TOTAL,"AFILIADO A ALGÚN SEGURO DE SALUD",,,
,,"SIS (SEGURO INTEGRAL DE SALUD)",ESSALUD,"OTRO SEGURO DE SALUD",NINGUNO
,,,,,
"Provincia SANDIA (000)",45521,9310,1831,320,34082
"Conviviente (001)",13830,2339,611,77,10806
"Separado(a) (002)",1023,133,34,15,841
"Casado(a) (003)",11704,2032,628,89,8963
"Viudo(a) (004)",2336,389,32,7,1908
"Divorciado(a) (005)",146,16,3,1,126
"Soltero(a) (006)",16482,4401,523,131,11438
"Hombres (008)",24770,4339,1024,194,19226
"Conviviente (009)",7064,919,361,45,5740
"Separado(a) (010)",401,28,9,7,357
"Casado(a) (011)",6116,921,348,61,4792
"Viudo(a) (012)",1000,142,14,3,841
"Divorciado(a) (013)",85,6,1,1,77
"Soltero(a) (014)",10104,2323,291,77,7419
"Mujeres (016)",20751,4971,807,126,14856
"Conviviente (017)",6766,1420,250,32,5066
"Separado(a) (018)",622,105,25,8,484
"Casado(a) (019)",5588,1111,280,28,4171
"Viudo(a) (020)",1336,247,18,4,1067
"Divorciado(a) (021)",61,10,2,,49
"Soltero(a) (022)",6378,2078,232,54,4019
,,,,,
"URBANA (024)",12192,2240,1179,155,8626
"Conviviente (025)",3732,516,359,29,2828
"Separado(a) (026)",341,44,21,8,268
"Casado(a) (027)",2722,349,434,45,1898
"Viudo(a) (028)",538,63,27,4,444
"Divorciado(a) (029)",34,2,2,1,29
"Soltero(a) (030)",4825,1266,336,68,3159
"Hombres (032)",6121,1022,603,102,4399
"Conviviente (033)",1732,179,181,18,1354
"Separado(a) (034)",105,11,7,4,83
"Casado(a) (035)",1326,143,231,34,922
"Viudo(a) (036)",197,27,11,2,157
"Divorciado(a) (037)",17,,,1,16
"Soltero(a) (038)",2744,662,173,43,1867
"Mujeres (040)",6071,1218,576,53,4227
"Conviviente (041)",2000,337,178,11,1474
"Separado(a) (042)",236,33,14,4,185
"Casado(a) (043)",1396,206,203,11,976
"Viudo(a) (044)",341,36,16,2,287
"Divorciado(a) (045)",17,2,2,,13
"Soltero(a) (046)",2081,604,163,25,1292
,,,,,
"RURAL (048)",33329,7070,652,165,25456
"Conviviente (049)",10098,1823,252,48,7978
"Separado(a) (050)",682,89,13,7,573
"Casado(a) (051)",8982,1683,194,44,7065
"Viudo(a) (052)",1798,326,5,3,1464
"Divorciado(a) (053)",112,14,1,,97
"Soltero(a) (054)",11657,3135,187,63,8279
"Hombres (056)",18649,3317,421,92,14827
"Conviviente (057)",5332,740,180,27,4386
"Separado(a) (058)",296,17,2,3,274
"Casado(a) (059)",4790,778,117,27,3870
"Viudo(a) (060)",803,115,3,1,684
"Divorciado(a) (061)",68,6,1,,61
"Soltero(a) (062)",7360,1661,118,34,5552
"Mujeres (064)",14680,3753,231,73,10629
"Conviviente (065)",4766,1083,72,21,3592
"Separado(a) (066)",386,72,11,4,299
"Casado(a) (067)",4192,905,77,17,3195
"Viudo(a) (068)",995,211,2,2,780
"Divorciado(a) (069)",44,8,,,36
"Soltero(a) (070)",4297,1474,69,29,2727
