"CUADRO Nº 1: VIVIENDAS PARTICULARES, POR CONDICIÓN DE OCUPACIÓN DE LA VIVIENDA, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, Y TIPO DE VIVIENDA",,,,,,,,,,
,,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, Y TIPO DE VIVIENDA",TOTAL,"CONDICIÓN DE OCUPACIÓN",,,,,,,,
,,OCUPADA,,,,DESOCUPADA,,,,
,,TOTAL,"CON PERSONAS PRESENTES","CON PERSONAS AUSENTES","DE USO OCASIONAL",TOTAL,"EN ALQUILER O VENTA","EN CONSTRUCCIÓN O REPARACIÓN","ABANDONADA CERRADA","OTRA CAUSA"
,,,,,,,,,,
"Provincia BONGARA (000)",8211,7779,6381,450,948,432,21,94,281,36
"Casa independiente (001)",7726,7330,6150,411,769,396,20,93,257,26
"Departamento en edificio (002)",7,7,7,,,,,,,
"Vivienda en quinta (003)",44,44,44,,,,,,,
"Vivienda en casa de vecindad (004)",148,145,128,4,13,3,1,1,1,
"Choza o cabaña (005)",265,234,38,31,165,31,,,21,10
"Vivienda improvisada (006)",12,10,5,4,1,2,,,2,
"Local no dest.para hab. humana (007)",9,9,9,,,,,,,
,,,,,,,,,,
"URBANA (009)",4247,4081,3833,156,92,166,14,41,107,4
"Casa independiente (010)",4029,3868,3642,148,78,161,13,40,104,4
"Departamento en edificio (011)",7,7,7,,,,,,,
"Vivienda en quinta (012)",44,44,44,,,,,,,
"Vivienda en casa de vecindad (013)",148,145,128,4,13,3,1,1,1,
"Vivienda improvisada (015)",12,10,5,4,1,2,,,2,
"Local no dest.para hab. humana (016)",7,7,7,,,,,,,
,,,,,,,,,,
"RURAL (018)",3964,3698,2548,294,856,266,7,53,174,32
"Casa independiente (019)",3697,3462,2508,263,691,235,7,53,153,22
"Choza o cabaña (023)",265,234,38,31,165,31,,,21,10
"Local no dest.para hab. humana (025)",2,2,2,,,,,,,
