"CUADRO Nº 9: POBLACIÓN DE 3 A 24 AÑOS DE EDAD, POR CONDICIÓN DE ALFABETISMO, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y GRUPOS DE EDAD NORMATIVA DE ESTUDIOS",,,
,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y EDAD NORMATIVA DE ESTUDIOS",TOTAL,"CONDICIÓN DE ALFABETISMO",
,,"SABE LEER Y ESCRIBIR","NO SABE LEER NI ESCRIBIR"
,,,
"Provincia LAURICOCHA (000)",17883,14641,3242
"De 3 a 5 años (001)",2627,212,2415
"De 6 a 11 años (002)",6139,5571,568
"De 12 a 16 años (003)",4835,4712,123
"De 17 a 24 años (004)",4282,4146,136
"Hombres (005)",9363,7718,1645
"De 3 a 5 años (006)",1368,104,1264
"De 6 a 11 años (007)",3162,2883,279
"De 12 a 16 años (008)",2580,2519,61
"De 17 a 24 años (009)",2253,2212,41
"Mujeres (010)",8520,6923,1597
"De 3 a 5 años (011)",1259,108,1151
"De 6 a 11 años (012)",2977,2688,289
"De 12 a 16 años (013)",2255,2193,62
"De 17 a 24 años (014)",2029,1934,95
,,,
"URBANA (015)",3933,3381,552
"De 3 a 5 años (016)",525,60,465
"De 6 a 11 años (017)",1287,1210,77
"De 12 a 16 años (018)",1120,1117,3
"De 17 a 24 años (019)",1001,994,7
"Hombres (020)",2047,1753,294
"De 3 a 5 años (021)",283,29,254
"De 6 a 11 años (022)",633,598,35
"De 12 a 16 años (023)",622,620,2
"De 17 a 24 años (024)",509,506,3
"Mujeres (025)",1886,1628,258
"De 3 a 5 años (026)",242,31,211
"De 6 a 11 años (027)",654,612,42
"De 12 a 16 años (028)",498,497,1
"De 17 a 24 años (029)",492,488,4
,,,
"RURAL (030)",13950,11260,2690
"De 3 a 5 años (031)",2102,152,1950
"De 6 a 11 años (032)",4852,4361,491
"De 12 a 16 años (033)",3715,3595,120
"De 17 a 24 años (034)",3281,3152,129
"Hombres (035)",7316,5965,1351
"De 3 a 5 años (036)",1085,75,1010
"De 6 a 11 años (037)",2529,2285,244
"De 12 a 16 años (038)",1958,1899,59
"De 17 a 24 años (039)",1744,1706,38
"Mujeres (040)",6634,5295,1339
"De 3 a 5 años (041)",1017,77,940
"De 6 a 11 años (042)",2323,2076,247
"De 12 a 16 años (043)",1757,1696,61
"De 17 a 24 años (044)",1537,1446,91
