"CUADRO Nº 13: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR EDAD QUE TENÍA CUANDO NACIÓ SU PRIMER HIJO(A) NACIDO VIVO, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, Y NIVEL EDUCATIVO ALCANZADO",,,,,,,,,,,
,,,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL; Y NIVEL EDUCATIVO ALCANZADO",TOTAL,"EDAD QUE TENÍA CUANDO NACIÓ SU PRIMER HIJO",,,,,,,,,"NO ESPECIFICADO"
,,"DE 12 A 14 AÑOS","DE 15 A 19 AÑOS","DE 20 A 24 AÑOS","DE 25 A 29 AÑOS","DE 30 A 34 AÑOS","DE 35 A 39 AÑOS","DE 40 A 44 AÑOS","DE 45 A 49 AÑOS","DE 50 A MÁS AÑOS",
,,,,,,,,,,,
"Provincia PUERTO INCA (000)",6660,326,3693,1551,350,113,53,9,3,,562
"Sin Nivel (001)",1073,75,571,232,60,23,19,5,1,,87
"Educación Inicial (002)",8,2,5,1,,,,,,,
"Primaria (003)",3794,211,2274,819,162,43,20,2,2,,261
"Secundaria (004)",1458,35,780,392,71,13,6,1,,,160
"Sup. no Univ. Incompleta (005)",85,1,25,28,12,3,,,,,16
"Sup. no Univ. Completa (006)",109,,19,38,24,13,2,1,,,12
"Sup. Univ. Incompleta (007)",24,,7,7,5,1,,,,,4
"Sup. Univ. Completa (008)",109,2,12,34,16,17,6,,,,22
,,,,,,,,,,,
"URBANA (010)",1471,33,753,388,102,36,25,2,1,,131
"Sin Nivel (011)",145,5,75,37,11,3,8,,,,6
"Educación Inicial (012)",1,1,,,,,,,,,
"Primaria (013)",654,15,388,160,30,12,7,1,1,,40
"Secundaria (014)",488,11,255,134,36,4,4,,,,44
"Sup. no Univ. Incompleta (015)",51,,15,18,5,1,,,,,12
"Sup. no Univ. Completa (016)",57,,11,20,11,5,,1,,,9
"Sup. Univ. Incompleta (017)",12,,4,4,,1,,,,,3
"Sup. Univ. Completa (018)",63,1,5,15,9,10,6,,,,17
,,,,,,,,,,,
"RURAL (020)",5189,293,2940,1163,248,77,28,7,2,,431
"Sin Nivel (021)",928,70,496,195,49,20,11,5,1,,81
"Educación Inicial (022)",7,1,5,1,,,,,,,
"Primaria (023)",3140,196,1886,659,132,31,13,1,1,,221
"Secundaria (024)",970,24,525,258,35,9,2,1,,,116
"Sup. no Univ. Incompleta (025)",34,1,10,10,7,2,,,,,4
"Sup. no Univ. Completa (026)",52,,8,18,13,8,2,,,,3
"Sup. Univ. Incompleta (027)",12,,3,3,5,,,,,,1
"Sup. Univ. Completa (028)",46,1,7,19,7,7,,,,,5
