"CUADRO Nº 3: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR NÚMERO DE HIJOS NACIDOS VIVOS, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, Y RELIGIÓN QUE PROFESA",,,,,,,,,,
,,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL Y RELIGION QUE PROFESA",TOTAL,"NÚMERO DE HIJOS NACIDOS VIVOS",,,,,,,,"NO ESPECI- FICADO"
,,TOTAL,0,1,2,3,"4 A 5","6 A 7","8 A MÁS",
,,,,,,,,,,
"Provincia HUARAL (000)",63447,59871,17130,10074,10422,7379,8060,3948,2858,3576
"Católica (001)",53637,50628,14412,8699,8989,6258,6759,3232,2279,3009
"Cristiana/Evangélica (002)",7079,6716,1866,958,1030,803,1006,564,489,363
"Otra (003)",1541,1423,430,222,232,199,175,105,60,118
"Ninguna (004)",1190,1104,422,195,171,119,120,47,30,86
,,,,,,,,,,
"URBANA (006)",53622,50402,14482,8574,8995,6283,6692,3179,2197,3220
"Católica (007)",44878,42193,12047,7337,7714,5264,5551,2557,1723,2685
"Cristiana/Evangélica (008)",6222,5887,1650,851,903,727,869,489,398,335
"Otra (009)",1456,1339,403,212,225,187,163,95,54,117
"Ninguna (010)",1066,983,382,174,153,105,109,38,22,83
,,,,,,,,,,
"RURAL (012)",9825,9469,2648,1500,1427,1096,1368,769,661,356
"Católica (013)",8759,8435,2365,1362,1275,994,1208,675,556,324
"Cristiana/Evangélica (014)",857,829,216,107,127,76,137,75,91,28
"Otra (015)",85,84,27,10,7,12,12,10,6,1
"Ninguna (016)",124,121,40,21,18,14,11,9,8,3
