"CUADRO Nº 2: TOTAL DE HOGARES EN VIVIENDAS PARTICULARES CON OCUPANTES PRESENTES, POR VARIEDAD DE ARTEFACTOS Y EQUIPOS QUE POSEE, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, TIPO DE VIVIENDA Y TOTAL DE OCUPANTES PRESENTES",,,,,,,,
,,,,,,,,
"DEPARTAMENTO Y PROVINCIA, ÁREA URBANA Y RURAL, TIPO DE VIVIENDA Y TOTAL DE OCUPANTES PRESENTES",TOTAL,"ARTEFACTOS Y EQUIPOS QUE POSEE EL HOGAR",,,,,,
,,RADIO,"TELEVISOR A COLOR","EQUIPO DE SONIDO","LAVADORA DE ROPA","REFRIGERADORA O CONGELADORA",COMPUTADORA,NINGUNO
,,,,,,,,
"Provincia HUARMEY",,,,,,,,
"Hogares (001)",6898,4225,4627,1859,518,1810,467,1021
"Ocupantes presentes (002)",27279,17155,19718,8134,2368,8013,2073,3189
"Casa independiente",,,,,,,,
"Hogares (004)",6617,4065,4482,1815,512,1771,453,953
"Ocupantes presentes (005)",26268,16550,19176,7959,2341,7849,2032,2963
"Departamento en edificio",,,,,,,,
"Hogares (007)",14,9,13,4,2,6,3,1
"Ocupantes presentes (008)",58,37,56,15,8,27,13,2
"Vivienda en quinta",,,,,,,,
"Hogares (010)",71,40,54,12,1,8,5,12
"Ocupantes presentes (011)",212,128,168,40,2,35,10,32
"Vivienda en casa de vecindad",,,,,,,,
"Hogares (013)",54,29,36,19,2,14,2,12
"Ocupantes presentes (014)",175,110,133,74,11,51,6,18
"Choza o cabaña",,,,,,,,
"Hogares (016)",95,57,15,5,,6,,31
"Ocupantes presentes (017)",382,228,66,21,,29,,128
"Vivienda improvisada",,,,,,,,
"Hogares (019)",38,23,21,2,,4,1,10
"Ocupantes presentes (020)",157,97,100,15,,16,2,39
"Local no dest.para hab. humana",,,,,,,,
"Hogares (022)",9,2,6,2,1,1,3,2
"Ocupantes presentes (023)",27,5,19,10,6,6,10,7
"Otro tipo",,,,,,,,
,,,,,,,,
URBANA,,,,,,,,
"Hogares (028)",5101,3202,3907,1706,513,1647,458,577
"Ocupantes presentes (029)",20609,13254,16697,7463,2343,7335,2042,1771
"Casa independiente",,,,,,,,
"Hogares (031)",4916,3099,3778,1667,507,1614,444,540
"Ocupantes presentes (032)",19981,12877,16222,7309,2316,7200,2001,1673
"Departamento en edificio",,,,,,,,
"Hogares (034)",14,9,13,4,2,6,3,1
"Ocupantes presentes (035)",58,37,56,15,8,27,13,2
"Vivienda en quinta",,,,,,,,
"Hogares (037)",71,40,54,12,1,8,5,12
"Ocupantes presentes (038)",212,128,168,40,2,35,10,32
"Vivienda en casa de vecindad",,,,,,,,
"Hogares (040)",54,29,36,19,2,14,2,12
"Ocupantes presentes (041)",175,110,133,74,11,51,6,18
"Choza o cabaña",,,,,,,,
"Vivienda improvisada",,,,,,,,
"Hogares (046)",38,23,21,2,,4,1,10
"Ocupantes presentes (047)",157,97,100,15,,16,2,39
"Local no dest.para hab. humana",,,,,,,,
"Hogares (049)",8,2,5,2,1,1,3,2
"Ocupantes presentes (050)",26,5,18,10,6,6,10,7
"Otro tipo",,,,,,,,
,,,,,,,,
RURAL,,,,,,,,
"Hogares (055)",1797,1023,720,153,5,163,9,444
"Ocupantes presentes (056)",6670,3901,3021,671,25,678,31,1418
"Casa independiente",,,,,,,,
"Hogares (058)",1701,966,704,148,5,157,9,413
"Ocupantes presentes (059)",6287,3673,2954,650,25,649,31,1290
"Departamento en edificio",,,,,,,,
"Vivienda en quinta",,,,,,,,
"Vivienda en casa de vecindad",,,,,,,,
"Choza o cabaña",,,,,,,,
"Hogares (070)",95,57,15,5,,6,,31
"Ocupantes presentes (071)",382,228,66,21,,29,,128
"Vivienda improvisada",,,,,,,,
"Local no dest.para hab. humana",,,,,,,,
"Hogares (076)",1,,1,,,,,
"Ocupantes presentes (077)",1,,1,,,,,
"Otro tipo",,,,,,,,
