"CUADRO Nº 13: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR EDAD QUE TENÍA CUANDO NACIÓ SU PRIMER HIJO(A) NACIDO VIVO, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, Y NIVEL EDUCATIVO ALCANZADO",,,,,,,,,,,
,,,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL; Y NIVEL EDUCATIVO ALCANZADO",TOTAL,"EDAD QUE TENÍA CUANDO NACIÓ SU PRIMER HIJO",,,,,,,,,"NO ESPECIFICADO"
,,"DE 12 A 14 AÑOS","DE 15 A 19 AÑOS","DE 20 A 24 AÑOS","DE 25 A 29 AÑOS","DE 30 A 34 AÑOS","DE 35 A 39 AÑOS","DE 40 A 44 AÑOS","DE 45 A 49 AÑOS","DE 50 A MÁS AÑOS",
,,,,,,,,,,,
"Provincia ATALAYA (000)",9243,802,4814,1429,409,146,79,27,7,,1530
"Sin Nivel (001)",2451,299,1269,275,92,42,36,10,3,,425
"Educación Inicial (002)",76,7,30,8,,1,,,,,30
"Primaria (003)",3786,414,2097,442,103,38,22,11,4,,655
"Secundaria (004)",2186,77,1226,442,101,20,12,2,,,306
"Sup. no Univ. Incompleta (005)",210,1,76,81,18,10,1,,,,23
"Sup. no Univ. Completa (006)",264,1,68,94,47,17,3,2,,,32
"Sup. Univ. Incompleta (007)",90,1,27,28,12,3,1,,,,18
"Sup. Univ. Completa (008)",180,2,21,59,36,15,4,2,,,41
,,,,,,,,,,,
"URBANA (010)",3566,124,1745,809,249,86,45,15,3,,490
"Sin Nivel (011)",276,23,128,43,14,7,8,1,,,52
"Educación Inicial (012)",16,2,8,2,,1,,,,,3
"Primaria (013)",1184,65,693,194,50,19,16,9,3,,135
"Secundaria (014)",1427,31,754,330,82,19,12,2,,,197
"Sup. no Univ. Incompleta (015)",188,1,63,79,15,8,1,,,,21
"Sup. no Univ. Completa (016)",240,,60,88,44,15,3,1,,,29
"Sup. Univ. Incompleta (017)",78,1,22,23,11,3,1,,,,17
"Sup. Univ. Completa (018)",157,1,17,50,33,14,4,2,,,36
,,,,,,,,,,,
"RURAL (020)",5677,678,3069,620,160,60,34,12,4,,1040
"Sin Nivel (021)",2175,276,1141,232,78,35,28,9,3,,373
"Educación Inicial (022)",60,5,22,6,,,,,,,27
"Primaria (023)",2602,349,1404,248,53,19,6,2,1,,520
"Secundaria (024)",759,46,472,112,19,1,,,,,109
"Sup. no Univ. Incompleta (025)",22,,13,2,3,2,,,,,2
"Sup. no Univ. Completa (026)",24,1,8,6,3,2,,1,,,3
"Sup. Univ. Incompleta (027)",12,,5,5,1,,,,,,1
"Sup. Univ. Completa (028)",23,1,4,9,3,1,,,,,5
