"CUADRO Nº 3: POBLACIÓN TOTAL EN VIVIENDAS PARTICULARES, POR GRANDES GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, Y TIPO DE VIVIENDA PARTICULAR",,,,,,,
,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL Y TIPO DE VIVIENDA PARTICULAR",TOTAL,"GRANDES GRUPOS DE EDAD",,,,,
,,"MENOS DE 1 AÑO","1 A 14 AÑOS","15 A 29 AÑOS","30 A 44 AÑOS","45 A 64 AÑOS","65 A MÁS AÑOS"
,,,,,,,
"Provincia CAJAMARCA (000)",308406,6275,91551,92132,60177,41048,17223
"Casa independiente (001)",281514,5600,83937,83037,54322,38158,16460
"Departamento en edificio (002)",6113,167,1608,1760,1669,763,146
"Vivienda en quinta (003)",10650,269,2890,4012,2280,979,220
"Vivienda en casa de vecindad (004)",4607,109,1276,1691,946,455,130
"Choza o cabaña (005)",4683,111,1589,1351,782,609,241
"Vivienda improvisada (006)",314,5,108,106,63,28,4
"Local no destinado para hab.humana (007)",321,6,94,101,66,37,17
"Otro tipo (008)",204,8,49,74,49,19,5
,,,,,,,
"URBANA (009)",170083,3354,45396,53396,36215,23366,8356
"Casa independiente (010)",147912,2792,39382,45665,31152,21086,7835
"Departamento en edificio (011)",6113,167,1608,1760,1669,763,146
"Vivienda en quinta (012)",10650,269,2890,4012,2280,979,220
"Vivienda en casa de vecindad (013)",4607,109,1276,1691,946,455,130
"Vivienda improvisada (015)",314,5,108,106,63,28,4
"Local no destinado para hab.humana (016)",285,5,83,89,56,36,16
"Otro tipo (017)",202,7,49,73,49,19,5
,,,,,,,
"RURAL (018)",138323,2921,46155,38736,23962,17682,8867
"Casa independiente (019)",133602,2808,44555,37372,23170,17072,8625
"Choza o cabaña (023)",4683,111,1589,1351,782,609,241
"Local no destinado para hab.humana (025)",36,1,11,12,10,1,1
"Otro tipo (026)",2,1,,1,,,
