"CUADRO Nº 9: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR NÚMERO DE HIJOS NACIDOS VIVOS, HIJOS SOBREVIVIENTES, HIJOS NACIDOS EL ÚLTIMO AÑO, SEGÚN DEPARTAMENTO, PROVIINCIA, ÁREA URBANA Y RURAL, CONDICIÓN DE ACTIVIDAD Y GRUPOS QUINQUENALES DE EDAD",,,,,,,
,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, CONDICION DE ACTIVIDAD Y GRUPOS QUINQUENALES DE EDAD","TOTAL DE MUJERES","HIJOS NACIDOS VIVOS",,"NACIDOS VIVOS ULTIMO AÑO",PROPORCION,,
,,TOTAL,SOBREVIVIENTES,,TOTAL,"ULTIMO AÑO",
,,,,,,,
"Provincia JAUJA (000)",36536,101734,92140,,1397,90.6,1.4
"De 12 a 14 años (001)",3453,14,14,,1,100,7.1
"De 15 a 19 años (002)",4493,445,430,134,96.6,30.1,
"De 20 a 24 años (003)",3655,2438,2365,335,97,13.7,
"De 25 a 29 años (004)",3207,4630,4510,336,97.4,7.3,
"De 30 a 34 años (005)",2948,6734,6512,286,96.7,4.2,
"De 35 a 39 años (006)",3086,9742,9341,211,95.9,2.2,
"De 40 a 44 años (007)",2808,10808,10213,77,94.5,0.7,
"De 45 a 49 años (008)",2433,10600,9927,17,93.7,0.2,
"De 50 y más años (009)",10453,56323,48828,,86.7,,
"PEA (010)",11480,33069,30469,400,92.1,1.2,
"De 12 a 14 años (011)",110,4,4,,100,,
"De 15 a 19 años (012)",605,111,109,28,98.2,25.2,
"De 20 a 24 años (013)",1224,722,702,66,97.2,9.1,
"De 25 a 29 años (014)",1381,1613,1573,102,97.5,6.3,
"De 30 a 34 años (015)",1316,2595,2521,98,97.1,3.8,
"De 35 a 39 años (016)",1447,4174,4018,74,96.3,1.8,
"De 40 a 44 años (017)",1326,4691,4429,27,94.4,0.6,
"De 45 a 49 años (018)",1140,4606,4304,5,93.4,0.1,
"De 50 y más años (019)",2931,14553,12809,,88,,
"Ocupada (020)",10970,32447,29895,380,92.1,1.2,
"De 12 a 14 años (021)",101,4,4,,100,,
"De 15 a 19 años (022)",542,106,104,27,98.1,25.5,
"De 20 a 24 años (023)",1086,682,662,62,97.1,9.1,
"De 25 a 29 años (024)",1278,1541,1502,94,97.5,6.1,
"De 30 a 34 años (025)",1252,2506,2437,93,97.2,3.7,
"De 35 a 39 años (026)",1399,4065,3914,72,96.3,1.8,
"De 40 a 44 años (027)",1287,4575,4322,27,94.5,0.6,
"De 45 a 49 años (028)",1127,4572,4271,5,93.4,0.1,
"De 50 y más años (029)",2898,14396,12679,,88.1,,
"Desocupada (030)",510,622,574,20,92.3,3.2,
"De 12 a 14 años (031)",9,,,,,,
"De 15 a 19 años (032)",63,5,5,1,100,20,
"De 20 a 24 años (033)",138,40,40,4,100,10,
"De 25 a 29 años (034)",103,72,71,8,98.6,11.1,
"De 30 a 34 años (035)",64,89,84,5,94.4,5.6,
