"CUADRO Nº 8: POBLACIÓN DE 3 Y MÁS AÑOS DE EDAD, POR GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y CONDICIÓN DE ALFABETISMO",,,,,,,,,
,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y CONDICIÓN DE ALFABETISMO",TOTAL,"GRUPOS DE EDAD",,,,,,,
,,"3 A 4 AÑOS","5 A 9 AÑOS","10 A 14 AÑOS","15 A 19 AÑOS","20 A 29 AÑOS","30 A 39 AÑOS","40 A 64 AÑOS","65 A MÁS AÑOS"
,,,,,,,,,
"Provincia SAN ROMAN (000)",227319,9700,24646,28061,26767,47370,36176,45336,9263
"Sabe leer y escribir (001)",202810,,19523,27937,26680,47048,35606,40750,5266
"No sabe leer y escribir (002)",24509,9700,5123,124,87,322,570,4586,3997
"Hombres (004)",111290,4862,12458,14346,13469,22779,16827,22207,4342
"Sabe leer y escribir (005)",102276,,9867,14284,13440,22688,16734,21690,3573
"No sabe leer y escribir (006)",9014,4862,2591,62,29,91,93,517,769
"Mujeres (008)",116029,4838,12188,13715,13298,24591,19349,23129,4921
"Sabe leer y escribir (009)",100534,,9656,13653,13240,24360,18872,19060,1693
"No sabe leer y escribir (010)",15495,4838,2532,62,58,231,477,4069,3228
,,,,,,,,,
"URBANA (012)",208298,8840,22439,25618,24840,44504,34044,40924,7089
"Sabe leer y escribir (013)",187966,,17909,25507,24771,44265,33590,37488,4436
"No sabe leer y escribir (014)",20332,8840,4530,111,69,239,454,3436,2653
"Hombres (016)",102227,4423,11332,13100,12533,21389,15877,20217,3356
"Sabe leer y escribir (017)",94511,,9041,13045,12508,21331,15803,19858,2925
"No sabe leer y escribir (018)",7716,4423,2291,55,25,58,74,359,431
"Mujeres (020)",106071,4417,11107,12518,12307,23115,18167,20707,3733
"Sabe leer y escribir (021)",93455,,8868,12462,12263,22934,17787,17630,1511
"No sabe leer y escribir (022)",12616,4417,2239,56,44,181,380,3077,2222
,,,,,,,,,
"RURAL (024)",19021,860,2207,2443,1927,2866,2132,4412,2174
"Sabe leer y escribir (025)",14844,,1614,2430,1909,2783,2016,3262,830
"No sabe leer y escribir (026)",4177,860,593,13,18,83,116,1150,1344
"Hombres (028)",9063,439,1126,1246,936,1390,950,1990,986
"Sabe leer y escribir (029)",7765,,826,1239,932,1357,931,1832,648
"No sabe leer y escribir (030)",1298,439,300,7,4,33,19,158,338
"Mujeres (032)",9958,421,1081,1197,991,1476,1182,2422,1188
"Sabe leer y escribir (033)",7079,,788,1191,977,1426,1085,1430,182
"No sabe leer y escribir (034)",2879,421,293,6,14,50,97,992,1006
