"CUADRO Nº 3: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR NÚMERO DE HIJOS NACIDOS VIVOS, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, Y RELIGIÓN QUE PROFESA",,,,,,,,,,
,,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL Y RELIGION QUE PROFESA",TOTAL,"NÚMERO DE HIJOS NACIDOS VIVOS",,,,,,,,"NO ESPECI- FICADO"
,,TOTAL,0,1,2,3,"4 A 5","6 A 7","8 A MÁS",
,,,,,,,,,,
"Provincia ABANCAY (000)",36040,34685,11203,4571,4181,3251,4577,3085,3817,1355
"Católica (001)",31393,30226,9721,4058,3679,2851,3962,2686,3269,1167
"Cristiana/Evangélica (002)",3322,3216,1024,364,362,295,447,295,429,106
"Otra (003)",932,886,303,106,93,75,127,82,100,46
"Ninguna (004)",393,357,155,43,47,30,41,22,19,36
,,,,,,,,,,
"URBANA (006)",23854,22754,8318,3403,3073,2267,2731,1520,1442,1100
"Católica (007)",20925,19976,7230,3052,2751,2029,2376,1328,1210,949
"Cristiana/Evangélica (008)",1871,1790,684,227,207,156,228,125,163,81
"Otra (009)",752,715,265,91,77,63,102,54,63,37
"Ninguna (010)",306,273,139,33,38,19,25,13,6,33
,,,,,,,,,,
"RURAL (012)",12186,11931,2885,1168,1108,984,1846,1565,2375,255
"Católica (013)",10468,10250,2491,1006,928,822,1586,1358,2059,218
"Cristiana/Evangélica (014)",1451,1426,340,137,155,139,219,170,266,25
"Otra (015)",180,171,38,15,16,12,25,28,37,9
"Ninguna (016)",87,84,16,10,9,11,16,9,13,3
