"CUADRO Nº 14: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR EDAD QUE TENÍA CUANDO NACIÓ SU PRIMER HIJO(A) NACIDO VIVO, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, Y ESTADO CIVIL",,,,,,,,,,,
,,,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL Y ESTADO CIVIL",TOTAL,"EDAD QUE TENÍA CUANDO NACIÓ SU PRIMER HIJO",,,,,,,,,"NO ESPECIFICADO"
,,"DE 12 A 14 AÑOS","DE 15 A 19 AÑOS","DE 20 A 24 AÑOS","DE 25 A 29 AÑOS","DE 30 A 34 AÑOS","DE 35 A 39 AÑOS","DE 40 A 44 AÑOS","DE 45 A 49 AÑOS","DE 50 A MÁS AÑOS",
,,,,,,,,,,,
"Provincia BOLOGNESI (000)",7998,107,3073,2671,813,305,132,72,16,,809
"Conviviente (001)",2867,34,1182,976,271,92,30,14,2,,266
"Separado(a) (002)",456,10,174,153,49,29,8,7,,,26
"Casado(a) (003)",2959,33,1149,1044,342,111,60,30,7,,183
"Viudo(a) (004)",883,16,373,277,65,39,20,19,3,,71
"Divorciado(a) (005)",40,1,15,13,4,1,1,,,,5
"Soltero(a) (006)",793,13,180,208,82,33,13,2,4,,258
,,,,,,,,,,,
"URBANA (008)",5229,75,1906,1764,558,213,105,53,16,,539
"Conviviente (009)",1739,24,675,593,176,60,20,9,2,,180
"Separado(a) (010)",327,9,124,105,38,20,7,5,,,19
"Casado(a) (011)",1999,21,738,720,230,81,49,23,7,,130
"Viudo(a) (012)",593,11,237,178,49,27,19,14,3,,55
"Divorciado(a) (013)",34,,13,13,4,1,1,,,,2
"Soltero(a) (014)",537,10,119,155,61,24,9,2,4,,153
,,,,,,,,,,,
"RURAL (016)",2769,32,1167,907,255,92,27,19,,,270
"Conviviente (017)",1128,10,507,383,95,32,10,5,,,86
"Separado(a) (018)",129,1,50,48,11,9,1,2,,,7
"Casado(a) (019)",960,12,411,324,112,30,11,7,,,53
"Viudo(a) (020)",290,5,136,99,16,12,1,5,,,16
"Divorciado(a) (021)",6,1,2,,,,,,,,3
"Soltero(a) (022)",256,3,61,53,21,9,4,,,,105
