"CUADRO Nº 6: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR NÚMERO DE HIJOS QUE SE ENCUENTRAN ACTUALMENTE VIVOS, SEGÚN DEPARTAMENTO, PROVINCIAL, DISTRITO, ÁREA URBANA Y RURAL, CONDICIÓN DE ACTIVIDAD Y GRUPOS QUINQUENALES DE EDAD",,,,,,,,,,,,
,,,,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, CONDICIÓN DE ACTIVIDAD Y GRUPOS QUINQUENALES DE EDAD","TOTAL DE MUJERES","POBLACIÓN FEMENINA POR NÚMERO DE HIJOS ACTUALMENTE VIVOS",,,,,,,,,"SIN DECLARACIÓN","TOTAL DE HIJOS ACTUALMENTE VIVOS"
,,TOTAL,0,1,2,3,"4 A 5","6 A 7","8 A 9","10 A MÁS",,
,,,,,,,,,,,,
"Provincia ILO (000)",18164,16875,83,4655,5141,3239,2610,825,268,54,1289,44083
"De 12 a 14 años (001)",29,15,1,9,5,,,,,,14,19
"De 15 a 19 años (002)",317,267,5,232,22,4,4,,,,50,304
"De 20 a 24 años (003)",1571,1203,8,913,222,56,3,1,,,368,1544
"De 25 a 29 años (004)",2432,1999,10,1110,672,164,43,,,,433,3124
"De 30 a 34 años (005)",2564,2384,8,881,1016,370,100,9,,,180,4494
"De 35 a 39 años (006)",2476,2395,8,547,1062,514,239,21,3,1,81,5397
"De 40 a 44 años (007)",2019,1962,13,341,726,522,313,41,5,1,57,4996
"De 45 a 49 años (008)",1776,1737,9,230,567,491,362,65,11,2,39,4931
"De 50 y más años (009)",4980,4913,21,392,849,1118,1546,688,249,50,67,19274
"PEA (010)",8270,7504,37,2338,2432,1379,974,251,77,16,766,17977
"De 12 a 14 años (011)",3,3,,1,2,,,,,,,5
"De 15 a 19 años (012)",85,69,,56,8,2,3,,,,16,90
"De 20 a 24 años (013)",624,420,3,333,65,17,1,1,,,204,524
"De 25 a 29 años (014)",1159,868,5,547,253,51,12,,,,291,1256
"De 30 a 34 años (015)",1308,1180,5,498,471,162,41,3,,,128,2116
"De 35 a 39 años (016)",1391,1336,5,349,592,258,116,13,2,1,55,2914
"De 40 a 44 años (017)",1126,1089,9,228,391,284,159,16,1,1,37,2662
"De 45 a 49 años (018)",921,902,4,147,298,235,179,32,6,1,19,2481
"De 50 y más años (019)",1653,1637,6,179,352,370,463,186,68,13,16,5929
"Ocupada (020)",7791,7126,33,2193,2319,1316,931,243,76,15,665,17162
"De 12 a 14 años (021)",3,3,,1,2,,,,,,,5
