"CUADRO Nº 34: POBLACIÓN DESOCUPADA DE 6 Y MÁS AÑOS DE EDAD, POR GRANDES GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA Y DISTRITO, ÁREA URBANA Y RURAL, SEXO Y NIVEL EDUCATIVO ALCANZADO",,,,,,
,,,,,,
"DEPARTAMENTO Y PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y NIVEL EDUCATIVO ALCANZADO",TOTAL,"GRANDES GRUPOS DE EDAD",,,,
,,"6 A 14 AÑOS","15 A 29 AÑOS","30 A 44 AÑOS","45 A 64 AÑOS","65 A MÁS AÑOS"
,,,,,,
"Provincia PUERTO INCA (000)",632,57,286,150,111,28
"Sin nivel (001)",47,15,9,9,10,4
"Educación inicial (002)",1,,1,,,
"Primaria (003)",322,36,123,77,67,19
"Secundaria (004)",215,6,130,49,25,5
"Superior no univ. incompleta (005)",16,,9,5,2,
"Superior no univ. completa (006)",4,,3,,1,
"Superior univ. incompleta (007)",8,,5,1,2,
"Superior univ. completa (008)",19,,6,9,4,
"Hombres (010)",478,35,200,124,94,25
"Sin nivel (011)",28,7,5,5,8,3
"Educación inicial (012)",1,,1,,,
"Primaria (013)",241,23,82,62,56,18
"Secundaria (014)",173,5,96,45,23,4
"Superior no univ. incompleta (015)",15,,8,5,2,
"Superior no univ. completa (016)",2,,1,,1,
"Superior univ. incompleta (017)",5,,3,,2,
"Superior univ. completa (018)",13,,4,7,2,
"Mujeres (020)",154,22,86,26,17,3
"Sin nivel (021)",19,8,4,4,2,1
"Primaria (023)",81,13,41,15,11,1
"Secundaria (024)",42,1,34,4,2,1
"Superior no univ. incompleta (025)",1,,1,,,
"Superior no univ. completa (026)",2,,2,,,
"Superior univ. incompleta (027)",3,,2,1,,
"Superior univ. completa (028)",6,,2,2,2,
,,,,,,
"Area Urbana (030)",201,3,82,61,47,8
"Sin nivel (031)",2,,,,2,
"Primaria (033)",82,3,26,26,23,4
"Secundaria (034)",83,,40,23,16,4
"Superior no univ. incompleta (035)",13,,7,4,2,
"Superior no univ. completa (036)",3,,2,,1,
"Superior univ. incompleta (037)",4,,3,,1,
"Superior univ. completa (038)",14,,4,8,2,
"Hombres (040)",164,3,58,55,41,7
"Sin nivel (041)",1,,,,1,
"Primaria (043)",61,3,15,21,18,4
"Secundaria (044)",74,,32,23,16,3
"Superior no univ. incompleta (045)",12,,6,4,2,
"Superior no univ. completa (046)",2,,1,,1,
"Superior univ. incompleta (047)",2,,1,,1,
"Superior univ. completa (048)",12,,3,7,2,
"Mujeres (050)",37,,24,6,6,1
"Sin nivel (051)",1,,,,1,
"Primaria (053)",21,,11,5,5,
"Secundaria (054)",9,,8,,,1
"Superior no univ. incompleta (055)",1,,1,,,
"Superior no univ. completa (056)",1,,1,,,
"Superior univ. incompleta (057)",2,,2,,,
"Superior univ. completa (058)",2,,1,1,,
,,,,,,
"Area Rural (060)",431,54,204,89,64,20
"Sin nivel (061)",45,15,9,9,8,4
"Educación inicial (062)",1,,1,,,
"Primaria (063)",240,33,97,51,44,15
"Secundaria (064)",132,6,90,26,9,1
"Superior no univ. incompleta (065)",3,,2,1,,
"Superior no univ. completa (066)",1,,1,,,
"Superior univ. incompleta (067)",4,,2,1,1,
"Superior univ. completa (068)",5,,2,1,2,
"Hombres (070)",314,32,142,69,53,18
"Sin nivel (071)",27,7,5,5,7,3
"Educación inicial (072)",1,,1,,,
"Primaria (073)",180,20,67,41,38,14
"Secundaria (074)",99,5,64,22,7,1
"Superior no univ. incompleta (075)",3,,2,1,,
"Superior univ. incompleta (077)",3,,2,,1,
"Superior univ. completa (078)",1,,1,,,
"Mujeres (080)",117,22,62,20,11,2
"Sin nivel (081)",18,8,4,4,1,1
"Primaria (083)",60,13,30,10,6,1
"Secundaria (084)",33,1,26,4,2,
"Superior no univ. completa (086)",1,,1,,,
"Superior univ. incompleta (087)",1,,,1,,
"Superior univ. completa (088)",4,,1,1,2,
