"CUADRO Nº 25: POBLACIÓN OCUPADA DE 14 Y MÁS AÑOS DE EDAD, POR CATEGORÍA DE OCUPACIÓN, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y RAMA DE ACTIVIDAD ECONÓMICA",,,,,,,
,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y RAMA DE ACTIVIDAD ECONOMICA",TOTAL,"CATEGORIA DE OCUPACION",,,,,
,,EMPLEADO,OBRERO,"TRABAJADOR INDEPENDIENTE","EMPLEADOR O PATRONO","TRABAJADOR FAMILIAR NO REMUNERADO","TRABAJADOR DEL HOGAR"
,,,,,,,
"Provincia UTCUBAMBA (000)",34930,4694,9335,15528,1050,3809,514
"Agric., ganadería, caza y silvicultura (001)",22684,25,7864,10657,792,3346,
"Pesca (002)",5,,,1,,4,
"Explotación de minas y canteras (003)",50,22,28,,,,
"Industrias manufactureras (004)",828,58,172,537,30,31,
"Suministro de electricidad, gas y agua (005)",29,17,11,1,,,
"Construcción (006)",841,34,574,193,27,13,
"Comerc., rep. veh. autom.,motoc. efect. pers. (007)",3063,548,80,2066,113,256,
"Venta, mant.y rep. veh.autom y motoc. (008)",331,51,52,200,21,7,
"Comercio al por mayor (009)",194,64,8,93,12,17,
"Comercio al por menor (010)",2538,433,20,1773,80,232,
"Hoteles y restaurantes (011)",882,284,37,469,46,46,
"Trans., almac. y comunicaciones (012)",1685,331,236,1079,20,19,
"Intermediación financiera (013)",38,37,1,,,,
"Activid.inmobil., empres. y alquileres (014)",393,284,16,81,7,5,
"Admin.pub. y defensa; p. segur soc.afil (015)",968,805,163,,,,
"Enseñanza (016)",1707,1671,,33,1,2,
"Servicios sociales y de salud (017)",327,283,4,39,,1,
"Otras activ. serv.comun.soc y personales (018)",426,187,71,156,6,6,
"Hogares privados con servicio doméstico (019)",514,,,,,,514
"Actividad economica no especificada (021)",490,108,78,216,8,80,
"Hombres (022)",28451,2795,8470,13312,951,2890,33
"Agric., ganadería, caza y silvicultura (023)",20885,18,7229,10132,771,2735,
"Pesca (024)",5,,,1,,4,
"Explotación de minas y canteras (025)",46,18,28,,,,
"Industrias manufactureras (026)",639,45,133,411,25,25,
"Suministro de electricidad, gas y agua (027)",27,15,11,1,,,
"Construcción (028)",814,32,554,189,26,13,
"Comerc., rep. veh. autom.,motoc. efect. pers. (029)",1723,312,77,1195,80,59,
"Venta, mant.y rep. veh.autom y motoc. (030)",302,36,50,191,21,4,
"Comercio al por mayor (031)",126,41,8,63,11,3,
"Comercio al por menor (032)",1295,235,19,941,48,52,
"Hoteles y restaurantes (033)",209,79,10,90,15,15,
"Trans., almac. y comunicaciones (034)",1623,287,236,1062,19,19,
"Intermediación financiera (035)",22,21,1,,,,
"Activid.inmobil., empres. y alquileres (036)",297,207,15,66,6,3,
"Admin.pub. y defensa; p. segur soc.afil (037)",707,623,84,,,,
"Enseñanza (038)",894,874,,18,1,1,
"Servicios sociales y de salud (039)",142,109,1,31,,1,
"Otras activ. serv.comun.soc y personales (040)",240,112,62,57,5,4,
"Hogares privados con servicio doméstico (041)",33,,,,,,33
"Actividad economica no especificada (043)",145,43,29,59,3,11,
"Mujeres (044)",6479,1899,865,2216,99,919,481
"Agric., ganadería, caza y silvicultura (045)",1799,7,635,525,21,611,
"Explotación de minas y canteras (047)",4,4,,,,,
"Industrias manufactureras (048)",189,13,39,126,5,6,
"Suministro de electricidad, gas y agua (049)",2,2,,,,,
"Construcción (050)",27,2,20,4,1,,
"Comerc., rep. veh. autom.,motoc. efect. pers. (051)",1340,236,3,871,33,197,
"Venta, mant.y rep. veh.autom y motoc. (052)",29,15,2,9,,3,
"Comercio al por mayor (053)",68,23,,30,1,14,
"Comercio al por menor (054)",1243,198,1,832,32,180,
"Hoteles y restaurantes (055)",673,205,27,379,31,31,
"Trans., almac. y comunicaciones (056)",62,44,,17,1,,
"Intermediación financiera (057)",16,16,,,,,
"Activid.inmobil., empres. y alquileres (058)",96,77,1,15,1,2,
"Admin.pub. y defensa; p. segur soc.afil (059)",261,182,79,,,,
"Enseñanza (060)",813,797,,15,,1,
"Servicios sociales y de salud (061)",185,174,3,8,,,
"Otras activ. serv.comun.soc y personales (062)",186,75,9,99,1,2,
"Hogares privados con servicio doméstico (063)",481,,,,,,481
"Actividad economica no especificada (065)",345,65,49,157,5,69,
,,,,,,,
"URBANA (066)",16197,4121,3293,6819,476,1040,448
"Agric., ganadería, caza y silvicultura (067)",5550,22,2054,2574,242,658,
"Pesca (068)",4,,,1,,3,
"Explotación de minas y canteras (069)",49,21,28,,,,
"Industrias manufactureras (070)",717,55,146,467,26,23,
"Suministro de electricidad, gas y agua (071)",28,17,10,1,,,
"Construcción (072)",709,29,476,170,26,8,
"Comerc., rep. veh. autom.,motoc. efect. pers. (073)",2756,523,73,1819,103,238,
"Venta, mant.y rep. veh.autom y motoc. (074)",308,49,46,186,20,7,
"Comercio al por mayor (075)",168,61,8,78,6,15,
"Comercio al por menor (076)",2280,413,19,1555,77,216,
"Hoteles y restaurantes (077)",804,276,29,413,44,42,
"Trans., almac. y comunicaciones (078)",1471,304,181,954,17,15,
"Intermediación financiera (079)",36,35,1,,,,
"Activid.inmobil., empres. y alquileres (080)",366,265,12,78,7,4,
"Admin.pub. y defensa; p. segur soc.afil (081)",904,749,155,,,,
"Enseñanza (082)",1350,1316,,31,1,2,
"Servicios sociales y de salud (083)",278,239,3,35,,1,
"Otras activ. serv.comun.soc y personales (084)",387,169,65,142,6,5,
"Hogares privados con servicio doméstico (085)",448,,,,,,448
"Actividad economica no especificada (087)",340,101,60,134,4,41,
"Hombres (088)",11739,2477,2929,5239,395,671,28
"Agric., ganadería, caza y silvicultura (089)",5101,16,1890,2419,235,541,
"Pesca (090)",4,,,1,,3,
"Explotación de minas y canteras (091)",46,18,28,,,,
"Industrias manufactureras (092)",563,44,112,364,22,21,
"Suministro de electricidad, gas y agua (093)",26,15,10,1,,,
"Construcción (094)",684,27,458,166,25,8,
"Comerc., rep. veh. autom.,motoc. efect. pers. (095)",1553,295,70,1064,70,54,
"Venta, mant.y rep. veh.autom y motoc. (096)",279,34,44,177,20,4,
"Comercio al por mayor (097)",107,39,8,52,5,3,
"Comercio al por menor (098)",1167,222,18,835,45,47,
"Hoteles y restaurantes (099)",198,79,8,83,14,14,
"Trans., almac. y comunicaciones (100)",1409,260,181,937,16,15,
"Intermediación financiera (101)",22,21,1,,,,
"Activid.inmobil., empres. y alquileres (102)",275,190,12,64,6,3,
"Admin.pub. y defensa; p. segur soc.afil (103)",666,589,77,,,,
"Enseñanza (104)",707,688,,17,1,1,
"Servicios sociales y de salud (105)",125,96,,28,,1,
"Otras activ. serv.comun.soc y personales (106)",220,99,60,53,5,3,
"Hogares privados con servicio doméstico (107)",28,,,,,,28
"Actividad economica no especificada (109)",112,40,22,42,1,7,
"Mujeres (110)",4458,1644,364,1580,81,369,420
"Agric., ganadería, caza y silvicultura (111)",449,6,164,155,7,117,
"Explotación de minas y canteras (113)",3,3,,,,,
"Industrias manufactureras (114)",154,11,34,103,4,2,
"Suministro de electricidad, gas y agua (115)",2,2,,,,,
"Construcción (116)",25,2,18,4,1,,
"Comerc., rep. veh. autom.,motoc. efect. pers. (117)",1203,228,3,755,33,184,
"Venta, mant.y rep. veh.autom y motoc. (118)",29,15,2,9,,3,
"Comercio al por mayor (119)",61,22,,26,1,12,
"Comercio al por menor (120)",1113,191,1,720,32,169,
