"CUADRO Nº 17: VIVIENDAS PARTICULARES CON OCUPANTES PRESENTES, POR DISPONIBILIDAD DE ALUMBRADO ELÉCTRICO, POR RED PÚBLICA, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, Y TIPO DE ABASTECIMIENTO DE AGUA",,,
,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL; Y TIPO DE ABASTECIMIENTO DE AGUA",TOTAL,"DISPONE DE ALUMBRADO ELÉCTRICO POR RED PÚBLICA",
,,SI,NO
,,,
"Provincia HUARMEY (000)",6602,5014,1588
"Red pública dentro de la vivienda (001)",4331,3815,516
"Red pública fuera de la vivienda (002)",451,365,86
"Pilón de uso público (003)",207,113,94
"Camión - cisterna u otro similar (004)",156,68,88
"Pozo (005)",732,412,320
"Río, acequia, manatial o similar (006)",421,123,298
"Vecino (007)",219,92,127
"Otro (008)",85,26,59
,,,
"URBANA (010)",4818,4109,709
"Red pública dentro de la vivienda (011)",3816,3462,354
"Red pública fuera de la vivienda (012)",286,246,40
"Pilón de uso público (013)",117,64,53
"Camión - cisterna u otro similar (014)",76,22,54
"Pozo (015)",303,224,79
"Río, acequia, manatial o similar (016)",8,2,6
"Vecino (017)",162,70,92
"Otro (018)",50,19,31
,,,
"RURAL (020)",1784,905,879
"Red pública dentro de la vivienda (021)",515,353,162
"Red pública fuera de la vivienda (022)",165,119,46
"Pilón de uso público (023)",90,49,41
"Camión - cisterna u otro similar (024)",80,46,34
"Pozo (025)",429,188,241
"Río, acequia, manatial o similar (026)",413,121,292
"Vecino (027)",57,22,35
"Otro (028)",35,7,28
