"CUADRO Nº 14: VIVIENDAS PARTICULARES CON OCUPANTES PRESENTES QUE NO DISPONEN DEL SERVICIO DE AGUA TODOS LOS DÍAS DE LA SEMANA, POR NÚMERO DE HORAS AL DÍA QUE DISPONEN DEL SERVICIO EN LOS DÍAS QUE CUENTAN CON ESTE SERVICIO, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, TIPO DE VIVIENDA Y TOTAL DE OCUPANTES PRESENTES",,,,,,,,,
,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, TIPO DE VIVIENDA Y TOTAL DE OCUPANTES PRESENTES",TOTAL,"NÚMERO DE HORAS AL DÍA QUE DISPONE DE AGUA",,,,,,,
,,1-3,4-6,7-9,10-12,13-15,16-18,19-21,22-24
,,,,,,,,,
"Provincia VILCAS HUAMAN",,,,,,,,,
"Viviendas particulares (001)",608,422,69,26,32,5,1,3,50
"Ocupantes presentes (002)",1992,1371,226,99,106,27,1,16,146
"Casa independiente",,,,,,,,,
"Viviendas particulares (004)",601,418,68,25,31,5,1,3,50
"Ocupantes presentes (005)",1970,1361,222,96,101,27,1,16,146
"Departamento en edificio",,,,,,,,,
"Vivienda en quinta",,,,,,,,,
"Viviendas particulares (010)",1,1,,,,,,,
"Ocupantes presentes (011)",3,3,,,,,,,
"Vivienda en casa de vecindad",,,,,,,,,
"Viviendas particulares (013)",1,1,,,,,,,
"Ocupantes presentes (014)",3,3,,,,,,,
"Choza o cabaña",,,,,,,,,
"Viviendas particulares (016)",4,1,1,1,1,,,,
"Ocupantes presentes (017)",15,3,4,3,5,,,,
"Vivienda improvisada",,,,,,,,,
"Local no dest.para hab. humana",,,,,,,,,
"Viviendas particulares (022)",1,1,,,,,,,
"Ocupantes presentes (023)",1,1,,,,,,,
"Otro tipo",,,,,,,,,
,,,,,,,,,
URBANA,,,,,,,,,
"Viviendas particulares (028)",232,154,25,12,14,4,,3,20
"Ocupantes presentes (029)",736,482,65,50,49,25,,16,49
"Casa independiente",,,,,,,,,
"Viviendas particulares (031)",229,151,25,12,14,4,,3,20
"Ocupantes presentes (032)",729,475,65,50,49,25,,16,49
"Departamento en edificio",,,,,,,,,
"Vivienda en quinta",,,,,,,,,
"Viviendas particulares (037)",1,1,,,,,,,
"Ocupantes presentes (038)",3,3,,,,,,,
"Vivienda en casa de vecindad",,,,,,,,,
"Viviendas particulares (040)",1,1,,,,,,,
"Ocupantes presentes (041)",3,3,,,,,,,
"Choza o cabaña",,,,,,,,,
"Vivienda improvisada",,,,,,,,,
"Local no dest.para hab. humana",,,,,,,,,
"Viviendas particulares (049)",1,1,,,,,,,
"Ocupantes presentes (050)",1,1,,,,,,,
"Otro tipo",,,,,,,,,
,,,,,,,,,
RURAL,,,,,,,,,
"Viviendas particulares (055)",376,268,44,14,18,1,1,,30
"Ocupantes presentes (056)",1256,889,161,49,57,2,1,,97
"Casa independiente",,,,,,,,,
"Viviendas particulares (058)",372,267,43,13,17,1,1,,30
"Ocupantes presentes (059)",1241,886,157,46,52,2,1,,97
"Departamento en edificio",,,,,,,,,
"Vivienda en quinta",,,,,,,,,
"Vivienda en casa de vecindad",,,,,,,,,
"Choza o cabaña",,,,,,,,,
"Viviendas particulares (070)",4,1,1,1,1,,,,
"Ocupantes presentes (071)",15,3,4,3,5,,,,
"Vivienda improvisada",,,,,,,,,
"Local no dest.para hab. humana",,,,,,,,,
"Otro tipo",,,,,,,,,
