"CUADRO Nº 17: VIVIENDAS PARTICULARES CON OCUPANTES PRESENTES, POR DISPONIBILIDAD DE ALUMBRADO ELÉCTRICO, POR RED PÚBLICA, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, Y TIPO DE ABASTECIMIENTO DE AGUA",,,
,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL; Y TIPO DE ABASTECIMIENTO DE AGUA",TOTAL,"DISPONE DE ALUMBRADO ELÉCTRICO POR RED PÚBLICA",
,,SI,NO
,,,
"Provincia SIHUAS (000)",6966,4290,2676
"Red pública dentro de la vivienda (001)",1437,1244,193
"Red pública fuera de la vivienda (002)",537,404,133
"Pilón de uso público (003)",39,30,9
"Camión - cisterna u otro similar (004)",3,3,
"Pozo (005)",868,465,403
"Río, acequia, manatial o similar (006)",3725,1904,1821
"Vecino (007)",134,71,63
"Otro (008)",223,169,54
,,,
"URBANA (010)",1861,1635,226
"Red pública dentro de la vivienda (011)",1122,1044,78
"Red pública fuera de la vivienda (012)",303,240,63
"Pilón de uso público (013)",22,17,5
"Camión - cisterna u otro similar (014)",1,1,
"Pozo (015)",100,85,15
"Río, acequia, manatial o similar (016)",177,146,31
"Vecino (017)",72,42,30
"Otro (018)",64,60,4
,,,
"RURAL (020)",5105,2655,2450
"Red pública dentro de la vivienda (021)",315,200,115
"Red pública fuera de la vivienda (022)",234,164,70
"Pilón de uso público (023)",17,13,4
"Camión - cisterna u otro similar (024)",2,2,
"Pozo (025)",768,380,388
"Río, acequia, manatial o similar (026)",3548,1758,1790
"Vecino (027)",62,29,33
"Otro (028)",159,109,50
