"CUADRO Nº 8: POBLACIÓN ECONÓMICAMENTE ACTIVA DE 6 Y MÁS AÑOS DE EDAD, POR GRANDES GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y CATEGORÍA DE OCUPACIÓN",,,,,,
,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y CATEGORIA DE OCUPACION",TOTAL,"GRANDES GRUPOS DE EDAD",,,,
,,"6 A 14 AÑOS","15 A 29 AÑOS","30 A 44 AÑOS","45 A 64 AÑOS","65 Y MÁS AÑOS"
,,,,,,
"Provincia YAROWILCA (000)",9886,593,2817,2958,2516,1002
"Empleado (001)",654,1,176,325,144,8
"Obrero (002)",786,20,261,233,208,64
"Trabajador independiente (003)",5045,2,1080,1657,1570,736
"Empleador o patrono (004)",70,,18,23,17,12
"Trabajador familiar no remunerado (005)",2949,561,1064,631,525,168
"Trabajador del hogar (006)",106,2,59,26,15,4
"Desocupado (008)",276,7,159,63,37,10
"Hombres (009)",6573,332,1839,1986,1700,716
"Empleado (010)",442,1,113,221,102,5
"Obrero (011)",637,15,215,194,168,45
"Trabajador independiente (012)",3958,1,821,1296,1245,595
"Empleador o patrono (013)",62,,16,20,15,11
"Trabajador familiar no remunerado (014)",1242,309,553,195,134,51
"Trabajador del hogar (015)",21,1,10,6,4,
"Desocupado (017)",211,5,111,54,32,9
"Mujeres (018)",3313,261,978,972,816,286
"Empleado (019)",212,,63,104,42,3
"Obrero (020)",149,5,46,39,40,19
"Trabajador independiente (021)",1087,1,259,361,325,141
"Empleador o patrono (022)",8,,2,3,2,1
"Trabajador familiar no remunerado (023)",1707,252,511,436,391,117
"Trabajador del hogar (024)",85,1,49,20,11,4
"Desocupado (026)",65,2,48,9,5,1
,,,,,,
"URBANA (027)",2507,50,780,871,600,206
"Empleado (028)",451,,128,214,102,7
"Obrero (029)",211,8,76,62,48,17
"Trabajador independiente (030)",1141,1,278,396,330,136
"Empleador o patrono (031)",27,,7,10,5,5
"Trabajador familiar no remunerado (032)",521,37,198,152,97,37
"Trabajador del hogar (033)",22,2,15,4,1,
"Desocupado (035)",134,2,78,33,17,4
"Hombres (036)",1670,36,510,571,410,143
"Empleado (037)",297,,79,145,68,5
"Obrero (038)",174,5,68,56,36,9
"Trabajador independiente (039)",849,1,204,283,251,110
"Empleador o patrono (040)",21,,5,8,4,4
"Trabajador familiar no remunerado (041)",227,27,101,52,35,12
"Trabajador del hogar (042)",3,1,1,,1,
"Desocupado (044)",99,2,52,27,15,3
"Mujeres (045)",837,14,270,300,190,63
"Empleado (046)",154,,49,69,34,2
"Obrero (047)",37,3,8,6,12,8
"Trabajador independiente (048)",292,,74,113,79,26
"Empleador o patrono (049)",6,,2,2,1,1
"Trabajador familiar no remunerado (050)",294,10,97,100,62,25
"Trabajador del hogar (051)",19,1,14,4,,
"Desocupado (053)",35,,26,6,2,1
,,,,,,
"RURAL (054)",7379,543,2037,2087,1916,796
"Empleado (055)",203,1,48,111,42,1
"Obrero (056)",575,12,185,171,160,47
"Trabajador independiente (057)",3904,1,802,1261,1240,600
"Empleador o patrono (058)",43,,11,13,12,7
"Trabajador familiar no remunerado (059)",2428,524,866,479,428,131
"Trabajador del hogar (060)",84,,44,22,14,4
"Desocupado (062)",142,5,81,30,20,6
"Hombres (063)",4903,296,1329,1415,1290,573
"Empleado (064)",145,1,34,76,34,
"Obrero (065)",463,10,147,138,132,36
"Trabajador independiente (066)",3109,,617,1013,994,485
"Empleador o patrono (067)",41,,11,12,11,7
"Trabajador familiar no remunerado (068)",1015,282,452,143,99,39
"Trabajador del hogar (069)",18,,9,6,3,
"Desocupado (071)",112,3,59,27,17,6
"Mujeres (072)",2476,247,708,672,626,223
"Empleado (073)",58,,14,35,8,1
"Obrero (074)",112,2,38,33,28,11
"Trabajador independiente (075)",795,1,185,248,246,115
"Empleador o patrono (076)",2,,,1,1,
"Trabajador familiar no remunerado (077)",1413,242,414,336,329,92
"Trabajador del hogar (078)",66,,35,16,11,4
"Desocupado (080)",30,2,22,3,3,
