"CUADRO Nº 3: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR NÚMERO DE HIJOS NACIDOS VIVOS, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, Y RELIGIÓN QUE PROFESA",,,,,,,,,,
,,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL Y RELIGION QUE PROFESA",TOTAL,"NÚMERO DE HIJOS NACIDOS VIVOS",,,,,,,,"NO ESPECI- FICADO"
,,TOTAL,0,1,2,3,"4 A 5","6 A 7","8 A MÁS",
,,,,,,,,,,
"Provincia LAMBAYEQUE (000)",96217,91699,30769,10959,10626,8963,12239,7436,10707,4518
"Católica (001)",85142,81085,27515,9863,9482,7863,10689,6475,9198,4057
"Cristiana/Evangélica (002)",9083,8734,2585,863,906,897,1293,834,1356,349
"Otra (003)",1148,1068,363,126,139,132,151,75,82,80
"Ninguna (004)",844,812,306,107,99,71,106,52,71,32
,,,,,,,,,,
"URBANA (006)",49747,46868,15642,6614,6451,5270,6158,3208,3525,2879
"Católica (007)",43869,41294,13853,5927,5734,4635,5353,2761,3031,2575
"Cristiana/Evangélica (008)",4585,4373,1337,521,558,505,641,376,435,212
"Otra (009)",872,805,296,99,103,92,117,56,42,67
"Ninguna (010)",421,396,156,67,56,38,47,15,17,25
,,,,,,,,,,
"RURAL (012)",46470,44831,15127,4345,4175,3693,6081,4228,7182,1639
"Católica (013)",41273,39791,13662,3936,3748,3228,5336,3714,6167,1482
"Cristiana/Evangélica (014)",4498,4361,1248,342,348,392,652,458,921,137
"Otra (015)",276,263,67,27,36,40,34,19,40,13
"Ninguna (016)",423,416,150,40,43,33,59,37,54,7
