"CUADRO Nº 9: POBLACIÓN DE 3 A 24 AÑOS DE EDAD, POR CONDICIÓN DE ALFABETISMO, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y GRUPOS DE EDAD NORMATIVA DE ESTUDIOS",,,
,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y EDAD NORMATIVA DE ESTUDIOS",TOTAL,"CONDICIÓN DE ALFABETISMO",
,,"SABE LEER Y ESCRIBIR","NO SABE LEER NI ESCRIBIR"
,,,
"Provincia HUAURA (000)",81859,70915,10944
"De 3 a 5 años (001)",10258,1019,9239
"De 6 a 11 años (002)",21417,20108,1309
"De 12 a 16 años (003)",20553,20429,124
"De 17 a 24 años (004)",29631,29359,272
"Hombres (005)",41681,36070,5611
"De 3 a 5 años (006)",5253,514,4739
"De 6 a 11 años (007)",10981,10286,695
"De 12 a 16 años (008)",10413,10354,59
"De 17 a 24 años (009)",15034,14916,118
"Mujeres (010)",40178,34845,5333
"De 3 a 5 años (011)",5005,505,4500
"De 6 a 11 años (012)",10436,9822,614
"De 12 a 16 años (013)",10140,10075,65
"De 17 a 24 años (014)",14597,14443,154
,,,
"URBANA (015)",70177,61128,9049
"De 3 a 5 años (016)",8653,914,7739
"De 6 a 11 años (017)",18230,17211,1019
"De 12 a 16 años (018)",17748,17653,95
"De 17 a 24 años (019)",25546,25350,196
"Hombres (020)",35565,30929,4636
"De 3 a 5 años (021)",4408,463,3945
"De 6 a 11 años (022)",9328,8774,554
"De 12 a 16 años (023)",8982,8937,45
"De 17 a 24 años (024)",12847,12755,92
"Mujeres (025)",34612,30199,4413
"De 3 a 5 años (026)",4245,451,3794
"De 6 a 11 años (027)",8902,8437,465
"De 12 a 16 años (028)",8766,8716,50
"De 17 a 24 años (029)",12699,12595,104
,,,
"RURAL (030)",11682,9787,1895
"De 3 a 5 años (031)",1605,105,1500
"De 6 a 11 años (032)",3187,2897,290
"De 12 a 16 años (033)",2805,2776,29
"De 17 a 24 años (034)",4085,4009,76
"Hombres (035)",6116,5141,975
"De 3 a 5 años (036)",845,51,794
"De 6 a 11 años (037)",1653,1512,141
"De 12 a 16 años (038)",1431,1417,14
"De 17 a 24 años (039)",2187,2161,26
"Mujeres (040)",5566,4646,920
"De 3 a 5 años (041)",760,54,706
"De 6 a 11 años (042)",1534,1385,149
"De 12 a 16 años (043)",1374,1359,15
"De 17 a 24 años (044)",1898,1848,50
