"CUADRO Nº 6: TOTAL DE HOGARES EN VIVIENDAS PARTICULARES CON OCUPANTES PRESENTES, POR PERSONAS QUE PERTENECÍAN AL HOGAR Y AHORA VIVEN PERMANENTEMENTE EN OTRO PAÍS, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, TIPO DE VIVIENDA Y TOTAL DE OCUPANTES PRESENTES",,,,,,,,,
,,,,,,,,,
"DEPARTAMENTO Y PROVINCIA, ÁREA URBANA Y RURAL, TIPO DE VIVIENDA Y TOTAL DE OCUPANTES PRESENTES",TOTAL,"NÚMERO DE PERSONAS QUE VIVEN PERMANENTEMENTE EN OTRO PAÍS",,,,,,,NINGUNA
,,1,2,3,4,5,6,"7 Y MÁS",
,,,,,,,,,
"Provincia MARISCAL CACERES",,,,,,,,,
"Hogares (001)",12267,353,158,112,89,42,38,51,11424
"Ocupantes presentes (002)",50139,1365,544,417,322,182,185,244,46880
"Casa independiente",,,,,,,,,
"Hogares (004)",9642,303,142,97,78,36,35,40,8911
"Ocupantes presentes (005)",40192,1205,497,370,277,156,165,206,37316
"Departamento en edificio",,,,,,,,,
"Hogares (007)",51,1,3,,,,,,47
"Ocupantes presentes (008)",157,1,10,,,,,,146
"Vivienda en quinta",,,,,,,,,
"Hogares (010)",411,15,3,6,5,3,1,1,377
"Ocupantes presentes (011)",1249,31,8,19,23,10,10,2,1146
"Vivienda en casa de vecindad",,,,,,,,,
"Hogares (013)",59,3,1,2,2,,,,51
"Ocupantes presentes (014)",207,12,1,4,8,,,,182
"Choza o cabaña",,,,,,,,,
"Hogares (016)",2003,27,9,5,3,2,1,10,1946
"Ocupantes presentes (017)",7967,101,28,18,12,10,4,36,7758
"Vivienda improvisada",,,,,,,,,
"Hogares (019)",71,3,,2,,,1,,65
"Ocupantes presentes (020)",271,13,,6,,,6,,246
"Local no dest.para hab. humana",,,,,,,,,
"Hogares (022)",22,1,,,1,1,,,19
"Ocupantes presentes (023)",63,2,,,2,6,,,53
"Otro tipo",,,,,,,,,
"Hogares (025)",8,,,,,,,,8
"Ocupantes presentes (026)",33,,,,,,,,33
,,,,,,,,,
URBANA,,,,,,,,,
"Hogares (028)",7468,282,122,93,78,35,31,30,6797
"Ocupantes presentes (029)",30883,1091,436,344,285,142,149,159,28277
"Casa independiente",,,,,,,,,
"Hogares (031)",6854,259,115,83,70,31,29,29,6238
"Ocupantes presentes (032)",28926,1032,417,315,252,126,133,157,26494
"Departamento en edificio",,,,,,,,,
"Hogares (034)",51,1,3,,,,,,47
"Ocupantes presentes (035)",157,1,10,,,,,,146
"Vivienda en quinta",,,,,,,,,
"Hogares (037)",411,15,3,6,5,3,1,1,377
"Ocupantes presentes (038)",1249,31,8,19,23,10,10,2,1146
"Vivienda en casa de vecindad",,,,,,,,,
"Hogares (040)",59,3,1,2,2,,,,51
"Ocupantes presentes (041)",207,12,1,4,8,,,,182
"Choza o cabaña",,,,,,,,,
"Vivienda improvisada",,,,,,,,,
"Hogares (046)",71,3,,2,,,1,,65
"Ocupantes presentes (047)",271,13,,6,,,6,,246
"Local no dest.para hab. humana",,,,,,,,,
"Hogares (049)",19,1,,,1,1,,,16
"Ocupantes presentes (050)",60,2,,,2,6,,,50
"Otro tipo",,,,,,,,,
"Hogares (052)",3,,,,,,,,3
"Ocupantes presentes (053)",13,,,,,,,,13
,,,,,,,,,
RURAL,,,,,,,,,
"Hogares (055)",4799,71,36,19,11,7,7,21,4627
"Ocupantes presentes (056)",19256,274,108,73,37,40,36,85,18603
"Casa independiente",,,,,,,,,
"Hogares (058)",2788,44,27,14,8,5,6,11,2673
"Ocupantes presentes (059)",11266,173,80,55,25,30,32,49,10822
"Departamento en edificio",,,,,,,,,
"Vivienda en quinta",,,,,,,,,
"Vivienda en casa de vecindad",,,,,,,,,
"Choza o cabaña",,,,,,,,,
"Hogares (070)",2003,27,9,5,3,2,1,10,1946
"Ocupantes presentes (071)",7967,101,28,18,12,10,4,36,7758
"Vivienda improvisada",,,,,,,,,
"Local no dest.para hab. humana",,,,,,,,,
"Hogares (076)",3,,,,,,,,3
"Ocupantes presentes (077)",3,,,,,,,,3
"Otro tipo",,,,,,,,,
"Hogares (079)",5,,,,,,,,5
"Ocupantes presentes (080)",20,,,,,,,,20
