"CUADRO Nº 10: POBLACIÓN DE 3 A 24 AÑOS DE EDAD, POR GRUPOS DE EDAD NORMATIVA, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y ASISTENCIA A UN CENTRO DE ENSEÑANZA REGULAR",,,,,
,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y ASISTENCIA A UN CENTRO DE ENSEÑANZA REGULAR",TOTAL,"GRUPOS DE EDAD NORMATIVA",,,
,,"3 A 5 AÑOS","6 A 11 AÑOS","12 A 16 AÑOS","17 A 24 AÑOS"
,,,,,
"Provincia URUBAMBA (000)",25710,3622,7468,6633,7987
"Asiste actualmente (001)",18721,1657,7176,6261,3627
"No asiste (002)",6989,1965,292,372,4360
"Hombres (004)",13144,1808,3762,3337,4237
"Asiste actualmente (005)",9686,805,3616,3174,2091
"No asiste (006)",3458,1003,146,163,2146
"Mujeres (008)",12566,1814,3706,3296,3750
"Asiste actualmente (009)",9035,852,3560,3087,1536
"No asiste (010)",3531,962,146,209,2214
,,,,,
"URBANA (012)",11990,1572,3218,2996,4204
"Asiste actualmente (013)",8865,838,3125,2860,2042
"No asiste (014)",3125,734,93,136,2162
"Hombres (016)",6020,802,1583,1484,2151
"Asiste actualmente (017)",4505,425,1536,1426,1118
"No asiste (018)",1515,377,47,58,1033
"Mujeres (020)",5970,770,1635,1512,2053
"Asiste actualmente (021)",4360,413,1589,1434,924
"No asiste (022)",1610,357,46,78,1129
,,,,,
"RURAL (024)",13720,2050,4250,3637,3783
"Asiste actualmente (025)",9856,819,4051,3401,1585
"No asiste (026)",3864,1231,199,236,2198
"Hombres (028)",7124,1006,2179,1853,2086
"Asiste actualmente (029)",5181,380,2080,1748,973
"No asiste (030)",1943,626,99,105,1113
"Mujeres (032)",6596,1044,2071,1784,1697
"Asiste actualmente (033)",4675,439,1971,1653,612
"No asiste (034)",1921,605,100,131,1085
