"CUADRO Nº 2: POBLACIÓN DE 3 Y MÁS AÑOS DE EDAD, POR AFILIACIÓN A ALGÚN TIPO DE SEGURO DE SALUD, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y NIVEL EDUCATIVO ALCANZADO",,,,,
,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y NIVEL EDUCATIVO ALCANZADO",TOTAL,"AFILIADO A ALGÚN SEGURO DE SALUD",,,
,,"SIS (SEGURO INTEGRAL DE SALUD)",ESSALUD,"OTRO SEGURO DE SALUD",NINGUNO
,,,,,
"Provincia SANTA (000)",375430,23149,91713,21141,240703
"Sin Nivel (001)",32884,3823,7072,1198,20844
"Educación Inicial (002)",10243,1747,2654,500,5373
"Primaria (003)",104260,9772,23506,4469,66687
"Secundaria (004)",126132,5852,26813,6349,87420
"Sup. no Univ. Incompleta (005)",18692,466,3880,1403,13015
"Sup. no Univ. Completa (006)",23181,411,8352,2113,12474
"Sup. Univ. Incompleta (007)",26887,445,5187,1983,19377
"Sup. Univ. Completa (008)",33151,633,14249,3126,15513
"Hombres (010)",187062,11184,45868,12102,118701
"Sin Nivel (011)",12673,1856,2761,492,7590
"Educación Inicial (012)",5244,930,1357,251,2722
"Primaria (013)",51532,4839,11555,2385,32842
"Secundaria (014)",66809,2680,14491,3868,45996
"Sup. no Univ. Incompleta (015)",9714,209,2080,926,6555
"Sup. no Univ. Completa (016)",11381,179,4076,1302,5922
"Sup. Univ. Incompleta (017)",13262,182,2560,1133,9447
"Sup. Univ. Completa (018)",16447,309,6988,1745,7627
"Mujeres (020)",188368,11965,45845,9039,122002
"Sin Nivel (021)",20211,1967,4311,706,13254
"Educación Inicial (022)",4999,817,1297,249,2651
"Primaria (023)",52728,4933,11951,2084,33845
"Secundaria (024)",59323,3172,12322,2481,41424
"Sup. no Univ. Incompleta (025)",8978,257,1800,477,6460
"Sup. no Univ. Completa (026)",11800,232,4276,811,6552
"Sup. Univ. Incompleta (027)",13625,263,2627,850,9930
"Sup. Univ. Completa (028)",16704,324,7261,1381,7886
,,,,,
"URBANA (030)",351058,18808,90387,20822,222313
"Sin Nivel (031)",28703,2829,6857,1167,17903
"Educación Inicial (032)",9612,1454,2613,491,5084
"Primaria (033)",92683,7556,22975,4350,57974
"Secundaria (034)",119308,5054,26422,6245,81888
"Sup. no Univ. Incompleta (035)",18367,446,3852,1389,12752
"Sup. no Univ. Completa (036)",22880,405,8297,2099,12248
"Sup. Univ. Incompleta (037)",26593,438,5162,1971,19127
"Sup. Univ. Completa (038)",32912,626,14209,3110,15337
"Hombres (040)",173978,8965,45188,11909,108706
"Sin Nivel (041)",11043,1374,2680,479,6536
"Educación Inicial (042)",4890,755,1340,245,2565
"Primaria (043)",45142,3691,11288,2309,27942
"Secundaria (044)",62724,2286,14260,3803,42600
"Sup. no Univ. Incompleta (045)",9543,200,2065,916,6418
"Sup. no Univ. Completa (046)",11215,176,4040,1295,5802
"Sup. Univ. Incompleta (047)",13128,179,2549,1125,9335
"Sup. Univ. Completa (048)",16293,304,6966,1737,7508
"Mujeres (050)",177080,9843,45199,8913,113607
"Sin Nivel (051)",17660,1455,4177,688,11367
"Educación Inicial (052)",4722,699,1273,246,2519
"Primaria (053)",47541,3865,11687,2041,30032
"Secundaria (054)",56584,2768,12162,2442,39288
"Sup. no Univ. Incompleta (055)",8824,246,1787,473,6334
"Sup. no Univ. Completa (056)",11665,229,4257,804,6446
"Sup. Univ. Incompleta (057)",13465,259,2613,846,9792
"Sup. Univ. Completa (058)",16619,322,7243,1373,7829
,,,,,
"RURAL (060)",24372,4341,1326,319,18390
"Sin Nivel (061)",4181,994,215,31,2941
"Educación Inicial (062)",631,293,41,9,289
"Primaria (063)",11577,2216,531,119,8713
"Secundaria (064)",6824,798,391,104,5532
"Sup. no Univ. Incompleta (065)",325,20,28,14,263
"Sup. no Univ. Completa (066)",301,6,55,14,226
"Sup. Univ. Incompleta (067)",294,7,25,12,250
"Sup. Univ. Completa (068)",239,7,40,16,176
"Hombres (070)",13084,2219,680,193,9995
"Sin Nivel (071)",1630,482,81,13,1054
"Educación Inicial (072)",354,175,17,6,157
"Primaria (073)",6390,1148,267,76,4900
"Secundaria (074)",4085,394,231,65,3396
"Sup. no Univ. Incompleta (075)",171,9,15,10,137
"Sup. no Univ. Completa (076)",166,3,36,7,120
"Sup. Univ. Incompleta (077)",134,3,11,8,112
"Sup. Univ. Completa (078)",154,5,22,8,119
"Mujeres (080)",11288,2122,646,126,8395
"Sin Nivel (081)",2551,512,134,18,1887
"Educación Inicial (082)",277,118,24,3,132
"Primaria (083)",5187,1068,264,43,3813
"Secundaria (084)",2739,404,160,39,2136
"Sup. no Univ. Incompleta (085)",154,11,13,4,126
"Sup. no Univ. Completa (086)",135,3,19,7,106
"Sup. Univ. Incompleta (087)",160,4,14,4,138
"Sup. Univ. Completa (088)",85,2,18,8,57
