"CUADRO Nº 10: POBLACIÓN DE 3 A 24 AÑOS DE EDAD, POR GRUPOS DE EDAD NORMATIVA, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y ASISTENCIA A UN CENTRO DE ENSEÑANZA REGULAR",,,,,
,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y ASISTENCIA A UN CENTRO DE ENSEÑANZA REGULAR",TOTAL,"GRUPOS DE EDAD NORMATIVA",,,
,,"3 A 5 AÑOS","6 A 11 AÑOS","12 A 16 AÑOS","17 A 24 AÑOS"
,,,,,
"Provincia SAN IGNACIO (000)",67816,10410,22807,16711,17888
"Asiste actualmente (001)",42220,4260,21578,13104,3278
"No asiste (002)",25596,6150,1229,3607,14610
"Hombres (004)",35780,5331,11778,8857,9814
"Asiste actualmente (005)",22061,2175,11136,6898,1852
"No asiste (006)",13719,3156,642,1959,7962
"Mujeres (008)",32036,5079,11029,7854,8074
"Asiste actualmente (009)",20159,2085,10442,6206,1426
"No asiste (010)",11877,2994,587,1648,6648
,,,,,
"URBANA (012)",9977,1197,3004,2785,2991
"Asiste actualmente (013)",7185,681,2893,2540,1071
"No asiste (014)",2792,516,111,245,1920
"Hombres (016)",5039,599,1530,1346,1564
"Asiste actualmente (017)",3527,324,1468,1227,508
"No asiste (018)",1512,275,62,119,1056
"Mujeres (020)",4938,598,1474,1439,1427
"Asiste actualmente (021)",3658,357,1425,1313,563
"No asiste (022)",1280,241,49,126,864
,,,,,
"RURAL (024)",57839,9213,19803,13926,14897
"Asiste actualmente (025)",35035,3579,18685,10564,2207
"No asiste (026)",22804,5634,1118,3362,12690
"Hombres (028)",30741,4732,10248,7511,8250
"Asiste actualmente (029)",18534,1851,9668,5671,1344
"No asiste (030)",12207,2881,580,1840,6906
"Mujeres (032)",27098,4481,9555,6415,6647
"Asiste actualmente (033)",16501,1728,9017,4893,863
"No asiste (034)",10597,2753,538,1522,5784
