"CUADRO Nº 3: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR NÚMERO DE HIJOS NACIDOS VIVOS, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, Y RELIGIÓN QUE PROFESA",,,,,,,,,,
,,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL Y RELIGION QUE PROFESA",TOTAL,"NÚMERO DE HIJOS NACIDOS VIVOS",,,,,,,,"NO ESPECI- FICADO"
,,TOTAL,0,1,2,3,"4 A 5","6 A 7","8 A MÁS",
,,,,,,,,,,
"Provincia MARISCAL NIETO (000)",28885,27598,8329,5321,5441,3310,3122,1274,801,1287
"Católica (001)",24939,23827,7141,4608,4795,2877,2641,1076,689,1112
"Cristiana/Evangélica (002)",1776,1705,522,313,305,193,223,98,51,71
"Otra (003)",1551,1476,455,259,256,184,200,78,44,75
"Ninguna (004)",619,590,211,141,85,56,58,22,17,29
,,,,,,,,,,
"URBANA (006)",25291,24115,7408,4765,4771,2907,2624,1042,598,1176
"Católica (007)",21729,20719,6328,4117,4175,2519,2194,874,512,1010
"Cristiana/Evangélica (008)",1599,1532,475,283,276,176,205,81,36,67
"Otra (009)",1417,1344,417,238,243,162,178,69,37,73
"Ninguna (010)",546,520,188,127,77,50,47,18,13,26
,,,,,,,,,,
"RURAL (012)",3594,3483,921,556,670,403,498,232,203,111
"Católica (013)",3210,3108,813,491,620,358,447,202,177,102
"Cristiana/Evangélica (014)",177,173,47,30,29,17,18,17,15,4
"Otra (015)",134,132,38,21,13,22,22,9,7,2
"Ninguna (016)",73,70,23,14,8,6,11,4,4,3
