"CUADRO Nº 3: POBLACIÓN DE 3 Y MÁS AÑOS DE EDAD, POR AFILIACIÓN A ALGÚN TIPO DE SEGURO DE SALUD, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y LENGUA O IDIOMA CON EL QUE APRENDIÓ A HABLAR",,,,,
,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y LENGUA O IDIOMA CON LA QUE APRENDIO A HABLAR",TOTAL,"AFILIADO A ALGÚN SEGURO DE SALUD",,,
,,"SIS (SEGURO INTEGRAL DE SALUD)",ESSALUD,"OTRO SEGURO DE SALUD",NINGUNO
,,,,,
"Provincia OYON (000)",19329,2433,5536,938,10642
"Quechua (001)",1457,90,265,46,1060
"Aymara (002)",6,,1,,5
"Asháninka (003)",4,,2,,2
"Otra lengua nativa (004)",6,3,3,,
"Castellano (005)",17817,2337,5259,890,9547
"Idioma Extranjero (006)",2,,,1,1
"Es Sordomudo/a (007)",37,3,6,1,27
"Hombres (009)",10180,1122,3319,653,5283
"Quechua (010)",689,29,148,23,490
"Aymara (011)",3,,1,,2
"Asháninka (012)",2,,2,,
"Otra lengua nativa (013)",3,1,2,,
"Castellano (014)",9471,1091,3164,630,4782
"Idioma Extranjero (015)",1,,,,1
"Es Sordomudo/a (016)",11,1,2,,8
"Mujeres (018)",9149,1311,2217,285,5359
"Quechua (019)",768,61,117,23,570
"Aymara (020)",3,,,,3
"Asháninka (021)",2,,,,2
"Otra lengua nativa (022)",3,2,1,,
"Castellano (023)",8346,1246,2095,260,4765
"Idioma Extranjero (024)",1,,,1,
"Es Sordomudo/a (025)",26,2,4,1,19
,,,,,
"URBANA (027)",12361,1289,3819,484,6806
"Quechua (028)",918,47,213,31,631
"Asháninka (030)",4,,2,,2
"Otra lengua nativa (031)",5,3,2,,
"Castellano (032)",11408,1237,3596,451,6157
"Idioma Extranjero (033)",2,,,1,1
"Es Sordomudo/a (034)",24,2,6,1,15
"Hombres (036)",5986,572,1927,284,3225
"Quechua (037)",429,16,119,17,278
"Asháninka (039)",2,,2,,
"Otra lengua nativa (040)",2,1,1,,
"Castellano (041)",5547,555,1803,267,2943
"Idioma Extranjero (042)",1,,,,1
"Es Sordomudo/a (043)",5,,2,,3
"Mujeres (045)",6375,717,1892,200,3581
"Quechua (046)",489,31,94,14,353
"Asháninka (048)",2,,,,2
"Otra lengua nativa (049)",3,2,1,,
"Castellano (050)",5861,682,1793,184,3214
"Idioma Extranjero (051)",1,,,1,
"Es Sordomudo/a (052)",19,2,4,1,12
,,,,,
"RURAL (054)",6968,1144,1717,454,3836
"Quechua (055)",539,43,52,15,429
"Aymara (056)",6,,1,,5
"Otra lengua nativa (058)",1,,1,,
"Castellano (059)",6409,1100,1663,439,3390
"Es Sordomudo/a (061)",13,1,,,12
"Hombres (063)",4194,550,1392,369,2058
"Quechua (064)",260,13,29,6,212
"Aymara (065)",3,,1,,2
"Otra lengua nativa (067)",1,,1,,
"Castellano (068)",3924,536,1361,363,1839
"Es Sordomudo/a (070)",6,1,,,5
"Mujeres (072)",2774,594,325,85,1778
"Quechua (073)",279,30,23,9,217
"Aymara (074)",3,,,,3
"Castellano (077)",2485,564,302,76,1551
"Es Sordomudo/a (079)",7,,,,7
