"CUADRO Nº 2: TOTAL DE HOGARES EN VIVIENDAS PARTICULARES CON OCUPANTES PRESENTES, POR VARIEDAD DE ARTEFACTOS Y EQUIPOS QUE POSEE, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, TIPO DE VIVIENDA Y TOTAL DE OCUPANTES PRESENTES",,,,,,,,
,,,,,,,,
"DEPARTAMENTO Y PROVINCIA, ÁREA URBANA Y RURAL, TIPO DE VIVIENDA Y TOTAL DE OCUPANTES PRESENTES",TOTAL,"ARTEFACTOS Y EQUIPOS QUE POSEE EL HOGAR",,,,,,
,,RADIO,"TELEVISOR A COLOR","EQUIPO DE SONIDO","LAVADORA DE ROPA","REFRIGERADORA O CONGELADORA",COMPUTADORA,NINGUNO
,,,,,,,,
"Provincia CHACHAPOYAS",,,,,,,,
"Hogares (001)",13513,10258,6314,2960,416,1846,1398,2018
"Ocupantes presentes (002)",48870,38645,23607,11415,1701,7417,5437,5964
"Casa independiente",,,,,,,,
"Hogares (004)",11860,9080,5256,2480,343,1620,1123,1821
"Ocupantes presentes (005)",44194,35164,20290,9868,1393,6512,4512,5526
"Departamento en edificio",,,,,,,,
"Hogares (007)",104,77,82,39,12,22,30,6
"Ocupantes presentes (008)",283,222,246,127,46,89,110,13
"Vivienda en quinta",,,,,,,,
"Hogares (010)",245,185,186,94,15,54,54,21
"Ocupantes presentes (011)",740,589,592,301,61,202,163,48
"Vivienda en casa de vecindad",,,,,,,,
"Hogares (013)",1251,888,787,345,45,149,189,146
"Ocupantes presentes (014)",3505,2594,2469,1110,197,610,647,306
"Choza o cabaña",,,,,,,,
"Hogares (016)",39,20,,,,,1,18
"Ocupantes presentes (017)",110,58,,,,,1,51
"Vivienda improvisada",,,,,,,,
"Hogares (019)",3,1,,,,,,2
"Ocupantes presentes (020)",17,3,,,,,,14
"Local no dest.para hab. humana",,,,,,,,
"Hogares (022)",7,5,3,2,1,1,1,2
"Ocupantes presentes (023)",14,12,10,9,4,4,4,2
"Otro tipo",,,,,,,,
"Hogares (025)",4,2,,,,,,2
"Ocupantes presentes (026)",7,3,,,,,,4
,,,,,,,,
URBANA,,,,,,,,
"Hogares (028)",9408,7234,5765,2750,411,1767,1386,1042
"Ocupantes presentes (029)",33513,26692,21405,10535,1679,7095,5386,2953
"Casa independiente",,,,,,,,
"Hogares (031)",7799,6078,4707,2270,338,1541,1112,866
"Ocupantes presentes (032)",28954,23271,18088,8988,1371,6190,4462,2571
"Departamento en edificio",,,,,,,,
"Hogares (034)",104,77,82,39,12,22,30,6
"Ocupantes presentes (035)",283,222,246,127,46,89,110,13
"Vivienda en quinta",,,,,,,,
"Hogares (037)",245,185,186,94,15,54,54,21
"Ocupantes presentes (038)",740,589,592,301,61,202,163,48
"Vivienda en casa de vecindad",,,,,,,,
"Hogares (040)",1251,888,787,345,45,149,189,146
"Ocupantes presentes (041)",3505,2594,2469,1110,197,610,647,306
"Choza o cabaña",,,,,,,,
"Vivienda improvisada",,,,,,,,
"Hogares (046)",3,1,,,,,,2
"Ocupantes presentes (047)",17,3,,,,,,14
"Local no dest.para hab. humana",,,,,,,,
"Hogares (049)",3,3,3,2,1,1,1,
"Ocupantes presentes (050)",10,10,10,9,4,4,4,
"Otro tipo",,,,,,,,
"Hogares (052)",3,2,,,,,,1
"Ocupantes presentes (053)",4,3,,,,,,1
,,,,,,,,
RURAL,,,,,,,,
"Hogares (055)",4105,3024,549,210,5,79,12,976
"Ocupantes presentes (056)",15357,11953,2202,880,22,322,51,3011
"Casa independiente",,,,,,,,
"Hogares (058)",4061,3002,549,210,5,79,11,955
"Ocupantes presentes (059)",15240,11893,2202,880,22,322,50,2955
"Departamento en edificio",,,,,,,,
"Vivienda en quinta",,,,,,,,
"Vivienda en casa de vecindad",,,,,,,,
"Choza o cabaña",,,,,,,,
"Hogares (070)",39,20,,,,,1,18
"Ocupantes presentes (071)",110,58,,,,,1,51
"Vivienda improvisada",,,,,,,,
"Local no dest.para hab. humana",,,,,,,,
"Hogares (076)",4,2,,,,,,2
"Ocupantes presentes (077)",4,2,,,,,,2
"Otro tipo",,,,,,,,
"Hogares (079)",1,,,,,,,1
"Ocupantes presentes (080)",3,,,,,,,3
