"CUADRO Nº 4: POBLACIÓN DE 6 Y MÁS AÑOS DE EDAD, POR AFILIACIÓN A ALGÚN TIPO DE SEGURO DE SALUD, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y CONDICIÓN DE ACTIVIDAD",,,,,
,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y CONDICION DE ACTIVIDAD",TOTAL,"AFILIADO A ALGÚN SEGURO DE SALUD",,,
,,"SIS (SEGURO INTEGRAL DE SALUD)",ESSALUD,"OTRO SEGURO DE SALUD",NINGUNO
,,,,,
"Provincia CHINCHEROS (000)",44166,16392,2484,667,24658
"Hombres (001)",21911,7705,1257,346,12630
"Mujeres (002)",22255,8687,1227,321,12028
"PEA (003)",12310,1471,1306,263,9287
"Hombres (004)",9746,1111,751,209,7689
"Mujeres (005)",2564,360,555,54,1598
"Ocupada (006)",11857,1423,1297,262,8892
"Hombres (007)",9377,1071,745,208,7367
"Mujeres (008)",2480,352,552,54,1525
"Desocupada (009)",453,48,9,1,395
"Hombres (010)",369,40,6,1,322
"Mujeres (011)",84,8,3,,73
"No PEA (012)",31856,14921,1178,404,15371
"Hombres (013)",12165,6594,506,137,4941
"Mujeres (014)",19691,8327,672,267,10430
,,,,,
"URBANA (018)",14322,4080,1917,360,7985
"Hombres (019)",7062,1899,964,210,4005
"Mujeres (020)",7260,2181,953,150,3980
"PEA (021)",4962,457,1042,175,3299
"Hombres (022)",3391,277,576,132,2414
"Mujeres (023)",1571,180,466,43,885
"Ocupada (024)",4796,445,1034,174,3154
"Hombres (025)",3258,265,571,131,2299
"Mujeres (026)",1538,180,463,43,855
"Desocupada (027)",166,12,8,1,145
"Hombres (028)",133,12,5,1,115
"Mujeres (029)",33,,3,,30
"No PEA (030)",9360,3623,875,185,4686
"Hombres (031)",3671,1622,388,78,1591
"Mujeres (032)",5689,2001,487,107,3095
,,,,,
"RURAL (036)",29844,12312,567,307,16673
"Hombres (037)",14849,5806,293,136,8625
"Mujeres (038)",14995,6506,274,171,8048
"PEA (039)",7348,1014,264,88,5988
"Hombres (040)",6355,834,175,77,5275
"Mujeres (041)",993,180,89,11,713
"Ocupada (042)",7061,978,263,88,5738
"Hombres (043)",6119,806,174,77,5068
"Mujeres (044)",942,172,89,11,670
"Desocupada (045)",287,36,1,,250
"Hombres (046)",236,28,1,,207
"Mujeres (047)",51,8,,,43
"No PEA (048)",22496,11298,303,219,10685
"Hombres (049)",8494,4972,118,59,3350
"Mujeres (050)",14002,6326,185,160,7335
