"CUADRO Nº 10: POBLACIÓN DE 3 A 24 AÑOS DE EDAD, POR GRUPOS DE EDAD NORMATIVA, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y ASISTENCIA A UN CENTRO DE ENSEÑANZA REGULAR",,,,,
,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y ASISTENCIA A UN CENTRO DE ENSEÑANZA REGULAR",TOTAL,"GRUPOS DE EDAD NORMATIVA",,,
,,"3 A 5 AÑOS","6 A 11 AÑOS","12 A 16 AÑOS","17 A 24 AÑOS"
,,,,,
"Provincia SANTA (000)",164473,20280,44501,40971,58721
"Asiste actualmente (001)",115452,11314,42919,37196,24023
"No asiste (002)",49021,8966,1582,3775,34698
"Hombres (004)",83366,10448,22566,20699,29653
"Asiste actualmente (005)",58216,5774,21719,18772,11951
"No asiste (006)",25150,4674,847,1927,17702
"Mujeres (008)",81107,9832,21935,20272,29068
"Asiste actualmente (009)",57236,5540,21200,18424,12072
"No asiste (010)",23871,4292,735,1848,16996
,,,,,
"URBANA (012)",152678,18668,41075,37858,55077
"Asiste actualmente (013)",108776,10871,39772,34801,23332
"No asiste (014)",43902,7797,1303,3057,31745
"Hombres (016)",77041,9609,20728,19065,27639
"Asiste actualmente (017)",54652,5532,20039,17516,11565
"No asiste (018)",22389,4077,689,1549,16074
"Mujeres (020)",75637,9059,20347,18793,27438
"Asiste actualmente (021)",54124,5339,19733,17285,11767
"No asiste (022)",21513,3720,614,1508,15671
,,,,,
"RURAL (024)",11795,1612,3426,3113,3644
"Asiste actualmente (025)",6676,443,3147,2395,691
"No asiste (026)",5119,1169,279,718,2953
"Hombres (028)",6325,839,1838,1634,2014
"Asiste actualmente (029)",3564,242,1680,1256,386
"No asiste (030)",2761,597,158,378,1628
"Mujeres (032)",5470,773,1588,1479,1630
"Asiste actualmente (033)",3112,201,1467,1139,305
"No asiste (034)",2358,572,121,340,1325
