"CUADRO Nº 29: POBLACIÓN OCUPADA DE 14 Y MÁS AÑOS DE EDAD, POR CATEGORÍA DE OCUPACIÓN, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y NIVEL EDUCATIVO ALCANZADO",,,,,,,
,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y NIVEL EDUCATIVO ALCANZADO",TOTAL,"CATEGORIA DE OCUPACION",,,,,
,,EMPLEADO,OBRERO,"TRABAJADOR INDEPENDIENTE","EMPLEADOR O PATRONO","TRABAJADOR FAMILIAR NO REMUNERADO","TRABAJADOR DEL HOGAR"
,,,,,,,
"Provincia SUCRE (000)",3647,728,695,1566,18,622,18
"Sin nivel (001)",335,3,60,170,,102,
"Educación inicial (002)",1,,,1,,,
"Primaria (003)",1099,17,215,603,6,251,7
"Secundaria (004)",1321,105,346,613,8,241,8
"Superior no univ. incompleta (005)",116,41,28,36,,8,3
"Superior no univ. completa (006)",416,282,30,89,3,12,
"Superior univ. incompleta (007)",70,32,6,27,,5,
"Superior univ. completa (008)",289,248,10,27,1,3,
"Hombres (010)",2534,477,587,1144,12,314,
"Sin nivel (011)",130,1,32,77,,20,
"Primaria (013)",787,9,179,482,3,114,
"Secundaria (014)",1016,73,310,466,7,160,
"Superior no univ. incompleta (015)",80,26,27,21,,6,
"Superior no univ. completa (016)",272,178,27,59,1,7,
"Superior univ. incompleta (017)",52,20,5,22,,5,
"Superior univ. completa (018)",197,170,7,17,1,2,
"Mujeres (020)",1113,251,108,422,6,308,18
"Sin nivel (021)",205,2,28,93,,82,
"Educación inicial (022)",1,,,1,,,
"Primaria (023)",312,8,36,121,3,137,7
"Secundaria (024)",305,32,36,147,1,81,8
"Superior no univ. incompleta (025)",36,15,1,15,,2,3
"Superior no univ. completa (026)",144,104,3,30,2,5,
"Superior univ. incompleta (027)",18,12,1,5,,,
"Superior univ. completa (028)",92,78,3,10,,1,
,,,,,,,
"URBANA (030)",2386,638,395,900,10,428,15
"Sin nivel (031)",165,1,27,70,,67,
"Educación inicial (032)",1,,,1,,,
"Primaria (033)",589,13,106,297,5,163,5
"Secundaria (034)",869,91,207,390,3,171,7
"Superior no univ. incompleta (035)",94,28,25,30,,8,3
"Superior no univ. completa (036)",360,252,21,73,2,12,
"Superior univ. incompleta (037)",60,30,4,21,,5,
"Superior univ. completa (038)",248,223,5,18,,2,
"Hombres (040)",1546,418,331,596,6,195,
"Sin nivel (041)",47,,15,19,,13,
"Primaria (043)",370,7,86,215,2,60,
"Secundaria (044)",626,65,181,274,3,103,
"Superior no univ. incompleta (045)",64,18,24,16,,6,
"Superior no univ. completa (046)",231,160,18,45,1,7,
"Superior univ. incompleta (047)",45,18,4,18,,5,
"Superior univ. completa (048)",163,150,3,9,,1,
"Mujeres (050)",840,220,64,304,4,233,15
"Sin nivel (051)",118,1,12,51,,54,
"Educación inicial (052)",1,,,1,,,
"Primaria (053)",219,6,20,82,3,103,5
"Secundaria (054)",243,26,26,116,,68,7
"Superior no univ. incompleta (055)",30,10,1,14,,2,3
"Superior no univ. completa (056)",129,92,3,28,1,5,
"Superior univ. incompleta (057)",15,12,,3,,,
"Superior univ. completa (058)",85,73,2,9,,1,
,,,,,,,
"RURAL (060)",1261,90,300,666,8,194,3
"Sin nivel (061)",170,2,33,100,,35,
"Primaria (063)",510,4,109,306,1,88,2
"Secundaria (064)",452,14,139,223,5,70,1
"Superior no univ. incompleta (065)",22,13,3,6,,,
"Superior no univ. completa (066)",56,30,9,16,1,,
"Superior univ. incompleta (067)",10,2,2,6,,,
"Superior univ. completa (068)",41,25,5,9,1,1,
"Hombres (070)",988,59,256,548,6,119,
"Sin nivel (071)",83,1,17,58,,7,
"Primaria (073)",417,2,93,267,1,54,
"Secundaria (074)",390,8,129,192,4,57,
"Superior no univ. incompleta (075)",16,8,3,5,,,
"Superior no univ. completa (076)",41,18,9,14,,,
"Superior univ. incompleta (077)",7,2,1,4,,,
"Superior univ. completa (078)",34,20,4,8,1,1,
"Mujeres (080)",273,31,44,118,2,75,3
"Sin nivel (081)",87,1,16,42,,28,
"Primaria (083)",93,2,16,39,,34,2
"Secundaria (084)",62,6,10,31,1,13,1
"Superior no univ. incompleta (085)",6,5,,1,,,
"Superior no univ. completa (086)",15,12,,2,1,,
"Superior univ. incompleta (087)",3,,1,2,,,
"Superior univ. completa (088)",7,5,1,1,,,
