"CUADRO Nº 2: POBLACIÓN DE 3 Y MÁS AÑOS DE EDAD, POR NIVEL EDUCATIVO ALCANZADO, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO E IDIOMA O LENGUA CON LA QUE APRENDIÓ A HABLAR",,,,,,,,,
,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO E IDIOMA O LENGUA CON LA QUE APRENDIÓ A HABLAR",TOTAL,"NIVEL EDUCATIVO ALCANZADO",,,,,,,
,,"SIN NIVEL","EDUCACIÓN INICIAL",PRIMARIA,SECUNDARIA,"SUP. NO UNIV. INCOMPLETA","SUP. NO UNIV. COMPLETA","SUP. UNIV. INCOMPLETA","SUP. UNIV. COMPLETA"
,,,,,,,,,
"Provincia BARRANCA (000)",126520,11535,3169,40238,49095,4313,5333,5627,7210
"Quechua (001)",4146,781,13,1534,1273,110,150,97,188
"Aymara (002)",134,6,1,63,54,2,3,2,3
"Ashaninca (003)",21,1,,5,12,1,1,,1
"Otra lengua nativa (004)",29,,,17,9,2,1,,
"Castellano (005)",121929,10675,3150,38558,47664,4183,5167,5520,7012
"Idioma extranjero (006)",5,1,1,2,1,,,,
"Es sordomudo/a (007)",256,71,4,59,82,15,11,8,6
"Hombres (009)",63468,4366,1641,19788,26525,2261,2386,2879,3622
"Quechua (010)",2327,179,5,861,918,69,109,70,116
"Aymara (011)",93,2,,41,42,1,2,2,3
"Ashaninca (012)",17,,,4,10,1,1,,1
"Otra lengua nativa (013)",7,,,5,2,,,,
"Castellano (014)",60876,4144,1634,18846,25500,2181,2270,2801,3500
"Idioma extranjero (015)",2,,,2,,,,,
"Es sordomudo/a (016)",146,41,2,29,53,9,4,6,2
"Mujeres (018)",63052,7169,1528,20450,22570,2052,2947,2748,3588
"Quechua (019)",1819,602,8,673,355,41,41,27,72
"Aymara (020)",41,4,1,22,12,1,1,,
"Ashaninca (021)",4,1,,1,2,,,,
"Otra lengua nativa (022)",22,,,12,7,2,1,,
"Castellano (023)",61053,6531,1516,19712,22164,2002,2897,2719,3512
"Idioma extranjero (024)",3,1,1,,1,,,,
"Es sordomudo/a (025)",110,30,2,30,29,6,7,2,4
,,,,,,,,,
"URBANA (027)",108118,8620,2704,33509,42289,3918,5035,5169,6874
"Quechua (028)",3032,501,6,1109,955,89,121,75,176
"Aymara (029)",132,6,,62,54,2,3,2,3
"Ashaninca (030)",21,1,,5,12,1,1,,1
"Otra lengua nativa (031)",18,,,10,5,2,1,,
"Castellano (032)",104718,8062,2693,32274,41206,3811,4899,5084,6689
"Idioma extranjero (033)",5,1,1,2,1,,,,
"Es sordomudo/a (034)",192,49,4,47,56,13,10,8,5
"Hombres (036)",53764,3290,1408,16155,22590,2030,2253,2597,3441
"Quechua (037)",1643,99,4,579,664,57,82,50,108
"Aymara (038)",92,2,,40,42,1,2,2,3
"Ashaninca (039)",17,,,4,10,1,1,,1
"Castellano (041)",51899,3160,1402,15504,21838,1964,2164,2539,3328
"Idioma extranjero (042)",2,,,2,,,,,
"Es sordomudo/a (043)",111,29,2,26,36,7,4,6,1
"Mujeres (045)",54354,5330,1296,17354,19699,1888,2782,2572,3433
"Quechua (046)",1389,402,2,530,291,32,39,25,68
"Aymara (047)",40,4,,22,12,1,1,,
"Ashaninca (048)",4,1,,1,2,,,,
"Otra lengua nativa (049)",18,,,10,5,2,1,,
"Castellano (050)",52819,4902,1291,16770,19368,1847,2735,2545,3361
"Idioma extranjero (051)",3,1,1,,1,,,,
"Es sordomudo/a (052)",81,20,2,21,20,6,6,2,4
,,,,,,,,,
"RURAL (054)",18402,2915,465,6729,6806,395,298,458,336
"Quechua (055)",1114,280,7,425,318,21,29,22,12
"Aymara (056)",2,,1,1,,,,,
"Otra lengua nativa (058)",11,,,7,4,,,,
"Castellano (059)",17211,2613,457,6284,6458,372,268,436,323
"Es sordomudo/a (061)",64,22,,12,26,2,1,,1
"Hombres (063)",9704,1076,233,3633,3935,231,133,282,181
"Quechua (064)",684,80,1,282,254,12,27,20,8
"Aymara (065)",1,,,1,,,,,
"Otra lengua nativa (067)",7,,,5,2,,,,
"Castellano (068)",8977,984,232,3342,3662,217,106,262,172
"Es sordomudo/a (070)",35,12,,3,17,2,,,1
"Mujeres (072)",8698,1839,232,3096,2871,164,165,176,155
"Quechua (073)",430,200,6,143,64,9,2,2,4
"Aymara (074)",1,,1,,,,,,
"Otra lengua nativa (076)",4,,,2,2,,,,
"Castellano (077)",8234,1629,225,2942,2796,155,162,174,151
"Es sordomudo/a (079)",29,10,,9,9,,1,,
