"CUADRO Nº 2: POBLACIÓN DE 3 Y MÁS AÑOS DE EDAD, POR NIVEL EDUCATIVO ALCANZADO, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO E IDIOMA O LENGUA CON LA QUE APRENDIÓ A HABLAR",,,,,,,,,
,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO E IDIOMA O LENGUA CON LA QUE APRENDIÓ A HABLAR",TOTAL,"NIVEL EDUCATIVO ALCANZADO",,,,,,,
,,"SIN NIVEL","EDUCACIÓN INICIAL",PRIMARIA,SECUNDARIA,"SUP. NO UNIV. INCOMPLETA","SUP. NO UNIV. COMPLETA","SUP. UNIV. INCOMPLETA","SUP. UNIV. COMPLETA"
,,,,,,,,,
"Provincia AMBO (000)",52113,10574,1090,26246,11233,823,747,610,790
"Quechua (001)",13141,4222,155,7467,1152,40,45,20,40
"Aymara (002)",30,9,1,13,6,,,,1
"Ashaninca (003)",9,2,1,4,2,,,,
"Otra lengua nativa (004)",5,,,1,4,,,,
"Castellano (005)",38840,6269,932,18749,10068,783,701,589,749
"Idioma extranjero (006)",2,,,,,,1,1,
"Es sordomudo/a (007)",86,72,1,12,1,,,,
"Hombres (009)",26087,3676,569,13830,6473,409,369,324,437
"Quechua (010)",6244,1191,73,4052,823,25,34,15,31
"Aymara (011)",17,3,1,9,3,,,,1
"Ashaninca (012)",3,,,1,2,,,,
"Otra lengua nativa (013)",2,,,,2,,,,
"Castellano (014)",19763,2433,495,9760,5643,384,335,308,405
"Idioma extranjero (015)",1,,,,,,,1,
"Es sordomudo/a (016)",57,49,,8,,,,,
"Mujeres (018)",26026,6898,521,12416,4760,414,378,286,353
"Quechua (019)",6897,3031,82,3415,329,15,11,5,9
"Aymara (020)",13,6,,4,3,,,,
"Ashaninca (021)",6,2,1,3,,,,,
"Otra lengua nativa (022)",3,,,1,2,,,,
"Castellano (023)",19077,3836,437,8989,4425,399,366,281,344
"Idioma extranjero (024)",1,,,,,,1,,
"Es sordomudo/a (025)",29,23,1,4,1,,,,
,,,,,,,,,
"URBANA (027)",17464,2427,357,6945,5486,570,542,485,652
"Quechua (028)",1914,586,10,985,265,14,20,11,23
"Aymara (029)",9,1,1,5,1,,,,1
"Ashaninca (030)",2,1,,,1,,,,
"Castellano (032)",15512,1820,346,5949,5219,556,521,473,628
"Idioma extranjero (033)",2,,,,,,1,1,
"Es sordomudo/a (034)",25,19,,6,,,,,
"Hombres (036)",8586,833,190,3406,3004,285,258,259,351
"Quechua (037)",871,106,7,529,182,8,14,8,17
"Aymara (038)",4,,1,2,,,,,1
"Ashaninca (039)",1,,,,1,,,,
"Castellano (041)",7688,711,182,2870,2821,277,244,250,333
"Idioma extranjero (042)",1,,,,,,,1,
"Es sordomudo/a (043)",21,16,,5,,,,,
"Mujeres (045)",8878,1594,167,3539,2482,285,284,226,301
"Quechua (046)",1043,480,3,456,83,6,6,3,6
"Aymara (047)",5,1,,3,1,,,,
"Ashaninca (048)",1,1,,,,,,,
"Castellano (050)",7824,1109,164,3079,2398,279,277,223,295
"Idioma extranjero (051)",1,,,,,,1,,
"Es sordomudo/a (052)",4,3,,1,,,,,
,,,,,,,,,
"RURAL (054)",34649,8147,733,19301,5747,253,205,125,138
"Quechua (055)",11227,3636,145,6482,887,26,25,9,17
"Aymara (056)",21,8,,8,5,,,,
"Ashaninca (057)",7,1,1,4,1,,,,
"Otra lengua nativa (058)",5,,,1,4,,,,
"Castellano (059)",23328,4449,586,12800,4849,227,180,116,121
"Es sordomudo/a (061)",61,53,1,6,1,,,,
"Hombres (063)",17501,2843,379,10424,3469,124,111,65,86
"Quechua (064)",5373,1085,66,3523,641,17,20,7,14
"Aymara (065)",13,3,,7,3,,,,
"Ashaninca (066)",2,,,1,1,,,,
"Otra lengua nativa (067)",2,,,,2,,,,
"Castellano (068)",12075,1722,313,6890,2822,107,91,58,72
"Es sordomudo/a (070)",36,33,,3,,,,,
"Mujeres (072)",17148,5304,354,8877,2278,129,94,60,52
"Quechua (073)",5854,2551,79,2959,246,9,5,2,3
"Aymara (074)",8,5,,1,2,,,,
"Ashaninca (075)",5,1,1,3,,,,,
"Otra lengua nativa (076)",3,,,1,2,,,,
"Castellano (077)",11253,2727,273,5910,2027,120,89,58,49
"Es sordomudo/a (079)",25,20,1,3,1,,,,
