"CUADRO Nº 13: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR EDAD QUE TENÍA CUANDO NACIÓ SU PRIMER HIJO(A) NACIDO VIVO, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, Y NIVEL EDUCATIVO ALCANZADO",,,,,,,,,,,
,,,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL; Y NIVEL EDUCATIVO ALCANZADO",TOTAL,"EDAD QUE TENÍA CUANDO NACIÓ SU PRIMER HIJO",,,,,,,,,"NO ESPECIFICADO"
,,"DE 12 A 14 AÑOS","DE 15 A 19 AÑOS","DE 20 A 24 AÑOS","DE 25 A 29 AÑOS","DE 30 A 34 AÑOS","DE 35 A 39 AÑOS","DE 40 A 44 AÑOS","DE 45 A 49 AÑOS","DE 50 A MÁS AÑOS",
,,,,,,,,,,,
"Provincia HUANCANE (000)",19461,98,5853,7742,2544,843,378,155,27,,1821
"Sin Nivel (001)",6601,41,1850,2741,911,345,163,94,17,,439
"Educación Inicial (002)",13,,6,3,1,1,,,,,2
"Primaria (003)",8138,42,2701,3204,1025,348,161,47,9,,601
"Secundaria (004)",3762,15,1212,1449,407,89,36,7,1,,546
"Sup. no Univ. Incompleta (005)",201,,27,89,27,9,1,1,,,47
"Sup. no Univ. Completa (006)",396,,33,150,98,24,10,2,,,79
"Sup. Univ. Incompleta (007)",113,,9,39,18,5,,1,,,41
"Sup. Univ. Completa (008)",237,,15,67,57,22,7,3,,,66
,,,,,,,,,,,
"URBANA (010)",3623,23,912,1245,508,175,98,38,3,,621
"Sin Nivel (011)",559,6,140,161,73,33,23,13,1,,109
"Educación Inicial (012)",1,,,,,1,,,,,
"Primaria (013)",1223,10,348,417,166,63,44,18,2,,155
"Secundaria (014)",1123,7,355,400,117,30,17,3,,,194
"Sup. no Univ. Incompleta (015)",127,,21,60,16,5,1,,,,24
"Sup. no Univ. Completa (016)",316,,28,124,80,19,7,1,,,57
"Sup. Univ. Incompleta (017)",75,,8,27,7,4,,1,,,28
"Sup. Univ. Completa (018)",199,,12,56,49,20,6,2,,,54
,,,,,,,,,,,
"RURAL (020)",15838,75,4941,6497,2036,668,280,117,24,,1200
"Sin Nivel (021)",6042,35,1710,2580,838,312,140,81,16,,330
"Educación Inicial (022)",12,,6,3,1,,,,,,2
"Primaria (023)",6915,32,2353,2787,859,285,117,29,7,,446
"Secundaria (024)",2639,8,857,1049,290,59,19,4,1,,352
"Sup. no Univ. Incompleta (025)",74,,6,29,11,4,,1,,,23
"Sup. no Univ. Completa (026)",80,,5,26,18,5,3,1,,,22
"Sup. Univ. Incompleta (027)",38,,1,12,11,1,,,,,13
"Sup. Univ. Completa (028)",38,,3,11,8,2,1,1,,,12
