"CUADRO Nº 14: POBLACIÓN OCUPADA DE 6 Y MÁS AÑOS DE EDAD, POR TAMAÑO DE ESTABLECIMIENTO DONDE TRABAJA, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, GRANDES GRUPOS DE EDAD Y CATEGORÍA DE OCUPACIÓN",,,,,
,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, GRANDES GRUPOS DE EDAD Y CATEGORIA DE OCUPACION",TOTAL,"TAMAÑO DE ESTABLECIMIENTO",,,
,,"1 A 5 PERSONAS","6 A 10 PERSONAS","11 A 50 PERSONAS","51 Y MÁS PERSONAS"
,,,,,
"Provincia CANAS (000)",9128,7987,562,288,291
"Empleado (001)",815,271,155,164,225
"Obrero (002)",865,488,201,116,60
"Trabajador independiente (003)",4932,4776,156,,
"Empleador o patrono (004)",135,128,5,1,1
"Trabajador familiar no remunerado (005)",2324,2267,45,7,5
"Trabajador del hogar (006)",57,57,,,
"De 06 a 14 años (008)",74,72,2,,
"Empleado (009)",2,2,,,
"Obrero (010)",3,3,,,
"Trabajador independiente (011)",13,12,1,,
"Trabajador familiar no remunerado (013)",50,49,1,,
"Trabajador del hogar (014)",6,6,,,
"De 15 a 29 años (016)",2253,1918,181,64,90
"Empleado (017)",236,100,39,24,73
"Obrero (018)",259,138,66,39,16
"Trabajador independiente (019)",970,912,58,,
"Empleador o patrono (020)",27,25,2,,
"Trabajador familiar no remunerado (021)",726,708,16,1,1
"Trabajador del hogar (022)",35,35,,,
"De 30 a 44 años (024)",3230,2733,233,136,128
"Empleado (025)",381,125,76,78,102
"Obrero (026)",352,191,84,54,23
"Trabajador independiente (027)",1713,1656,57,,
"Empleador o patrono (028)",46,44,,1,1
"Trabajador familiar no remunerado (029)",729,708,16,3,2
"Trabajador del hogar (030)",9,9,,,
"De 45 a 64 años (032)",2686,2400,132,85,69
"Empleado (033)",189,40,39,61,49
"Obrero (034)",220,132,48,21,19
"Trabajador independiente (035)",1594,1562,32,,
"Empleador o patrono (036)",48,45,3,,
"Trabajador familiar no remunerado (037)",629,615,10,3,1
"Trabajador del hogar (038)",6,6,,,
"De 65 y más años (040)",885,864,14,3,4
"Empleado (041)",7,4,1,1,1
"Obrero (042)",31,24,3,2,2
"Trabajador independiente (043)",642,634,8,,
"Empleador o patrono (044)",14,14,,,
"Trabajador familiar no remunerado (045)",190,187,2,,1
"Trabajador del hogar (046)",1,1,,,
,,,,,
"URBANA (048)",1797,1279,209,134,175
"Empleado (049)",483,140,82,109,152
"Obrero (050)",225,128,51,24,22
"Trabajador independiente (051)",813,750,63,,
"Empleador o patrono (052)",32,28,3,,1
"Trabajador familiar no remunerado (053)",214,203,10,1,
"Trabajador del hogar (054)",30,30,,,
"De 06 a 14 años (056)",34,33,1,,
"Empleado (057)",2,2,,,
"Obrero (058)",2,2,,,
