"CUADRO Nº 6: POBLACIÓN DE 18 Y MÁS AÑOS DE EDAD, POR TENENCIA DE DOCUMENTO NACIONAL DE IDENTIDAD (DNI), SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y GRANDES GRUPOS DE EDAD",,,
,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y GRANDES GRUPOS DE EDAD",TOTAL,"TENENCIA DE DOCUMENTO NACIONAL DE IDENTIDAD (DNI)",
,,"TIENE DOCUMENTO NACIONAL DE IDENTIDAD (DNI)","NO TIENE DOCUMENTO NACIONAL DE IDENTIDAD (DNI)"
,,,
"Provincia OTUZCO (000)",51447,48114,3333
"Hombres (001)",25693,24499,1194
"Mujeres (002)",25754,23615,2139
"De 18 a 29 años (003)",16243,15080,1163
"Hombres (004)",8183,7626,557
"Mujeres (005)",8060,7454,606
"De 30 a 44 años (006)",16044,15555,489
"Hombres (007)",8076,7904,172
"Mujeres (008)",7968,7651,317
"De 45 a 64 años (009)",12377,11697,680
"Hombres (010)",6163,5963,200
"Mujeres (011)",6214,5734,480
"De 65 y más años (012)",6783,5782,1001
"Hombres (013)",3271,3006,265
"Mujeres (014)",3512,2776,736
,,,
"URBANA (015)",13322,12899,423
"Hombres (016)",6376,6225,151
"Mujeres (017)",6946,6674,272
"De 18 a 29 años (018)",3820,3673,147
"Hombres (019)",1864,1796,68
"Mujeres (020)",1956,1877,79
"De 30 a 44 años (021)",4234,4178,56
"Hombres (022)",2025,2000,25
"Mujeres (023)",2209,2178,31
"De 45 a 64 años (024)",3370,3312,58
"Hombres (025)",1617,1597,20
"Mujeres (026)",1753,1715,38
"De 65 y más años (027)",1898,1736,162
"Hombres (028)",870,832,38
"Mujeres (029)",1028,904,124
,,,
"RURAL (030)",38125,35215,2910
"Hombres (031)",19317,18274,1043
"Mujeres (032)",18808,16941,1867
"De 18 a 29 años (033)",12423,11407,1016
"Hombres (034)",6319,5830,489
"Mujeres (035)",6104,5577,527
"De 30 a 44 años (036)",11810,11377,433
"Hombres (037)",6051,5904,147
"Mujeres (038)",5759,5473,286
"De 45 a 64 años (039)",9007,8385,622
"Hombres (040)",4546,4366,180
"Mujeres (041)",4461,4019,442
"De 65 y más años (042)",4885,4046,839
"Hombres (043)",2401,2174,227
"Mujeres (044)",2484,1872,612
