"CUADRO Nº 9: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR NÚMERO DE HIJOS NACIDOS VIVOS, HIJOS SOBREVIVIENTES, HIJOS NACIDOS EL ÚLTIMO AÑO, SEGÚN DEPARTAMENTO, PROVIINCIA, ÁREA URBANA Y RURAL, CONDICIÓN DE ACTIVIDAD Y GRUPOS QUINQUENALES DE EDAD",,,,,,,
,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, CONDICION DE ACTIVIDAD Y GRUPOS QUINQUENALES DE EDAD","TOTAL DE MUJERES","HIJOS NACIDOS VIVOS",,"NACIDOS VIVOS ULTIMO AÑO",PROPORCION,,
,,TOTAL,SOBREVIVIENTES,,TOTAL,"ULTIMO AÑO",
,,,,,,,
"Provincia ESPINAR (000)",22317,66051,56023,,1131,84.8,1.7
"De 12 a 14 años (001)",2498,7,5,,1,71.4,14.3
"De 15 a 19 años (002)",3019,357,352,107,98.6,30,
"De 20 a 24 años (003)",2646,2255,2173,335,96.4,14.9,
"De 25 a 29 años (004)",2245,4085,3882,278,95,6.8,
"De 30 a 34 años (005)",2075,5834,5449,189,93.4,3.2,
"De 35 a 39 años (006)",1855,6964,6435,138,92.4,2,
"De 40 a 44 años (007)",1647,8059,7187,67,89.2,0.8,
"De 45 a 49 años (008)",1325,7398,6471,16,87.5,0.2,
"De 50 y más años (009)",5007,31092,24069,,77.4,,
"PEA (010)",9641,33736,29077,493,86.2,1.5,
"De 12 a 14 años (011)",169,5,3,1,60,20,
"De 15 a 19 años (012)",747,145,140,42,96.6,29,
"De 20 a 24 años (013)",1231,1046,1000,122,95.6,11.7,
"De 25 a 29 años (014)",1158,1904,1809,129,95,6.8,
"De 30 a 34 años (015)",1157,3049,2840,89,93.1,2.9,
"De 35 a 39 años (016)",1072,3890,3613,67,92.9,1.7,
"De 40 a 44 años (017)",978,4693,4192,32,89.3,0.7,
"De 45 a 49 años (018)",770,4271,3767,11,88.2,0.3,
"De 50 y más años (019)",2359,14733,11713,,79.5,,
"Ocupada (020)",9363,33223,28617,475,86.1,1.4,
"De 12 a 14 años (021)",161,5,3,1,60,20,
"De 15 a 19 años (022)",704,142,137,41,96.5,28.9,
"De 20 a 24 años (023)",1161,979,938,111,95.8,11.3,
"De 25 a 29 años (024)",1096,1831,1741,125,95.1,6.8,
"De 30 a 34 años (025)",1124,2968,2763,89,93.1,3,
"De 35 a 39 años (026)",1050,3816,3543,67,92.8,1.8,
"De 40 a 44 años (027)",958,4607,4113,31,89.3,0.7,
"De 45 a 49 años (028)",764,4238,3736,10,88.2,0.2,
"De 50 y más años (029)",2345,14637,11643,,79.5,,
"Desocupada (030)",278,513,460,18,89.7,3.5,
"De 12 a 14 años (031)",8,,,,,,
"De 15 a 19 años (032)",43,3,3,1,100,33.3,
"De 20 a 24 años (033)",70,67,62,11,92.5,16.4,
"De 25 a 29 años (034)",62,73,68,4,93.2,5.5,
"De 30 a 34 años (035)",33,81,77,,95.1,,
