"CUADRO Nº 36: POBLACIÓN DESOCUPADA DE 14 Y MÁS AÑOS DE EDAD, POR TIPO DE DESEMPLEO, SEGÚN DEPARTAMENTO, PROVINCIA Y DISTRITO, ÁREA URBANA Y RURAL, SEXO Y GRUPOS DE EDAD",,,
,,,
"DEPARTAMENTO Y PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y GRUPOS DE EDAD",TOTAL,"TIPO DE DESEMPLEO",
,,ASPIRANTE,CESANTE
,,,
"Provincia SAN ROMAN (000)",6778,2197,4581
"De 14 a 29 años (001)",3753,1726,2027
"De 30 a 44 años (002)",2091,407,1684
"De 45 a 64 años (003)",827,64,763
"De 65 y más años (004)",107,,107
"Hombres (005)",4261,1185,3076
"De 14 a 29 años (006)",2138,921,1217
"De 30 a 44 años (007)",1415,222,1193
"De 45 a 64 años (008)",628,42,586
"De 65 y más años (009)",80,,80
"Mujeres (010)",2517,1012,1505
"De 14 a 29 años (011)",1615,805,810
"De 30 a 44 años (012)",676,185,491
"De 45 a 64 años (013)",199,22,177
"De 65 y más años (014)",27,,27
,,,
"AREA URBANA (015)",6450,2061,4389
"De 14 a 29 años (016)",3528,1604,1924
"De 30 a 44 años (017)",2022,394,1628
"De 45 a 64 años (018)",798,63,735
"De 65 y más años (019)",102,,102
"Hombres (020)",4018,1091,2927
"De 14 a 29 años (021)",1980,838,1142
"De 30 a 44 años (022)",1359,212,1147
"De 45 a 64 años (023)",603,41,562
"De 65 y más años (024)",76,,76
"Mujeres (025)",2432,970,1462
"De 14 a 29 años (026)",1548,766,782
"De 30 a 44 años (027)",663,182,481
"De 45 a 64 años (028)",195,22,173
"De 65 y más años (029)",26,,26
,,,
"AREA RURAL (030)",328,136,192
"De 14 a 29 años (031)",225,122,103
"De 30 a 44 años (032)",69,13,56
"De 45 a 64 años (033)",29,1,28
"De 65 y más años (034)",5,,5
"Hombres (035)",243,94,149
"De 14 a 29 años (036)",158,83,75
"De 30 a 44 años (037)",56,10,46
"De 45 a 64 años (038)",25,1,24
"De 65 y más años (039)",4,,4
"Mujeres (040)",85,42,43
"De 14 a 29 años (041)",67,39,28
"De 30 a 44 años (042)",13,3,10
"De 45 a 64 años (043)",4,,4
"De 65 y más años (044)",1,,1
