"CUADRO Nº 6: POBLACIÓN DE 18 Y MÁS AÑOS DE EDAD, POR TENENCIA DE DOCUMENTO NACIONAL DE IDENTIDAD (DNI), SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y GRANDES GRUPOS DE EDAD",,,
,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y GRANDES GRUPOS DE EDAD",TOTAL,"TENENCIA DE DOCUMENTO NACIONAL DE IDENTIDAD (DNI)",
,,"TIENE DOCUMENTO NACIONAL DE IDENTIDAD (DNI)","NO TIENE DOCUMENTO NACIONAL DE IDENTIDAD (DNI)"
,,,
"Provincia ISLAY (000)",36139,35116,1023
"Hombres (001)",18728,18138,590
"Mujeres (002)",17411,16978,433
"De 18 a 29 años (003)",9976,9527,449
"Hombres (004)",5063,4809,254
"Mujeres (005)",4913,4718,195
"De 30 a 44 años (006)",11667,11464,203
"Hombres (007)",5945,5796,149
"Mujeres (008)",5722,5668,54
"De 45 a 64 años (009)",9675,9514,161
"Hombres (010)",5169,5070,99
"Mujeres (011)",4506,4444,62
"De 65 y más años (012)",4821,4611,210
"Hombres (013)",2551,2463,88
"Mujeres (014)",2270,2148,122
,,,
"URBANA (015)",32644,31704,940
"Hombres (016)",16567,16021,546
"Mujeres (017)",16077,15683,394
"De 18 a 29 años (018)",8949,8544,405
"Hombres (019)",4421,4194,227
"Mujeres (020)",4528,4350,178
"De 30 a 44 años (021)",10487,10296,191
"Hombres (022)",5212,5068,144
"Mujeres (023)",5275,5228,47
"De 45 a 64 años (024)",8792,8643,149
"Hombres (025)",4618,4528,90
"Mujeres (026)",4174,4115,59
"De 65 y más años (027)",4416,4221,195
"Hombres (028)",2316,2231,85
"Mujeres (029)",2100,1990,110
,,,
"RURAL (030)",3495,3412,83
"Hombres (031)",2161,2117,44
"Mujeres (032)",1334,1295,39
"De 18 a 29 años (033)",1027,983,44
"Hombres (034)",642,615,27
"Mujeres (035)",385,368,17
"De 30 a 44 años (036)",1180,1168,12
"Hombres (037)",733,728,5
"Mujeres (038)",447,440,7
"De 45 a 64 años (039)",883,871,12
"Hombres (040)",551,542,9
"Mujeres (041)",332,329,3
"De 65 y más años (042)",405,390,15
"Hombres (043)",235,232,3
"Mujeres (044)",170,158,12
