"CUADRO Nº 15: POBLACIÓN OCUPADA DE 6 Y MÁS AÑOS DE EDAD, POR NIVEL EDUCATIVO ALCANZADO, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y CATEGORÍA DE OCUPACIÓN",,,,,,,,,
,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y CATEGORIA DE OCUPACIÓN",TOTAL,"NIVEL EDUCATIVO ALCANZADO",,,,,,,
,,"SIN NIVEL","EDUCACIÓN INICIAL",PRIMARIA,SECUNDARIA,"SUP. NO UNIV. INCOMPLETA","SUP. NO UNIV. COMPLETA","SUP. UNIV. INCOMPLETA","SUP. UNIV. COMPLETA"
,,,,,,,,,
"Provincia AYMARAES (000)",9224,1055,7,3039,3348,308,627,241,599
"Empleado (001)",1262,10,,41,208,80,340,98,485
"Obrero (002)",1910,106,3,518,981,80,161,43,18
"Trabajador independiente (003)",3868,604,3,1564,1341,97,100,74,85
"Empleador o patrono (004)",35,4,,8,14,2,3,1,3
"Trabajador familiar no remunerado (005)",2083,325,1,882,778,45,22,23,7
"Trabajador del hogar (006)",66,6,,26,26,4,1,2,1
"Hombres (008)",7025,569,5,2386,2773,231,442,199,420
"Empleado (009)",835,2,,23,158,53,199,74,326
"Obrero (010)",1730,69,2,445,925,73,156,43,17
"Trabajador independiente (011)",2890,328,2,1235,1055,72,69,61,68
"Empleador o patrono (012)",27,2,,6,11,2,2,1,3
"Trabajador familiar no remunerado (013)",1535,168,1,674,620,31,16,19,6
"Trabajador del hogar (014)",8,,,3,4,,,1,
"Mujeres (016)",2199,486,2,653,575,77,185,42,179
"Empleado (017)",427,8,,18,50,27,141,24,159
"Obrero (018)",180,37,1,73,56,7,5,,1
"Trabajador independiente (019)",978,276,1,329,286,25,31,13,17
"Empleador o patrono (020)",8,2,,2,3,,1,,
"Trabajador familiar no remunerado (021)",548,157,,208,158,14,6,4,1
"Trabajador del hogar (022)",58,6,,23,22,4,1,1,1
,,,,,,,,,
"URBANA (024)",4144,317,1,1219,1540,169,349,160,389
"Empleado (025)",814,6,,28,121,51,226,75,307
"Obrero (026)",628,44,1,209,294,21,35,14,10
"Trabajador independiente (027)",1646,151,,553,681,68,71,59,63
"Empleador o patrono (028)",17,2,,3,6,1,2,1,2
"Trabajador familiar no remunerado (029)",995,111,,414,416,24,14,10,6
"Trabajador del hogar (030)",44,3,,12,22,4,1,1,1
"Hombres (032)",2849,128,1,862,1174,108,198,129,249
"Empleado (033)",487,2,,16,92,31,108,57,181
"Obrero (034)",531,29,1,164,265,16,33,14,9
"Trabajador independiente (035)",1134,54,,384,504,46,46,48,52
"Empleador o patrono (036)",13,1,,2,5,1,1,1,2
"Trabajador familiar no remunerado (037)",678,42,,294,305,14,10,8,5
"Trabajador del hogar (038)",6,,,2,3,,,1,
"Mujeres (040)",1295,189,,357,366,61,151,31,140
"Empleado (041)",327,4,,12,29,20,118,18,126
"Obrero (042)",97,15,,45,29,5,2,,1
"Trabajador independiente (043)",512,97,,169,177,22,25,11,11
"Empleador o patrono (044)",4,1,,1,1,,1,,
"Trabajador familiar no remunerado (045)",317,69,,120,111,10,4,2,1
"Trabajador del hogar (046)",38,3,,10,19,4,1,,1
,,,,,,,,,
"RURAL (048)",5080,738,6,1820,1808,139,278,81,210
"Empleado (049)",448,4,,13,87,29,114,23,178
"Obrero (050)",1282,62,2,309,687,59,126,29,8
"Trabajador independiente (051)",2222,453,3,1011,660,29,29,15,22
"Empleador o patrono (052)",18,2,,5,8,1,1,,1
"Trabajador familiar no remunerado (053)",1088,214,1,468,362,21,8,13,1
"Trabajador del hogar (054)",22,3,,14,4,,,1,
"Hombres (056)",4176,441,4,1524,1599,123,244,70,171
"Empleado (057)",348,,,7,66,22,91,17,145
"Obrero (058)",1199,40,1,281,660,57,123,29,8
"Trabajador independiente (059)",1756,274,2,851,551,26,23,13,16
"Empleador o patrono (060)",14,1,,4,6,1,1,,1
"Trabajador familiar no remunerado (061)",857,126,1,380,315,17,6,11,1
"Trabajador del hogar (062)",2,,,1,1,,,,
"Mujeres (064)",904,297,2,296,209,16,34,11,39
"Empleado (065)",100,4,,6,21,7,23,6,33
"Obrero (066)",83,22,1,28,27,2,3,,
"Trabajador independiente (067)",466,179,1,160,109,3,6,2,6
"Empleador o patrono (068)",4,1,,1,2,,,,
"Trabajador familiar no remunerado (069)",231,88,,88,47,4,2,2,
"Trabajador del hogar (070)",20,3,,13,3,,,1,
