"CUADRO Nº 19: POBLACIÓN ECONÓMICAMENTE ACTIVA DE 6 Y MÁS AÑOS DE EDAD, POR CATEGORÍA DE OCUPACIÓN, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y RAMA DE ACTIVIDAD ECONÓMICA",,,,,,,,
,,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y RAMA DE ACTIVIDAD ECONOMICA",TOTAL,"CATEGORIA DE OCUPACION",,,,,,DESOCUPADO
,,EMPLEADO,OBRERO,"TRABAJADOR INDEPENDIENTE","EMPLEADOR O PATRONO","TRABAJADOR FAMILIAR NO REMUNERADO","TRABAJADOR DEL HOGAR",
,,,,,,,,
"Provincia JUNIN (000)",9907,1671,1372,4938,312,865,86,663
"Agric., ganadería, caza y silvicultura (001)",4189,8,668,2660,212,641,,
"Pesca (002)",1,,,1,,,,
"Explotación de minas y canteras (003)",126,19,104,2,1,,,
"Industrias manufactureras (004)",343,5,93,220,12,13,,
"Suministro de electricidad, gas y agua (005)",36,4,32,,,,,
"Construcción (006)",389,7,262,110,6,4,,
"Comerc., rep. veh. autom.,motoc. efect. pers. (007)",1269,120,24,951,36,138,,
"Venta, mant.y rep. veh.autom.y motoc. (008)",146,15,23,91,6,11,,
"Comercio al por mayor (009)",53,6,,37,2,8,,
"Comercio al por menor (010)",1070,99,1,823,28,119,,
"Hoteles y restaurantes (011)",334,60,4,230,18,22,,
"Trans., almac. y comunicaciones (012)",708,163,84,432,14,15,,
"Intermediación financiera (013)",8,8,,,,,,
"Activid.inmobil., empres. y alquileres (014)",168,108,14,41,4,1,,
"Admin.pub. y defensa; p. segur.soc.afil (015)",371,321,50,,,,,
"Enseñanza (016)",622,606,,16,,,,
"Servicios sociales y de salud (017)",162,138,,22,2,,,
"Otras activ. serv.comun.soc y personales (018)",231,46,10,173,,2,,
"Hogares privados con servicio doméstico (019)",86,,,,,,86,
"Actividad economica no especificada (021)",201,58,27,80,7,29,,
"Desocupado (022)",663,,,,,,,663
"Hombres (023)",6723,955,1157,3459,204,445,1,502
"Agric., ganadería, caza y silvicultura (024)",3183,6,508,2160,143,366,,
"Pesca (025)",1,,,1,,,,
"Explotación de minas y canteras (026)",125,18,104,2,1,,,
"Industrias manufactureras (027)",257,5,75,159,9,9,,
"Suministro de electricidad, gas y agua (028)",36,4,32,,,,,
"Construcción (029)",387,7,261,109,6,4,,
"Comerc., rep. veh. autom.,motoc. efect. pers. (030)",557,56,23,416,21,41,,
"Venta, mant.y rep. veh.autom.y motoc. (031)",137,12,22,89,5,9,,
"Comercio al por mayor (032)",34,4,,25,2,3,,
"Comercio al por menor (033)",386,40,1,302,14,29,,
"Hoteles y restaurantes (034)",96,25,1,59,8,3,,
"Trans., almac. y comunicaciones (035)",679,152,83,419,12,13,,
"Intermediación financiera (036)",3,3,,,,,,
"Activid.inmobil., empres. y alquileres (037)",132,83,14,33,2,,,
"Admin.pub. y defensa; p. segur.soc.afil (038)",234,196,38,,,,,
"Enseñanza (039)",308,298,,10,,,,
"Servicios sociales y de salud (040)",69,49,,20,,,,
"Otras activ. serv.comun.soc y personales (041)",66,23,4,39,,,,
"Hogares privados con servicio doméstico (042)",1,,,,,,1,
"Actividad economica no especificada (044)",87,30,14,32,2,9,,
"Desocupado (045)",502,,,,,,,502
"Mujeres (046)",3184,716,215,1479,108,420,85,161
"Agric., ganadería, caza y silvicultura (047)",1006,2,160,500,69,275,,
"Explotación de minas y canteras (049)",1,1,,,,,,
"Industrias manufactureras (050)",86,,18,61,3,4,,
"Construcción (052)",2,,1,1,,,,
"Comerc., rep. veh. autom.,motoc. efect. pers. (053)",712,64,1,535,15,97,,
"Venta, mant.y rep. veh.autom.y motoc. (054)",9,3,1,2,1,2,,
"Comercio al por mayor (055)",19,2,,12,,5,,
"Comercio al por menor (056)",684,59,,521,14,90,,
"Hoteles y restaurantes (057)",238,35,3,171,10,19,,
"Trans., almac. y comunicaciones (058)",29,11,1,13,2,2,,
"Intermediación financiera (059)",5,5,,,,,,
"Activid.inmobil., empres. y alquileres (060)",36,25,,8,2,1,,
"Admin.pub. y defensa; p. segur.soc.afil (061)",137,125,12,,,,,
"Enseñanza (062)",314,308,,6,,,,
"Servicios sociales y de salud (063)",93,89,,2,2,,,
"Otras activ. serv.comun.soc y personales (064)",165,23,6,134,,2,,
"Hogares privados con servicio doméstico (065)",85,,,,,,85,
"Actividad economica no especificada (067)",114,28,13,48,5,20,,
"Desocupado (068)",161,,,,,,,161
,,,,,,,,
"URBANA (069)",6514,1529,881,2936,148,369,79,572
"Agric., ganadería, caza y silvicultura (070)",1280,5,289,770,57,159,,
"Pesca (071)",1,,,1,,,,
"Explotación de minas y canteras (072)",100,18,81,,1,,,
"Industrias manufactureras (073)",327,4,86,213,11,13,,
"Suministro de electricidad, gas y agua (074)",4,1,3,,,,,
"Construcción (075)",348,5,234,101,4,4,,
"Comerc., rep. veh. autom.,motoc. efect. pers. (076)",1218,116,22,912,33,135,,
"Venta, mant.y rep. veh.autom.y motoc. (077)",139,12,21,89,6,11,,
"Comercio al por mayor (078)",48,5,,33,2,8,,
"Comercio al por menor (079)",1031,99,1,790,25,116,,
"Hoteles y restaurantes (080)",317,53,4,223,17,20,,
"Trans., almac. y comunicaciones (081)",663,150,78,409,12,14,,
"Intermediación financiera (082)",8,8,,,,,,
"Activid.inmobil., empres. y alquileres (083)",151,95,11,40,4,1,,
"Admin.pub. y defensa; p. segur.soc.afil (084)",357,312,45,,,,,
"Enseñanza (085)",557,543,,14,,,,
"Servicios sociales y de salud (086)",153,129,,22,2,,,
"Otras activ. serv.comun.soc y personales (087)",221,39,9,171,,2,,
"Hogares privados con servicio doméstico (088)",79,,,,,,79,
"Actividad economica no especificada (090)",158,51,19,60,7,21,,
"Desocupado (091)",572,,,,,,,572
"Hombres (092)",4129,867,753,1835,95,150,1,428
"Agric., ganadería, caza y silvicultura (093)",941,3,210,610,41,77,,
"Pesca (094)",1,,,1,,,,
"Explotación de minas y canteras (095)",99,17,81,,1,,,
"Industrias manufactureras (096)",244,4,68,154,9,9,,
"Suministro de electricidad, gas y agua (097)",4,1,3,,,,,
"Construcción (098)",346,5,233,100,4,4,,
"Comerc., rep. veh. autom.,motoc. efect. pers. (099)",526,53,21,393,19,40,,
"Venta, mant.y rep. veh.autom.y motoc. (100)",131,10,20,87,5,9,,
"Comercio al por mayor (101)",30,3,,22,2,3,,
"Comercio al por menor (102)",365,40,1,284,12,28,,
"Hoteles y restaurantes (103)",90,21,1,58,7,3,,
"Trans., almac. y comunicaciones (104)",634,139,77,396,10,12,,
"Intermediación financiera (105)",3,3,,,,,,
"Activid.inmobil., empres. y alquileres (106)",116,71,11,32,2,,,
"Admin.pub. y defensa; p. segur.soc.afil (107)",223,190,33,,,,,
"Enseñanza (108)",277,268,,9,,,,
"Servicios sociales y de salud (109)",65,45,,20,,,,
"Otras activ. serv.comun.soc y personales (110)",62,21,3,38,,,,
"Hogares privados con servicio doméstico (111)",1,,,,,,1,
"Actividad economica no especificada (113)",69,26,12,24,2,5,,
"Desocupado (114)",428,,,,,,,428
"Mujeres (115)",2385,662,128,1101,53,219,78,144
"Agric., ganadería, caza y silvicultura (116)",339,2,79,160,16,82,,
"Explotación de minas y canteras (118)",1,1,,,,,,
"Industrias manufactureras (119)",83,,18,59,2,4,,
"Construcción (121)",2,,1,1,,,,
"Comerc., rep. veh. autom.,motoc. efect. pers. (122)",692,63,1,519,14,95,,
