"CUADRO Nº 7: TOTAL DE HOGARES EN VIVIENDAS PARTICULARES CON OCUPANTES PRESENTES, POR PADECIMIENTO DE ALGUNA DIFICULTAD O LIMITACIÓN FÍSICA O MENTAL PERMANENTE DE ALGÚN MIEMBRO DEL HOGAR, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, TIPO DE VIVIENDA Y TOTAL DE OCUPANTES PRESENTES",,,,,,,
,,,,,,,
"DEPARTAMENTO Y PROVINCIA, ÁREA URBANA Y RURAL, TIPO DE VIVIENDA Y TOTAL DE OCUPANTES PRESENTES",TOTAL,"DISCAPACIDAD FÍSICA O MENTAL",,,,,"NINGUNA PERSONA CON DISCAPACIDAD"
,,"PARA VER, AÚN USANDO LENTES","PARA OÍR, AÚN USANDO AUDÍ-FONOS PARA SORDERA","PARA HABLAR (ENTONAR / VOCALIZAR)","PARA USAR BRAZOS Y MANOS / PIERNAS Y PIES","ALGUNA OTRA DIFICULTAD O LIMITACIÓN",
,,,,,,,
"Provincia LA MAR",,,,,,,
"Hogares (001)",21407,531,225,226,381,494,19669
"Ocupantes presentes (002)",83157,1970,904,1115,1678,2205,75759
"Casa independiente",,,,,,,
"Hogares (004)",18780,466,195,199,350,445,17227
"Ocupantes presentes (005)",73707,1742,798,980,1574,2008,67013
"Departamento en edificio",,,,,,,
"Hogares (007)",44,1,1,,1,,41
"Ocupantes presentes (008)",116,2,4,,2,,108
"Vivienda en quinta",,,,,,,
"Hogares (010)",171,7,3,,1,2,160
"Ocupantes presentes (011)",580,27,8,,6,11,535
"Vivienda en casa de vecindad",,,,,,,
"Hogares (013)",118,2,2,,,2,112
"Ocupantes presentes (014)",399,4,7,,,8,380
"Choza o cabaña",,,,,,,
"Hogares (016)",2188,54,24,26,28,44,2027
"Ocupantes presentes (017)",7991,194,87,132,94,175,7368
"Vivienda improvisada",,,,,,,
"Hogares (019)",43,,,1,1,,41
"Ocupantes presentes (020)",182,,,3,2,,177
"Local no dest.para hab. humana",,,,,,,
"Hogares (022)",49,1,,,,1,47
"Ocupantes presentes (023)",140,1,,,,3,136
"Otro tipo",,,,,,,
"Hogares (025)",14,,,,,,14
"Ocupantes presentes (026)",42,,,,,,42
,,,,,,,
URBANA,,,,,,,
"Hogares (028)",8500,262,101,92,174,212,7701
"Ocupantes presentes (029)",33800,1034,436,478,768,1025,30236
"Casa independiente",,,,,,,
"Hogares (031)",8072,251,95,91,171,207,7297
"Ocupantes presentes (032)",32371,1000,417,475,758,1003,28888
"Departamento en edificio",,,,,,,
"Hogares (034)",44,1,1,,1,,41
"Ocupantes presentes (035)",116,2,4,,2,,108
"Vivienda en quinta",,,,,,,
"Hogares (037)",171,7,3,,1,2,160
"Ocupantes presentes (038)",580,27,8,,6,11,535
"Vivienda en casa de vecindad",,,,,,,
"Hogares (040)",118,2,2,,,2,112
"Ocupantes presentes (041)",399,4,7,,,8,380
"Choza o cabaña",,,,,,,
"Vivienda improvisada",,,,,,,
"Hogares (046)",43,,,1,1,,41
"Ocupantes presentes (047)",182,,,3,2,,177
"Local no dest.para hab. humana",,,,,,,
"Hogares (049)",40,1,,,,1,38
"Ocupantes presentes (050)",117,1,,,,3,113
"Otro tipo",,,,,,,
"Hogares (052)",12,,,,,,12
"Ocupantes presentes (053)",35,,,,,,35
,,,,,,,
RURAL,,,,,,,
"Hogares (055)",12907,269,124,134,207,282,11968
"Ocupantes presentes (056)",49357,936,468,637,910,1180,45523
"Casa independiente",,,,,,,
"Hogares (058)",10708,215,100,108,179,238,9930
"Ocupantes presentes (059)",41336,742,381,505,816,1005,38125
"Departamento en edificio",,,,,,,
"Vivienda en quinta",,,,,,,
"Vivienda en casa de vecindad",,,,,,,
"Choza o cabaña",,,,,,,
"Hogares (070)",2188,54,24,26,28,44,2027
"Ocupantes presentes (071)",7991,194,87,132,94,175,7368
"Vivienda improvisada",,,,,,,
"Local no dest.para hab. humana",,,,,,,
"Hogares (076)",9,,,,,,9
"Ocupantes presentes (077)",23,,,,,,23
"Otro tipo",,,,,,,
"Hogares (079)",2,,,,,,2
"Ocupantes presentes (080)",7,,,,,,7
