"CUADRO Nº 3: POBLACIÓN DE 6 Y MÁS AÑOS DE EDAD, POR GRANDES GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, NIVEL EDUCATIVO ALCANZADO Y CONDICIÓN DE ACTIVIDAD ECONÓMICA",,,,,,
,,,,,,
"DEPARTAMENTO Y PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y CONDICIÓN DE ACTIVIDAD ECONÓMICA",TOTAL,"GRANDES GRUPOS DE EDAD",,,,
,,"6 A14 AÑOS","15 A 29 AÑOS","30 A 44 AÑOS","45 A 64 AÑOS","65 A MÁS AÑOS"
,,,,,,
"Provincia HUACAYBAMBA (000)",17076,5640,4304,3428,2494,1210
"Sin nivel (001)",2784,263,282,638,909,692
"Educación inicial (002)",434,425,5,4,,
"Primaria (003)",9434,4414,1701,1626,1204,489
"Secundaria (004)",3647,538,2091,770,233,15
"Superior no univ. incompleta (005)",165,,86,54,24,1
"Superior no univ. completa (006)",325,,78,184,54,9
"Superior univ. incompleta (007)",78,,31,31,15,1
"Superior univ. completa (008)",209,,30,121,55,3
"PEA (010)",4660,51,1332,1750,1133,394
"Sin nivel (011)",570,8,87,154,177,144
"Primaria (013)",2243,32,565,754,655,237
"Secundaria (014)",1215,11,544,487,167,6
"Superior no univ. incompleta (015)",101,,35,42,23,1
"Superior no univ. completa (016)",282,,63,167,47,5
"Superior univ. incompleta (017)",54,,10,29,14,1
"Superior univ. completa (018)",195,,28,117,50,
"Ocupada (020)",4423,43,1224,1688,1092,376
"Sin nivel (021)",542,8,78,152,168,136
"Primaria (023)",2123,26,521,718,631,227
"Secundaria (024)",1137,9,495,466,161,6
"Superior no univ. incompleta (025)",96,,33,40,22,1
"Superior no univ. completa (026)",277,,60,166,46,5
"Superior univ. incompleta (027)",53,,9,29,14,1
"Superior univ. completa (028)",195,,28,117,50,
"Desocupada (030)",237,8,108,62,41,18
"Sin nivel (031)",28,,9,2,9,8
"Primaria (033)",120,6,44,36,24,10
"Secundaria (034)",78,2,49,21,6,
