"CUADRO Nº 5: POBLACIÓN TOTAL, POR TENENCIA DE PARTIDA DE NACIMIENTO OTORGADO POR EL REGISTRO CIVIL, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y GRANDES GRUPOS DE EDAD",,,,
,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y GRANDES GRUPOS DE EDAD",TOTAL,"TENENCIA DE PARTIDA NACIMIENTO",,
,,"TIENE PARTIDA DE NACIMIENTO","NO TIENE PARTIDA DE NACIMIENTO","NO ESPECIFICADO"
,,,,
"Provincia AYABACA (000)",138403,134351,3213,839
"Hombres (001)",70777,69054,1321,402
"Mujeres (002)",67626,65297,1892,437
"Menores de 1 año (003)",3393,2380,799,214
"Hombres (004)",1710,1202,402,106
"Mujeres (005)",1683,1178,397,108
"De 1 a 5 años (006)",18761,17258,1031,472
"Hombres (007)",9509,8757,511,241
"Mujeres (008)",9252,8501,520,231
"De 6 a 14 años (009)",34402,34211,136,55
"Hombres (010)",17526,17433,68,25
"Mujeres (011)",16876,16778,68,30
"De 15 a 29 años (012)",31814,31716,80,18
"Hombres (013)",16756,16716,33,7
"Mujeres (014)",15058,15000,47,11
"De 30 a 44 años (015)",22089,21959,111,19
"Hombres (016)",11025,10971,44,10
"Mujeres (017)",11064,10988,67,9
"De 45 a 64 años (018)",18490,18195,275,20
"Hombres (019)",9334,9266,63,5
"Mujeres (020)",9156,8929,212,15
"De 65 a más años (021)",9454,8632,781,41
"Hombres (022)",4917,4709,200,8
"Mujeres (023)",4537,3923,581,33
,,,,
"URBANA (024)",15845,15642,146,57
"Hombres (025)",7888,7797,59,32
"Mujeres (026)",7957,7845,87,25
"Menores de 1 año (027)",293,236,46,11
"Hombres (028)",152,121,24,7
"Mujeres (029)",141,115,22,4
"De 1 a 5 años (030)",1469,1391,43,35
"Hombres (031)",740,697,25,18
"Mujeres (032)",729,694,18,17
"De 6 a 14 años (033)",3105,3101,1,3
"Hombres (034)",1511,1507,1,3
"Mujeres (035)",1594,1594,,
"De 15 a 29 años (036)",4104,4099,2,3
"Hombres (037)",2052,2050,,2
"Mujeres (038)",2052,2049,2,1
"De 30 a 44 años (039)",3215,3209,3,3
"Hombres (040)",1583,1580,1,2
"Mujeres (041)",1632,1629,2,1
"De 45 a 64 años (042)",2510,2499,11,
"Hombres (043)",1268,1266,2,
"Mujeres (044)",1242,1233,9,
"De 65 a más años (045)",1149,1107,40,2
"Hombres (046)",582,576,6,
"Mujeres (047)",567,531,34,2
,,,,
"RURAL (048)",122558,118709,3067,782
"Hombres (049)",62889,61257,1262,370
"Mujeres (050)",59669,57452,1805,412
"Menores de 1 año (051)",3100,2144,753,203
"Hombres (052)",1558,1081,378,99
"Mujeres (053)",1542,1063,375,104
"De 1 a 5 años (054)",17292,15867,988,437
"Hombres (055)",8769,8060,486,223
"Mujeres (056)",8523,7807,502,214
"De 6 a 14 años (057)",31297,31110,135,52
"Hombres (058)",16015,15926,67,22
"Mujeres (059)",15282,15184,68,30
"De 15 a 29 años (060)",27710,27617,78,15
"Hombres (061)",14704,14666,33,5
"Mujeres (062)",13006,12951,45,10
"De 30 a 44 años (063)",18874,18750,108,16
"Hombres (064)",9442,9391,43,8
"Mujeres (065)",9432,9359,65,8
"De 45 a 64 años (066)",15980,15696,264,20
"Hombres (067)",8066,8000,61,5
"Mujeres (068)",7914,7696,203,15
"De 65 a más años (069)",8305,7525,741,39
"Hombres (070)",4335,4133,194,8
"Mujeres (071)",3970,3392,547,31
