"CUADRO Nº 8: POBLACIÓN DE 3 Y MÁS AÑOS DE EDAD, POR GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y CONDICIÓN DE ALFABETISMO",,,,,,,,,
,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y CONDICIÓN DE ALFABETISMO",TOTAL,"GRUPOS DE EDAD",,,,,,,
,,"3 A 4 AÑOS","5 A 9 AÑOS","10 A 14 AÑOS","15 A 19 AÑOS","20 A 29 AÑOS","30 A 39 AÑOS","40 A 64 AÑOS","65 A MÁS AÑOS"
,,,,,,,,,
"Provincia MOHO (000)",26447,1052,2943,3532,2600,3048,2964,6357,3951
"Sabe leer y escribir (001)",20647,,2151,3517,2579,2981,2809,4854,1756
"No sabe leer y escribir (002)",5800,1052,792,15,21,67,155,1503,2195
"Hombres (004)",12983,555,1475,1862,1367,1477,1403,3008,1836
"Sabe leer y escribir (005)",11144,,1073,1856,1358,1457,1366,2741,1293
"No sabe leer y escribir (006)",1839,555,402,6,9,20,37,267,543
"Mujeres (008)",13464,497,1468,1670,1233,1571,1561,3349,2115
"Sabe leer y escribir (009)",9503,,1078,1661,1221,1524,1443,2113,463
"No sabe leer y escribir (010)",3961,497,390,9,12,47,118,1236,1652
,,,,,,,,,
"URBANA (012)",7560,306,879,1049,924,1042,1016,1695,649
"Sabe leer y escribir (013)",6323,,636,1042,916,1021,956,1394,358
"No sabe leer y escribir (014)",1237,306,243,7,8,21,60,301,291
"Hombres (016)",3900,160,427,560,494,527,488,913,331
"Sabe leer y escribir (017)",3431,,304,557,489,520,471,837,253
"No sabe leer y escribir (018)",469,160,123,3,5,7,17,76,78
"Mujeres (020)",3660,146,452,489,430,515,528,782,318
"Sabe leer y escribir (021)",2892,,332,485,427,501,485,557,105
"No sabe leer y escribir (022)",768,146,120,4,3,14,43,225,213
,,,,,,,,,
"RURAL (024)",18887,746,2064,2483,1676,2006,1948,4662,3302
"Sabe leer y escribir (025)",14324,,1515,2475,1663,1960,1853,3460,1398
"No sabe leer y escribir (026)",4563,746,549,8,13,46,95,1202,1904
"Hombres (028)",9083,395,1048,1302,873,950,915,2095,1505
"Sabe leer y escribir (029)",7713,,769,1299,869,937,895,1904,1040
"No sabe leer y escribir (030)",1370,395,279,3,4,13,20,191,465
"Mujeres (032)",9804,351,1016,1181,803,1056,1033,2567,1797
"Sabe leer y escribir (033)",6611,,746,1176,794,1023,958,1556,358
"No sabe leer y escribir (034)",3193,351,270,5,9,33,75,1011,1439
