"CUADRO Nº 13: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR EDAD QUE TENÍA CUANDO NACIÓ SU PRIMER HIJO(A) NACIDO VIVO, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, Y NIVEL EDUCATIVO ALCANZADO",,,,,,,,,,,
,,,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL; Y NIVEL EDUCATIVO ALCANZADO",TOTAL,"EDAD QUE TENÍA CUANDO NACIÓ SU PRIMER HIJO",,,,,,,,,"NO ESPECIFICADO"
,,"DE 12 A 14 AÑOS","DE 15 A 19 AÑOS","DE 20 A 24 AÑOS","DE 25 A 29 AÑOS","DE 30 A 34 AÑOS","DE 35 A 39 AÑOS","DE 40 A 44 AÑOS","DE 45 A 49 AÑOS","DE 50 A MÁS AÑOS",
,,,,,,,,,,,
"Provincia ILO (000)",18164,167,4933,5966,2911,1113,443,101,23,,2507
"Sin Nivel (001)",928,13,315,273,112,54,31,12,2,,116
"Educación Inicial (002)",25,,10,10,4,1,,,,,
"Primaria (003)",3130,54,1212,990,354,131,87,28,10,,264
"Secundaria (004)",5840,68,2039,2005,700,216,89,19,4,,700
"Sup. no Univ. Incompleta (005)",1576,7,340,612,248,100,33,3,,,233
"Sup. no Univ. Completa (006)",3148,13,513,1078,713,266,100,14,2,,449
"Sup. Univ. Incompleta (007)",1084,1,214,362,187,57,19,3,1,,240
"Sup. Univ. Completa (008)",2433,11,290,636,593,288,84,22,4,,505
,,,,,,,,,,,
"URBANA (010)",18089,167,4913,5937,2898,1109,443,100,23,,2499
"Sin Nivel (011)",927,13,315,273,112,53,31,12,2,,116
"Educación Inicial (012)",25,,10,10,4,1,,,,,
"Primaria (013)",3112,54,1203,984,353,131,87,27,10,,263
"Secundaria (014)",5811,68,2030,1991,694,216,89,19,4,,700
"Sup. no Univ. Incompleta (015)",1575,7,339,612,248,100,33,3,,,233
"Sup. no Univ. Completa (016)",3139,13,513,1074,712,266,100,14,2,,445
"Sup. Univ. Incompleta (017)",1080,1,213,361,185,57,19,3,1,,240
"Sup. Univ. Completa (018)",2420,11,290,632,590,285,84,22,4,,502
,,,,,,,,,,,
"RURAL (020)",75,,20,29,13,4,,1,,,8
"Sin Nivel (021)",1,,,,,1,,,,,
"Primaria (023)",18,,9,6,1,,,1,,,1
"Secundaria (024)",29,,9,14,6,,,,,,
"Sup. no Univ. Incompleta (025)",1,,1,,,,,,,,
"Sup. no Univ. Completa (026)",9,,,4,1,,,,,,4
"Sup. Univ. Incompleta (027)",4,,1,1,2,,,,,,
"Sup. Univ. Completa (028)",13,,,4,3,3,,,,,3
