"CUADRO Nº 3: POBLACIÓN DE 6 Y MÁS AÑOS DE EDAD, POR GRANDES GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, NIVEL EDUCATIVO ALCANZADO Y CONDICIÓN DE ACTIVIDAD ECONÓMICA",,,,,,
,,,,,,
"DEPARTAMENTO Y PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y CONDICIÓN DE ACTIVIDAD ECONÓMICA",TOTAL,"GRANDES GRUPOS DE EDAD",,,,
,,"6 A14 AÑOS","15 A 29 AÑOS","30 A 44 AÑOS","45 A 64 AÑOS","65 A MÁS AÑOS"
,,,,,,
"Provincia EL DORADO (000)",28403,7826,8922,6211,4055,1389
"Sin nivel (001)",2549,264,303,481,925,576
"Educación inicial (002)",318,282,22,14,,
"Primaria (003)",18390,6268,4800,4003,2568,751
"Secundaria (004)",6162,1012,3454,1260,388,48
"Superior no univ. incompleta (005)",228,,127,79,21,1
"Superior no univ. completa (006)",387,,95,209,78,5
"Superior univ. incompleta (007)",116,,49,40,24,3
"Superior univ. completa (008)",253,,72,125,51,5
"PEA (010)",13925,900,5215,4399,2744,667
"Sin nivel (011)",1169,49,144,252,482,242
"Educación inicial (012)",38,16,12,10,,
"Primaria (013)",8760,704,3043,2794,1826,393
"Secundaria (014)",3157,131,1782,932,286,26
"Superior no univ. incompleta (015)",158,,74,66,17,1
"Superior no univ. completa (016)",342,,76,198,67,1
"Superior univ. incompleta (017)",82,,25,32,23,2
"Superior univ. completa (018)",219,,59,115,43,2
"Ocupada (020)",13708,878,5113,4341,2719,657
"Sin nivel (021)",1150,43,141,249,479,238
"Educación inicial (022)",38,16,12,10,,
"Primaria (023)",8640,693,2989,2762,1808,388
"Secundaria (024)",3092,126,1744,913,283,26
"Superior no univ. incompleta (025)",151,,70,63,17,1
"Superior no univ. completa (026)",341,,76,198,66,1
"Superior univ. incompleta (027)",81,,24,32,23,2
"Superior univ. completa (028)",215,,57,114,43,1
"Desocupada (030)",217,22,102,58,25,10
"Sin nivel (031)",19,6,3,3,3,4
