"CUADRO Nº 1: POBLACIÓN TOTAL, POR AFILIACIÓN A ALGÚN TIPO DE SEGURO DE SALUD, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y GRUPOS DE EDAD",,,,,
,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y GRUPOS DE EDAD",TOTAL,"AFILIADO A ALGÚN SEGURO DE SALUD",,,
,,"SIS (SEGURO INTEGRAL DE SALUD)",ESSALUD,"OTRO SEGURO DE SALUD",NINGUNO
,,,,,
"Provincia HUARAL (000)",164660,20499,28461,8336,107709
"Menos de 1 año (001)",2773,860,507,76,1332
"De 1 a 14 años (002)",44253,10790,7640,1608,24285
"De 15 a 29 años (003)",44645,4042,5263,1965,33433
"De 30 a 44 años (004)",35117,2533,6701,2064,23940
"De 45 a 64 años (005)",25930,1723,4985,1747,17556
"De 65 y mas años (006)",11942,551,3365,876,7163
"Hombres (008)",83461,9822,14697,4709,54451
"Menos de 1 año (009)",1418,440,248,34,696
"De 1 a 14 años (010)",22702,5604,3979,814,12339
"De 15 a 29 años (011)",22647,1657,2684,1150,17189
"De 30 a 44 años (012)",17435,1008,3359,1175,11976
"De 45 a 64 años (013)",13202,824,2542,1026,8868
"De 65 y mas años (014)",6057,289,1885,510,3383
"Mujeres (016)",81199,10677,13764,3627,53258
"Menos de 1 año (017)",1355,420,259,42,636
"De 1 a 14 años (018)",21551,5186,3661,794,11946
"De 15 a 29 años (019)",21998,2385,2579,815,16244
"De 30 a 44 años (020)",17682,1525,3342,889,11964
"De 45 a 64 años (021)",12728,899,2443,721,8688
"De 65 y mas años (022)",5885,262,1480,366,3780
,,,,,
"URBANA (024)",136487,16450,25084,7530,87747
"Menos de 1 año (025)",2290,661,447,72,1112
"De 1 a 14 años (026)",37207,8378,6832,1460,20603
"De 15 a 29 años (027)",36763,3344,4584,1754,27135
"De 30 a 44 años (028)",29182,2109,5985,1888,19315
"De 45 a 64 años (029)",21468,1485,4416,1559,14083
"De 65 y mas años (030)",9577,473,2820,797,5499
"Hombres (032)",68042,7827,12807,4223,43387
"Menos de 1 año (033)",1189,345,219,34,591
"De 1 a 14 años (034)",19070,4343,3545,741,10473
"De 15 a 29 años (035)",18235,1362,2310,1021,13571
"De 30 a 44 años (036)",14073,833,2950,1059,9308
"De 45 a 64 años (037)",10674,701,2206,903,6919
"De 65 y mas años (038)",4801,243,1577,465,2525
"Mujeres (040)",68445,8623,12277,3307,44360
"Menos de 1 año (041)",1101,316,228,38,521
"De 1 a 14 años (042)",18137,4035,3287,719,10130
"De 15 a 29 años (043)",18528,1982,2274,733,13564
"De 30 a 44 años (044)",15109,1276,3035,829,10007
"De 45 a 64 años (045)",10794,784,2210,656,7164
"De 65 y mas años (046)",4776,230,1243,332,2974
,,,,,
"RURAL (048)",28173,4049,3377,806,19962
"Menos de 1 año (049)",483,199,60,4,220
"De 1 a 14 años (050)",7046,2412,808,148,3682
"De 15 a 29 años (051)",7882,698,679,211,6298
"De 30 a 44 años (052)",5935,424,716,176,4625
"De 45 a 64 años (053)",4462,238,569,188,3473
"De 65 y mas años (054)",2365,78,545,79,1664
"Hombres (056)",15419,1995,1890,486,11064
"Menos de 1 año (057)",229,95,29,,105
"De 1 a 14 años (058)",3632,1261,434,73,1866
"De 15 a 29 años (059)",4412,295,374,129,3618
"De 30 a 44 años (060)",3362,175,409,116,2668
"De 45 a 64 años (061)",2528,123,336,123,1949
"De 65 y mas años (062)",1256,46,308,45,858
"Mujeres (064)",12754,2054,1487,320,8898
"Menos de 1 año (065)",254,104,31,4,115
"De 1 a 14 años (066)",3414,1151,374,75,1816
"De 15 a 29 años (067)",3470,403,305,82,2680
"De 30 a 44 años (068)",2573,249,307,60,1957
"De 45 a 64 años (069)",1934,115,233,65,1524
"De 65 y mas años (070)",1109,32,237,34,806
