"CUADRO Nº 11: POBLACIÓN OCUPADA DE 6 Y MÁS AÑOS DE EDAD, POR TAMAÑO DE ESTABLECIMIENTO DONDE TRABAJA, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, NIVEL EDUCATIVO ALCANZADO Y GRANDES GRUPOS DE EDAD",,,,,
,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, NIVEL EDUCATIVO ALCANZADO Y GRANDES GRUPOS DE EDAD",TOTAL,"TAMAÑO DE ESTABLECIMIENTO",,,
,,"1 A 5 PERSONAS","6 A 10 PERSONAS","11 A 50 PERSONAS","51 Y MÁS PERSONAS"
,,,,,
"Provincia BOLOGNESI (000)",11045,7962,1229,860,994
"Sin nivel (001)",687,632,43,6,6
"Educación inicial (002)",77,53,11,13,
"Primaria (003)",3528,3082,258,100,88
"Secundaria (004)",3785,2729,468,250,338
"Superior no univ. incompleta (005)",611,380,92,58,81
"Superior no univ. completa (006)",971,458,153,172,188
"Superior univ. incompleta (007)",363,204,50,45,64
"Superior univ. completa (008)",1023,424,154,216,229
"De 06 a 14 años (010)",146,132,10,3,1
"Sin nivel (011)",10,10,,,
"Educación inicial (012)",13,12,,1,
"Primaria (013)",85,77,7,1,
"Secundaria (014)",38,33,3,1,1
"De 15 a 29 años (020)",3368,2269,474,292,333
"Sin nivel (021)",54,51,2,1,
"Educación inicial (022)",33,21,9,3,
"Primaria (023)",628,508,68,31,21
"Secundaria (024)",1695,1203,227,123,142
"Superior no univ. incompleta (025)",255,151,39,26,39
"Superior no univ. completa (026)",327,161,53,48,65
"Superior univ. incompleta (027)",117,66,23,13,15
"Superior univ. completa (028)",259,108,53,47,51
"De 30 a 44 años (030)",3846,2488,488,396,474
"Sin nivel (031)",163,142,16,2,3
"Educación inicial (032)",31,20,2,9,
"Primaria (033)",972,812,78,36,46
"Secundaria (034)",1330,923,170,97,140
"Superior no univ. incompleta (035)",234,138,40,26,30
"Superior no univ. completa (036)",465,188,85,95,97
"Superior univ. incompleta (037)",158,86,19,19,34
"Superior univ. completa (038)",493,179,78,112,124
"De 45 a 64 años (040)",2636,2084,216,155,181
"Sin nivel (041)",250,227,18,2,3
"Primaria (043)",1187,1064,80,23,20
"Secundaria (044)",638,492,65,29,52
"Superior no univ. incompleta (045)",101,72,11,6,12
"Superior no univ. completa (046)",153,86,12,29,26
"Superior univ. incompleta (047)",80,44,8,13,15
"Superior univ. completa (048)",227,99,22,53,53
"De 65 y más años (050)",1049,989,41,14,5
"Sin nivel (051)",210,202,7,1,
"Primaria (053)",656,621,25,9,1
"Secundaria (054)",84,78,3,,3
"Superior no univ. incompleta (055)",21,19,2,,
"Superior no univ. completa (056)",26,23,3,,
"Superior univ. incompleta (057)",8,8,,,
"Superior univ. completa (058)",44,38,1,4,1
,,,,,
"URBANA (060)",6645,4640,766,580,659
