"CUADRO Nº 1: POBLACIÓN DE 6 Y MÁS AÑOS DE EDAD, POR GRANDES GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA Y DISTRITO, ÁREA URBANA Y RURAL, SEXO Y CONDICIÓN DE ACTIVIDAD ECONÓMICA",,,,,,
,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y CONDICIÓN DE ACTIVIDAD ECONÓMICA",TOTAL,"GRANDES GRUPOS DE EDAD",,,,
,,"6 A 14 AÑOS","15 A 29 AÑOS","30 A 44 AÑOS","45 A 64 AÑOS","65 A MÁS AÑOS"
,,,,,,
"Provincia SANCHEZ CARRION (000)",112762,34611,33389,21851,15653,7258
"Hombres (001)",54489,17453,16043,10245,7398,3350
"Mujeres (002)",58273,17158,17346,11606,8255,3908
"PEA (003)",37151,1218,14116,11582,7768,2467
"Hombres (004)",29328,807,10973,9116,6326,2106
"Mujeres (005)",7823,411,3143,2466,1442,361
"Ocupada (006)",35416,1116,13131,11160,7583,2426
"Hombres (007)",27964,744,10235,8762,6153,2070
"Mujeres (008)",7452,372,2896,2398,1430,356
"Desocupada (009)",1735,102,985,422,185,41
"Hombres (010)",1364,63,738,354,173,36
"Mujeres (011)",371,39,247,68,12,5
"No PEA (012)",75611,33393,19273,10269,7885,4791
"Hombres (013)",25161,16646,5070,1129,1072,1244
"Mujeres (014)",50450,16747,14203,9140,6813,3547
,,,,,,
"URBANA (018)",31511,8456,10100,6691,4459,1805
"Hombres (019)",14896,4240,4780,3012,2035,829
"Mujeres (020)",16615,4216,5320,3679,2424,976
"PEA (021)",11676,212,4118,4314,2544,488
"Hombres (022)",7594,138,2684,2710,1713,349
"Mujeres (023)",4082,74,1434,1604,831,139
"Ocupada (024)",10916,196,3682,4114,2453,471
"Hombres (025)",7020,127,2367,2562,1629,335
"Mujeres (026)",3896,69,1315,1552,824,136
"Desocupada (027)",760,16,436,200,91,17
"Hombres (028)",574,11,317,148,84,14
"Mujeres (029)",186,5,119,52,7,3
"No PEA (030)",19835,8244,5982,2377,1915,1317
"Hombres (031)",7302,4102,2096,302,322,480
"Mujeres (032)",12533,4142,3886,2075,1593,837
,,,,,,
"RURAL (036)",81251,26155,23289,15160,11194,5453
"Hombres (037)",39593,13213,11263,7233,5363,2521
"Mujeres (038)",41658,12942,12026,7927,5831,2932
"PEA (039)",25475,1006,9998,7268,5224,1979
"Hombres (040)",21734,669,8289,6406,4613,1757
"Mujeres (041)",3741,337,1709,862,611,222
"Ocupada (042)",24500,920,9449,7046,5130,1955
"Hombres (043)",20944,617,7868,6200,4524,1735
"Mujeres (044)",3556,303,1581,846,606,220
"Desocupada (045)",975,86,549,222,94,24
"Hombres (046)",790,52,421,206,89,22
"Mujeres (047)",185,34,128,16,5,2
"No PEA (048)",55776,25149,13291,7892,5970,3474
"Hombres (049)",17859,12544,2974,827,750,764
"Mujeres (050)",37917,12605,10317,7065,5220,2710
