"CUADRO Nº 3: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR NÚMERO DE HIJOS NACIDOS VIVOS, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, CONDICIÓN DE ACTIVIDAD Y GRUPOS QUINQUENALES DE EDAD",,,,,,,,,,,,
,,,,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, CONDICIÓN DE ACTIVIDAD Y GRUPOS QUINQUENALES DE EDAD","TOTAL DE MUJERES","POBLACIÓN FEMENINA POR NÚMERO DE HIJOS NACIDOS VIVOS",,,,,,,,,"SIN DECLARACIÓN","TOTAL DE HIJOS NACIDOS VIVOS"
,,TOTAL,0,1,2,3,"4 A 5","6 A 7","8 A 9","10 A MÁS",,
,,,,,,,,,,,,
"Provincia AMBO (000)",19829,19341,6186,2112,2070,1768,2825,1954,1360,1066,488,60190
"De 12 a 14 años (001)",2359,2351,2344,7,,,,,,,8,7
"De 15 a 19 años (002)",2783,2760,2422,283,45,5,5,,,,23,408
"De 20 a 24 años (003)",2053,1901,742,679,352,103,23,2,,,152,1803
"De 25 a 29 años (004)",1857,1728,221,471,543,310,170,11,2,,129,3290
"De 30 a 34 años (005)",1761,1693,121,238,395,387,433,102,15,2,68,4866
"De 35 a 39 años (006)",1682,1646,77,138,252,321,539,236,72,11,36,6241
"De 40 a 44 años (007)",1437,1423,50,59,146,197,434,323,154,60,14,6906
"De 45 a 49 años (008)",1251,1234,29,68,97,140,332,259,191,118,17,6724
"De 50 y más años (009)",4646,4605,180,169,240,305,889,1021,926,875,41,29945
"PEA (010)",3118,2946,808,442,405,329,441,260,148,113,172,8362
"De 12 a 14 años (011)",79,79,78,1,,,,,,,,1
"De 15 a 19 años (012)",327,320,277,38,4,1,,,,,7,49
"De 20 a 24 años (013)",447,397,224,107,44,19,3,,,,50,266
"De 25 a 29 años (014)",371,322,90,90,82,43,17,,,,49,453
"De 30 a 34 años (015)",381,347,58,78,81,59,57,13,1,,34,758
"De 35 a 39 años (016)",353,345,30,56,76,54,90,31,8,,8,1032
"De 40 a 44 años (017)",305,299,15,28,39,54,82,49,20,12,6,1234
"De 45 a 49 años (018)",253,244,8,20,32,50,59,45,24,6,9,1049
"De 50 y más años (019)",602,593,28,24,47,49,133,122,95,95,9,3520
"Ocupada (020)",2904,2757,675,424,390,323,429,257,146,113,147,8206
"De 12 a 14 años (021)",62,62,61,1,,,,,,,,1
"De 15 a 19 años (022)",274,267,227,36,4,,,,,,7,44
