"CUADRO Nº 20: TOTAL DE VIVIENDAS PARTICULARES CON OCUPANTES PRESENTES, POR RÉGIMEN DE TENENCIA, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, TIPO DE VIVIENDA Y TOTAL DE OCUPANTES PRESENTES",,,,,,,
,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, TIPO DE VIVIENDA Y TOTAL DE OCUPANTES PRESENTES",TOTAL,"RÉGIMEN DE TENENCIA",,,,,
,,ALQUILADA,"PROPIA POR INVASIÓN","PROPIA PAGÁNDOLA A PLAZOS","PROPIA TOTALMENTE PAGADA","CEDIDA POR EL CENTRO DE TRABAJO/OTRO HOGAR /INSTITUCIÓN","OTRA FORMA"
,,,,,,,
"Provincia PUNO",,,,,,,
"Viviendas particulares (001)",66374,8850,635,2146,50182,2608,1953
"Ocupantes presentes (002)",225215,26118,1989,8338,173577,8498,6695
"Casa independiente",,,,,,,
"Viviendas particulares (004)",59698,7160,386,1980,46249,2228,1695
"Ocupantes presentes (005)",205065,21543,1124,7799,161414,7344,5841
"Departamento en edificio",,,,,,,
"Viviendas particulares (007)",1086,526,,102,345,66,47
"Ocupantes presentes (008)",3349,1465,,329,1190,215,150
"Vivienda en quinta",,,,,,,
"Viviendas particulares (010)",320,191,,4,86,22,17
"Ocupantes presentes (011)",1028,557,,13,334,71,53
"Vivienda en casa de vecindad",,,,,,,
"Viviendas particulares (013)",1329,788,,22,355,102,62
"Ocupantes presentes (014)",3952,2010,,85,1339,299,219
"Choza o cabaña",,,,,,,
"Viviendas particulares (016)",3882,169,248,37,3130,175,123
"Ocupantes presentes (017)",11663,503,864,111,9259,518,408
"Vivienda improvisada",,,,,,,
"Viviendas particulares (019)",17,5,1,1,4,4,2
"Ocupantes presentes (020)",55,15,1,1,13,19,6
"Local no dest.para hab. humana",,,,,,,
"Viviendas particulares (022)",32,6,,,11,8,7
"Ocupantes presentes (023)",77,15,,,25,19,18
"Otro tipo",,,,,,,
"Viviendas particulares (025)",10,5,,,2,3,
"Ocupantes presentes (026)",26,10,,,3,13,
,,,,,,,
URBANA,,,,,,,
"Viviendas particulares (028)",36907,8324,251,1925,23258,1703,1446
"Ocupantes presentes (029)",133064,24529,674,7649,89602,5633,4977
"Casa independiente",,,,,,,
"Viviendas particulares (031)",34120,6803,250,1796,22456,1503,1312
"Ocupantes presentes (032)",124595,20457,673,7221,86699,5013,4532
"Departamento en edificio",,,,,,,
"Viviendas particulares (034)",1086,526,,102,345,66,47
"Ocupantes presentes (035)",3349,1465,,329,1190,215,150
"Vivienda en quinta",,,,,,,
"Viviendas particulares (037)",320,191,,4,86,22,17
"Ocupantes presentes (038)",1028,557,,13,334,71,53
"Vivienda en casa de vecindad",,,,,,,
"Viviendas particulares (040)",1329,788,,22,355,102,62
"Ocupantes presentes (041)",3952,2010,,85,1339,299,219
"Choza o cabaña",,,,,,,
"Vivienda improvisada",,,,,,,
"Viviendas particulares (046)",17,5,1,1,4,4,2
"Ocupantes presentes (047)",55,15,1,1,13,19,6
"Local no dest.para hab. humana",,,,,,,
"Viviendas particulares (049)",28,6,,,11,5,6
"Ocupantes presentes (050)",68,15,,,25,11,17
"Otro tipo",,,,,,,
"Viviendas particulares (052)",7,5,,,1,1,
"Ocupantes presentes (053)",17,10,,,2,5,
,,,,,,,
RURAL,,,,,,,
"Viviendas particulares (055)",29467,526,384,221,26924,905,507
"Ocupantes presentes (056)",92151,1589,1315,689,83975,2865,1718
"Casa independiente",,,,,,,
"Viviendas particulares (058)",25578,357,136,184,23793,725,383
"Ocupantes presentes (059)",80470,1086,451,578,74715,2331,1309
"Departamento en edificio",,,,,,,
"Vivienda en quinta",,,,,,,
"Vivienda en casa de vecindad",,,,,,,
"Choza o cabaña",,,,,,,
"Viviendas particulares (070)",3882,169,248,37,3130,175,123
"Ocupantes presentes (071)",11663,503,864,111,9259,518,408
"Vivienda improvisada",,,,,,,
"Local no dest.para hab. humana",,,,,,,
"Viviendas particulares (076)",4,,,,,3,1
"Ocupantes presentes (077)",9,,,,,8,1
"Otro tipo",,,,,,,
"Viviendas particulares (079)",3,,,,1,2,
"Ocupantes presentes (080)",9,,,,1,8,
