"CUADRO Nº 36: POBLACIÓN DESOCUPADA DE 14 Y MÁS AÑOS DE EDAD, POR TIPO DE DESEMPLEO, SEGÚN DEPARTAMENTO, PROVINCIA Y DISTRITO, ÁREA URBANA Y RURAL, SEXO Y GRUPOS DE EDAD",,,
,,,
"DEPARTAMENTO Y PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y GRUPOS DE EDAD",TOTAL,"TIPO DE DESEMPLEO",
,,ASPIRANTE,CESANTE
,,,
"Provincia HUANCA SANCOS (000)",168,75,93
"De 14 a 29 años (001)",52,28,24
"De 30 a 44 años (002)",72,32,40
"De 45 a 64 años (003)",41,15,26
"De 65 y más años (004)",3,,3
"Hombres (005)",148,63,85
"De 14 a 29 años (006)",42,23,19
"De 30 a 44 años (007)",63,26,37
"De 45 a 64 años (008)",40,14,26
"De 65 y más años (009)",3,,3
"Mujeres (010)",20,12,8
"De 14 a 29 años (011)",10,5,5
"De 30 a 44 años (012)",9,6,3
"De 45 a 64 años (013)",1,1,
,,,
"AREA URBANA (015)",77,48,29
"De 14 a 29 años (016)",28,17,11
"De 30 a 44 años (017)",33,21,12
"De 45 a 64 años (018)",15,10,5
"De 65 y más años (019)",1,,1
"Hombres (020)",67,42,25
"De 14 a 29 años (021)",21,14,7
"De 30 a 44 años (022)",30,18,12
"De 45 a 64 años (023)",15,10,5
"De 65 y más años (024)",1,,1
"Mujeres (025)",10,6,4
"De 14 a 29 años (026)",7,3,4
"De 30 a 44 años (027)",3,3,
,,,
"AREA RURAL (030)",91,27,64
"De 14 a 29 años (031)",24,11,13
"De 30 a 44 años (032)",39,11,28
"De 45 a 64 años (033)",26,5,21
"De 65 y más años (034)",2,,2
"Hombres (035)",81,21,60
"De 14 a 29 años (036)",21,9,12
"De 30 a 44 años (037)",33,8,25
"De 45 a 64 años (038)",25,4,21
"De 65 y más años (039)",2,,2
"Mujeres (040)",10,6,4
"De 14 a 29 años (041)",3,2,1
"De 30 a 44 años (042)",6,3,3
"De 45 a 64 años (043)",1,1,
