"CUADRO Nº 8: POBLACIÓN ECONÓMICAMENTE ACTIVA DE 6 Y MÁS AÑOS DE EDAD, POR GRANDES GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y CATEGORÍA DE OCUPACIÓN",,,,,,
,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y CATEGORIA DE OCUPACION",TOTAL,"GRANDES GRUPOS DE EDAD",,,,
,,"6 A 14 AÑOS","15 A 29 AÑOS","30 A 44 AÑOS","45 A 64 AÑOS","65 Y MÁS AÑOS"
,,,,,,
"Provincia DANIEL ALCIDES CARRION (000)",13695,196,4314,4671,3345,1169
"Empleado (001)",1806,5,548,837,397,19
"Obrero (002)",1489,18,528,499,332,112
"Trabajador independiente (003)",5887,7,1296,2111,1759,714
"Empleador o patrono (004)",157,,35,50,54,18
"Trabajador familiar no remunerado (005)",2804,143,1079,721,611,250
"Trabajador del hogar (006)",170,6,89,44,20,11
"Desocupado (008)",1382,17,739,409,172,45
"Hombres (009)",10109,113,2979,3494,2579,944
"Empleado (010)",1102,2,292,500,292,16
"Obrero (011)",1312,12,460,448,292,100
"Trabajador independiente (012)",4649,4,944,1706,1414,581
"Empleador o patrono (013)",129,,26,44,45,14
"Trabajador familiar no remunerado (014)",1886,83,757,475,383,188
"Trabajador del hogar (015)",18,2,10,2,1,3
"Desocupado (017)",1013,10,490,319,152,42
"Mujeres (018)",3586,83,1335,1177,766,225
"Empleado (019)",704,3,256,337,105,3
"Obrero (020)",177,6,68,51,40,12
"Trabajador independiente (021)",1238,3,352,405,345,133
"Empleador o patrono (022)",28,,9,6,9,4
"Trabajador familiar no remunerado (023)",918,60,322,246,228,62
"Trabajador del hogar (024)",152,4,79,42,19,8
"Desocupado (026)",369,7,249,90,20,3
,,,,,,
"URBANA (027)",8562,117,2664,2936,2107,738
"Empleado (028)",1517,5,446,703,346,17
"Obrero (029)",1188,13,416,404,267,88
"Trabajador independiente (030)",3298,7,736,1157,977,421
"Empleador o patrono (031)",129,,29,39,46,15
"Trabajador familiar no remunerado (032)",1562,81,564,397,361,159
"Trabajador del hogar (033)",148,4,75,40,20,9
"Desocupado (035)",720,7,398,196,90,29
"Hombres (036)",6109,72,1790,2103,1563,581
"Empleado (037)",926,2,246,412,251,15
"Obrero (038)",1063,11,366,367,239,80
"Trabajador independiente (039)",2438,4,486,878,739,331
"Empleador o patrono (040)",106,,23,33,38,12
"Trabajador familiar no remunerado (041)",1046,50,403,262,215,116
"Trabajador del hogar (042)",12,,9,1,1,1
"Desocupado (044)",518,5,257,150,80,26
"Mujeres (045)",2453,45,874,833,544,157
"Empleado (046)",591,3,200,291,95,2
"Obrero (047)",125,2,50,37,28,8
"Trabajador independiente (048)",860,3,250,279,238,90
"Empleador o patrono (049)",23,,6,6,8,3
"Trabajador familiar no remunerado (050)",516,31,161,135,146,43
"Trabajador del hogar (051)",136,4,66,39,19,8
"Desocupado (053)",202,2,141,46,10,3
,,,,,,
"RURAL (054)",5133,79,1650,1735,1238,431
"Empleado (055)",289,,102,134,51,2
"Obrero (056)",301,5,112,95,65,24
"Trabajador independiente (057)",2589,,560,954,782,293
"Empleador o patrono (058)",28,,6,11,8,3
"Trabajador familiar no remunerado (059)",1242,62,515,324,250,91
"Trabajador del hogar (060)",22,2,14,4,,2
"Desocupado (062)",662,10,341,213,82,16
"Hombres (063)",4000,41,1189,1391,1016,363
"Empleado (064)",176,,46,88,41,1
"Obrero (065)",249,1,94,81,53,20
"Trabajador independiente (066)",2211,,458,828,675,250
"Empleador o patrono (067)",23,,3,11,7,2
"Trabajador familiar no remunerado (068)",840,33,354,213,168,72
"Trabajador del hogar (069)",6,2,1,1,,2
"Desocupado (071)",495,5,233,169,72,16
"Mujeres (072)",1133,38,461,344,222,68
"Empleado (073)",113,,56,46,10,1
"Obrero (074)",52,4,18,14,12,4
"Trabajador independiente (075)",378,,102,126,107,43
"Empleador o patrono (076)",5,,3,,1,1
"Trabajador familiar no remunerado (077)",402,29,161,111,82,19
"Trabajador del hogar (078)",16,,13,3,,
"Desocupado (080)",167,5,108,44,10,
